col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,division
Deborah Cianfrani,,,,,,,,,,,,,356,"11,443","12,753","18,356","11,580","16,691","12,901","11,460","7,031","10,954","10,750","17,140","11,204","8,992","11,598","10,724","10,575","11,190","5,221","6,195","2,455","3,069","1,802","1,686",61,66,53,17,All
Zac Shaffer,,,,,,,,,,,,,,243,"11,496","9,453","10,197","10,447","8,635","19,129","13,786","10,636","9,506","5,197","7,835","16,983","4,809","8,427","14,413","4,710","8,500","2,212","4,926","2,911","2,056","1,258",78,63,46,18,All
Deborah Canty,,,,,,,,,,,,,,,475,"12,899","12,055","7,679","18,549","9,709","13,776","17,246","8,718","10,863","7,719","7,230","6,170","10,360","4,565","6,337","6,259","6,473","6,429","4,911","3,056","2,018",94,88,63,20,All
Shanese Johnson,,,,,,,,,,,,,,,,653,"10,426","9,725","9,789","8,358","7,789","8,489","5,442","13,539","6,209","7,092","6,012","12,645","7,675","5,481","7,434","6,379","1,829","3,243","1,946","2,048",53,57,62,19,All
Mark B Cohen,,,,,,,,,,,,,,,,,"1,475","10,692","9,195","7,165","10,587","6,579","6,881","10,803","9,353","6,404","8,945","7,266","5,344","7,043","5,915","4,522","4,697","3,109","2,274","2,570",47,47,39,11,All
Vincent Furlong,,,,,,,,,,,,,,,,,,527,"6,082","9,498","6,744","5,239","10,154","11,536","12,258","9,704","12,598","5,012","9,720","11,089","3,000","2,608","3,007","2,313","1,958","1,924",43,41,27,13,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,188,"9,038","9,735","18,138","10,162","9,819","6,500","4,027","6,053","7,901","3,776","5,812","2,225","6,103","5,030","5,216","2,714","1,651",92,50,31,16,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,215,"10,711","9,993","10,080","4,648","6,934","11,802","4,661","5,479","11,616","4,646","5,271","1,943","3,547","2,301","1,782","1,250",64,70,32,16,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,254,"10,761","10,695","5,712","10,073","8,523","5,601","7,043","4,641","5,324","5,744","4,540","5,953","5,475","2,594","1,962",82,78,32,14,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,170,"9,675","8,040","5,356","4,449","4,685","6,905","3,884","5,503","2,422","5,052","4,267","4,335","2,265","1,144",78,67,30,14,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,,,,307,"9,467","13,510","2,962","9,210","2,429","2,663","10,400","1,647","2,175","2,928","3,240","1,256",727,38,40,10,4,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,231,"9,820","2,554","10,079","6,853","3,445","10,578","3,006","4,522","2,553","2,129","1,581","1,561",48,51,33,12,All
John Macoretta,,,,,,,,,,,,,,,,,,,,,,,,,269,"5,750","10,609","2,414","3,917","12,114","2,828","1,601","4,491","2,209","1,668","1,107",46,60,19,9,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,615,"4,169","7,723","11,605","3,406","7,763","1,898","3,792","2,490","1,879","1,426",25,32,55,20,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,439,"2,596","4,416","11,069","1,926","2,170","2,727","2,564","2,180","1,800",33,34,22,6,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,"5,811","1,587","7,259","7,080",960,"3,818","1,981","1,963",24,27,57,19,All
Vincent Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,"3,492","5,315","1,779","2,271","1,693","1,290","1,282",57,44,34,9,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,"1,161","1,301","3,764","2,080","1,766",981,22,27,13,11,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,"2,427","2,090","2,033","1,434","1,258",20,26,46,10,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,945,"3,256","1,744","1,858",26,15,44,13,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,"1,782","1,466",725,56,42,10,9,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,"2,311","1,463",17,17,34,13,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,"1,295",15,13,22,13,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,13,22,5,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,3,2,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"77,562","51,905","31,338","21,500","15,131","6,414",130,62,55,"63,155","61,930","46,380","43,338","39,214","38,760","36,331","35,988","35,542","33,691","33,577","32,948","31,337","31,166","30,107","29,519","28,119","25,902","24,402","24,073","23,533","16,371","13,911","12,393","12,101","7,431","5,820",206,197,156,61,All
