col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,division
,Judge Of The Superior Court - Democrat,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Debbie Kunselman,Bill Caye,Vikki Kristiansson,Stella Tsai,Lucretia C Clemons,Jennifer Schultz,Henry Mcgregor Sias,Deborah Canty,Leon Goodman,John Macoretta,Daniel R Sulman,Zac Shaffer,Wendi Barish,Deborah Cianfrani,Rania Major,Lawrence J Bozzelli,Shanese Johnson,Mark B Cohen,Brian Mclaughlin,Vincent Furlong,David Conroy,Crystal B Powell,Leonard Deutchman,Mark J Moore,Terri M Booker,Vincent Melchiorre,Jon Marshall,Danyl S Patterson,Bill Rice,Dawn M Tancredi,Christian Dicicco,Matthew C Monroe,Betsy Wahl,All
Maria Mclaughlin,11,"2,308","2,056","1,808",304,"1,955","1,848","1,561","1,490","1,450","1,390","1,315","1,235","1,146",888,665,490,451,401,392,349,345,306,227,204,199,177,169,168,131,107,64,4,2,0,0,All
Carolyn H Nichols,,20,"1,974","1,769",302,"1,866","1,835","1,502","1,470","1,390","1,371","1,257","1,169","1,128",865,661,503,457,389,396,368,332,309,211,226,189,175,178,151,120,115,66,4,3,0,0,All
Geoff Moulton,,,5,"1,678",229,"1,741","1,662","1,383","1,338","1,380","1,225","1,219","1,183","1,081",707,529,362,332,328,276,278,280,261,159,137,170,149,118,129,105,88,58,3,1,0,0,All
Debbie Kunselman,,,,0,152,"1,546","1,541","1,270","1,321","1,197","1,212","1,079",989,"1,010",623,555,339,296,248,265,205,212,181,143,142,150,129,123,113,98,68,40,3,2,1,0,All
Bill Caye,,,,,0,192,198,136,154,103,134,112,105,87,160,113,127,113,95,101,105,101,73,49,60,55,40,53,56,33,31,33,1,0,1,0,All
Vikki Kristiansson,,,,,,15,"1,712","1,425","1,362","1,365","1,262","1,195","1,175","1,068",673,549,376,337,296,285,231,237,226,155,148,146,109,109,89,72,75,27,2,3,1,0,All
Stella Tsai,,,,,,,9,"1,352","1,375","1,320","1,239","1,102","1,082","1,089",652,552,390,330,305,275,218,240,220,122,115,126,110,115,106,71,62,27,2,2,0,0,All
Lucretia C Clemons,,,,,,,,4,"1,163","1,156","1,066","1,088",926,935,542,454,189,135,150,181,138,102,99,156,152,104,140,91,83,76,78,33,0,1,0,0,All
Jennifer Schultz,,,,,,,,,0,"1,055","1,182",975,917,908,434,519,265,216,160,217,153,116,95,79,115,129,123,110,66,79,27,21,1,2,2,0,All
Henry Mcgregor Sias,,,,,,,,,,4,923,"1,041","1,058",971,441,279,165,143,193,97,159,153,156,60,39,69,79,33,76,38,39,16,3,0,1,0,All
Deborah Canty,,,,,,,,,,,5,927,862,849,394,449,243,201,175,208,124,114,111,97,126,131,106,110,44,75,48,31,3,2,2,0,All
Leon Goodman,,,,,,,,,,,,3,966,911,415,238,144,104,140,127,139,133,126,125,82,117,109,54,72,44,33,29,1,1,2,0,All
John Macoretta,,,,,,,,,,,,,2,836,258,149,156,139,211,88,120,163,161,45,23,68,47,24,39,34,12,12,4,0,1,0,All
Daniel R Sulman,,,,,,,,,,,,,,0,368,210,81,73,97,80,124,79,72,73,36,74,40,28,65,30,39,22,2,0,1,0,All
Zac Shaffer,,,,,,,,,,,,,,,26,328,177,183,170,167,224,169,130,148,105,95,96,68,111,71,77,35,0,1,1,0,All
Wendi Barish,,,,,,,,,,,,,,,,1,235,167,151,168,111,103,94,86,110,117,104,97,51,64,28,12,1,1,1,0,All
Deborah Cianfrani,,,,,,,,,,,,,,,,,1,286,152,236,141,146,128,43,128,35,39,100,40,19,21,16,1,1,0,0,All
Rania Major,,,,,,,,,,,,,,,,,,2,154,214,141,138,128,30,82,38,14,73,51,21,33,19,0,1,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,2,77,97,180,154,67,21,104,48,22,49,42,11,19,0,0,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,6,114,76,88,32,121,24,22,90,38,20,43,20,0,2,1,0,All
Mark B Cohen,,,,,,,,,,,,,,,,,,,,,7,105,92,34,47,43,20,46,44,16,45,23,1,0,0,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,1,166,59,24,52,52,32,57,36,20,29,1,0,0,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,3,56,30,45,28,24,47,19,22,19,0,1,0,0,All
David Conroy,,,,,,,,,,,,,,,,,,,,,,,,3,42,57,50,23,41,27,24,22,2,1,0,0,All
Crystal B Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,9,36,86,25,20,43,22,0,0,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,10,22,40,4,6,1,0,1,0,All
