col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Stella Tsai,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Lucretia C Clemons,Daniel R Sulman,Zac Shaffer,Shanese Johnson,David Conroy,Vincent Melchiorre,Mark B Cohen,Deborah Canty,Leon Goodman,Rania Major,Crystal B Powell,Jennifer Schultz,John Macoretta,Brian Mclaughlin,Terri M Booker,Henry Mcgregor Sias,Danyl S Patterson,Mark J Moore,Wendi Barish,Lawrence J Bozzelli,Leonard Deutchman,Bill Rice,Jon Marshall,Matthew C Monroe,Christian Dicicco,Dawn M Tancredi,Betsy Wahl,All
Stella Tsai,96,"1,994","2,012","1,856","1,504","1,554","1,239",637,"1,150","1,132",425,428,328,456,258,296,318,258,165,252,128,177,234,258,70,61,73,5,1,1,0,All
Vikki Kristiansson,,29,"1,927","1,795","1,422","1,482","1,273",554,"1,197","1,081",479,459,367,473,259,283,350,213,129,289,195,145,178,277,142,38,61,5,1,2,0,All
Deborah Cianfrani,,,34,"1,868","1,418","1,531","1,174",581,"1,117","1,110",411,348,282,450,250,261,288,227,181,268,110,147,187,237,56,52,62,4,1,2,0,All
Vincent Furlong,,,,17,"1,322","1,522","1,149",463,"1,122","1,105",345,274,249,324,153,144,262,227,103,203,100,109,89,201,43,68,57,5,1,1,0,All
Lucretia C Clemons,,,,,63,"1,197","1,185",606,"1,195","1,118",387,416,417,267,403,254,115,107,254,121,230,267,204,75,49,79,89,4,1,0,0,All
Daniel R Sulman,,,,,,12,"1,104",296,"1,021","1,056",217,260,208,159,115,153,108,70,75,73,79,92,120,71,66,32,56,3,1,1,0,All
Zac Shaffer,,,,,,,6,253,"1,108","1,083",262,257,304,148,147,122,126,72,54,56,143,80,112,57,96,28,41,0,2,1,0,All
Shanese Johnson,,,,,,,,199,213,206,539,495,436,462,409,309,215,174,279,170,227,195,223,181,74,111,89,5,1,0,0,All
David Conroy,,,,,,,,,2,982,218,234,251,86,169,65,93,52,57,26,172,88,45,26,64,35,35,1,0,1,0,All
Vincent Melchiorre,,,,,,,,,,5,158,151,153,96,79,67,61,58,45,39,68,88,88,36,50,26,40,2,2,0,0,All
Mark B Cohen,,,,,,,,,,,86,454,375,407,283,272,241,198,200,161,207,133,152,193,147,77,76,4,1,1,0,All
Deborah Canty,,,,,,,,,,,,37,367,330,333,318,149,124,208,119,225,161,221,132,154,71,58,5,2,2,0,All
Leon Goodman,,,,,,,,,,,,,40,215,291,200,169,138,180,127,242,204,192,101,138,75,67,3,1,1,0,All
Rania Major,,,,,,,,,,,,,,25,226,250,261,232,154,262,100,97,158,280,102,55,58,1,0,1,0,All
Crystal B Powell,,,,,,,,,,,,,,,5,196,48,79,254,75,222,175,158,34,26,77,65,4,0,1,0,All
Jennifer Schultz,,,,,,,,,,,,,,,,11,80,89,156,139,64,109,213,102,106,53,49,2,0,1,0,All
John Macoretta,,,,,,,,,,,,,,,,,16,193,44,219,69,31,60,236,73,33,22,1,1,1,0,All
Brian Mclaughlin,,,,,,,,,,,,,,,,,,15,60,168,41,70,64,188,33,49,40,3,2,0,0,All
Terri M Booker,,,,,,,,,,,,,,,,,,,10,68,106,143,116,34,24,71,54,3,0,0,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,,4,27,65,85,238,67,20,26,1,0,0,0,All
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,,14,110,65,14,48,46,39,2,0,1,0,All
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,28,84,32,29,44,57,1,1,0,0,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,,,9,56,55,24,35,4,0,0,0,All
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,,,,,,4,90,20,22,1,1,0,0,All
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,4,19,20,1,0,0,0,All
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,,3,36,0,2,0,0,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,0,0,All
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,674","2,536","2,486","2,270","2,153","1,866","1,585","1,512","1,452","1,370","1,156","1,022",950,893,679,610,556,470,460,459,455,451,445,439,256,190,189,14,4,4,0,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Vikki Kristiansson,Lucretia C Clemons,Stella Tsai,Vincent Furlong,Deborah Cianfrani,Shanese Johnson,Daniel R Sulman,Mark B Cohen,David Conroy,Zac Shaffer,Vincent Melchiorre,Rania Major,Deborah Canty,Leon Goodman,John Macoretta,Henry Mcgregor Sias,Jennifer Schultz,Crystal B Powell,Lawrence J Bozzelli,Danyl S Patterson,Wendi Barish,Mark J Moore,Terri M Booker,Brian Mclaughlin,Bill Rice,Leonard Deutchman,Jon Marshall,Christian Dicicco,Betsy Wahl,Dawn M Tancredi,Matthew C Monroe,1
Vikki Kristiansson,4,36,44,43,43,20,34,15,30,32,32,11,11,10,11,10,8,5,8,5,5,2,0,2,0,5,0,1,0,0,0,1
Lucretia C Clemons,,8,32,34,35,17,31,10,26,24,29,8,10,8,4,5,5,11,1,7,3,6,5,2,2,0,1,0,0,0,0,1
Stella Tsai,,,4,46,45,15,34,9,29,28,28,7,2,3,6,9,9,4,5,1,5,2,2,2,1,0,1,1,0,0,0,1
Vincent Furlong,,,,0,48,15,36,14,31,30,31,7,3,7,7,8,5,6,4,4,1,4,3,4,3,0,1,1,0,0,0,1
Deborah Cianfrani,,,,,1,16,34,12,28,28,30,11,2,4,6,9,5,6,6,3,3,2,2,3,2,0,0,1,0,0,0,1
Shanese Johnson,,,,,,6,6,17,7,7,9,14,13,11,12,12,11,10,11,8,7,7,4,4,2,3,2,0,0,0,0,1
Daniel R Sulman,,,,,,,0,5,25,25,26,2,4,4,4,4,4,2,1,0,2,0,1,0,1,0,1,1,0,0,0,1
Mark B Cohen,,,,,,,,7,6,5,5,11,10,10,7,9,7,10,6,9,2,5,6,4,3,4,2,0,0,0,0,1
David Conroy,,,,,,,,,1,28,23,3,5,6,3,0,2,2,1,4,0,1,1,1,1,2,1,0,0,0,0,1
Zac Shaffer,,,,,,,,,,0,26,3,6,7,4,1,2,1,2,4,1,0,0,0,0,3,0,1,0,0,0,1
Vincent Melchiorre,,,,,,,,,,,0,1,3,2,1,1,3,4,0,2,1,2,1,0,1,0,0,1,0,0,0,1
Rania Major,,,,,,,,,,,,1,7,5,11,10,8,4,11,2,4,2,2,4,1,3,2,0,0,0,0,1
Deborah Canty,,,,,,,,,,,,,0,10,6,4,6,8,5,7,4,4,2,1,0,4,1,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,1,7,4,3,6,3,7,3,3,4,2,1,3,0,0,0,0,0,1
John Macoretta,,,,,,,,,,,,,,,0,9,5,2,9,2,3,0,1,4,0,3,1,0,0,0,0,1
Henry Mcgregor Sias,,,,,,,,,,,,,,,,0,6,4,10,1,3,1,2,4,1,2,1,0,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,0,4,5,0,6,1,3,2,1,2,2,0,0,0,0,1
Crystal B Powell,,,,,,,,,,,,,,,,,,0,2,5,3,7,7,4,2,0,1,0,0,0,0,1
Lawrence J Bozzelli,,,,,,,,,,,,,,,,,,,0,0,4,0,1,4,0,3,0,0,0,0,0,1
Danyl S Patterson,,,,,,,,,,,,,,,,,,,,0,0,4,3,0,0,1,0,0,0,0,0,1
Wendi Barish,,,,,,,,,,,,,,,,,,,,,1,2,0,2,1,0,0,0,0,0,0,1
Mark J Moore,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,0,1,0,0,0,0,1
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,0,3,1,0,0,0,0,0,0,1
Brian Mclaughlin,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1
Bill Rice,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1
Leonard Deutchman,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Dawn M Tancredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Matthew C Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,65,60,59,58,56,45,41,36,35,35,34,23,20,20,19,18,17,16,14,12,10,9,8,7,5,5,3,1,0,0,0,1
