col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Jennifer Schultz,Anthony Kyriakakis,Joshua Roberts,Tiffany Palmer,James C Crumlish,Carmella Jacquinto,Wendi Barish,Cateria R Mccabe,Kay Yu,Henry Mcgregor Sias,Craig Levin,Nicola Serianni,Leon Goodman,Beth Grossman,Chris Hall,Kendra Mccrae,Jon Marshall,Sherman Toppin,Terri M Booker,Vicki Markovitz,Laurie Dow,Janine D Momasso,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Daniel D Mccaffery,"7,160","46,352","18,562","35,828","43,763","45,265","35,736","30,071","28,983","24,594","25,745","21,671","26,753","22,660","17,093","20,190","15,730","16,228","13,850","14,317","15,363","12,602","10,906","10,146","8,219","9,633","4,599","2,540",All
Amanda Green-hawkins,,"1,817","16,063","29,174","28,790","26,165","30,252","15,587","22,131","19,544","23,617","18,956","18,564","12,399","15,237","14,743","11,573","11,885","13,616","8,395","13,043","11,507","7,795","9,344","8,935","6,360","2,781","2,011",All
Beth Tarasi,,,"1,633","22,558","9,967","12,045","13,526","9,029","7,438","12,133","6,687","7,967","4,287","10,803","10,280","5,484","9,604","6,104","7,285","8,008","2,993","4,808","6,025","5,524","4,396","3,384","2,234","1,024",All
Jennifer Schultz,,,,680,"12,976","12,503","19,828","7,961","7,296","14,810","10,653","12,774","6,825","13,021","14,932","6,389","9,959","6,645","7,253","9,916","2,614","4,300","6,123","5,399","5,519","3,972","2,114",842,All
Anthony Kyriakakis,,,,,380,"18,974","28,881","22,017","18,994","13,321","17,143","19,187","24,641","4,501","7,526","8,393","4,926","15,429","3,803","1,312","9,004","2,134","4,813","2,137","2,059","5,614","1,050",723,All
Joshua Roberts,,,,,,710,"5,022","15,830","19,283","9,057","14,009","3,551","14,364","11,611","5,857","7,018","4,486","2,810","3,818","10,001","10,783","5,158","2,561","2,631","1,596","2,119","1,741",727,All
Tiffany Palmer,,,,,,,279,"14,542","7,122","15,764","13,151","22,406","14,265","4,798","12,384","9,566","7,687","16,602","9,119","2,194","2,934","6,501","6,436","5,574","5,218","5,679","1,412","1,254",All
James C Crumlish,,,,,,,,382,"12,430","9,915","6,336","7,008","8,457","6,105","5,292","6,025","4,274","12,542","3,208","3,304","2,335","3,217","2,233","2,633","1,488","3,495","1,710",495,All
Carmella Jacquinto,,,,,,,,,520,"8,970","13,929","5,639","14,117","3,612","4,897","6,009","4,724","2,417","6,071","1,336","9,119","5,020","3,195","3,830","3,832","2,013","1,155",630,All
Wendi Barish,,,,,,,,,,169,"7,144","7,548","7,180","5,286","11,255","6,448","8,560","4,174","5,769","2,632","2,358","4,349","6,014","5,142","5,057","2,623","1,262",661,All
Cateria R Mccabe,,,,,,,,,,,178,"7,760","14,230","2,764","8,083","5,529","3,310","2,154","6,010","1,591","9,917","3,795","2,349","3,200","6,051","2,073",894,622,All
Kay Yu,,,,,,,,,,,,380,"11,757","2,828","7,133","5,140","3,970","7,794","4,564","1,039","1,642","3,127","3,753","2,851","2,257","3,739",768,906,All
Henry Mcgregor Sias,,,,,,,,,,,,,120,"1,799","4,515","5,127","1,733","2,898","1,610",638,"7,687","1,127","2,889","1,077","1,369","2,096",566,646,All
Craig Levin,,,,,,,,,,,,,,539,"4,868","5,024","4,636","2,507","2,614","8,692","2,200","2,776","3,314","2,787","1,959","2,313","1,550",686,All
Nicola Serianni,,,,,,,,,,,,,,,169,"3,246","5,865","2,244","4,754","3,336","1,995","2,616","3,888","3,347","4,860","2,190","1,054",813,All
Leon Goodman,,,,,,,,,,,,,,,,189,"4,253","3,286","5,255","3,090","3,431","5,861","4,276","2,984","2,768","2,394","1,649",920,All
Beth Grossman,,,,,,,,,,,,,,,,,234,"3,078","5,213","2,194","1,187","3,496","5,900","4,922","2,717","2,914","1,022",745,All
Chris Hall,,,,,,,,,,,,,,,,,,107,"3,261","1,409","1,395","2,921","1,638","2,290",764,"3,704","1,461",601,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,187,"1,925","2,985","5,672","2,622","4,092","3,243","1,453","1,519",666,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,218,"1,506","2,113","1,001","1,365",692,856,"1,176",431,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,168,"3,451","1,123","2,101","1,713",933,864,577,All
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,315,"1,855","3,574","2,278",891,"1,353",879,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,83,"2,502","2,008","1,784",770,466,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,215,"2,570","1,678",863,518,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,185,"2,243",526,551,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,76,893,653,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,41,358,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,All
Total,"127,354","81,956","44,654","58,617","57,101","55,206","54,311","38,518","38,461","36,273","35,713","33,670","33,077","30,349","27,790","25,909","23,348","23,315","21,359","19,116","19,058","18,376","16,049","15,748","14,096","13,324","6,114","3,782",All
