col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Eryn Santamoor,Allan Domb,Justin Diberardinis,Derek S Green,Erika Almirón,Katherine Gilmore Richardson,Isaiah Thomas,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ethelind Baylor,Asa Khalif,Ogbonna Paul Hagins,Latrice Y Bryant,Willie Floyd Singletary,Hena Veit,Fareed Abdullah,Billy Thompson,Joseph A Diorio,Mark Ross,Edwin Santana,Vinny Black,Wayne Allen,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Jim Kenney,215,0,0,"3,735","2,225","1,746","1,909","1,661","1,585","1,330","1,239","1,213",937,776,569,330,333,199,199,156,143,158,131,112,99,64,67,46,65,46,40,20,0,All
Anthony Hardy Williams,,27,0,284,162,219,110,148,95,115,112,106,98,89,58,65,23,55,32,29,36,20,37,30,22,14,12,23,7,13,14,4,0,All
Alan Butkovitz,,,29,233,162,254,135,88,67,91,62,73,44,91,66,29,15,14,21,14,16,18,9,20,35,23,13,19,13,17,8,4,0,All
Helen Gym,,,,9,"2,041","1,477","1,662","1,467","1,493","1,228","1,079",976,769,653,518,278,298,147,179,116,108,133,87,87,66,51,49,38,41,30,29,9,0,All
Eryn Santamoor,,,,,7,"1,150","1,036","1,080",718,933,702,425,246,343,404,114,70,53,48,39,23,58,34,25,28,17,19,19,17,20,14,6,0,All
Allan Domb,,,,,,50,823,851,278,472,458,294,168,323,193,114,46,63,32,40,32,45,52,74,68,54,21,40,34,30,28,15,0,All
Justin Diberardinis,,,,,,,6,739,815,335,561,499,302,257,156,86,203,52,27,44,12,28,35,31,40,22,19,12,12,11,9,5,0,All
Derek S Green,,,,,,,,1,402,643,789,272,257,194,102,85,58,54,24,17,16,16,24,37,21,13,18,9,22,9,4,4,0,All
Erika Almirón,,,,,,,,,1,478,433,447,349,254,305,128,233,91,43,49,4,47,41,13,12,14,14,13,10,8,6,1,0,All
Katherine Gilmore Richardson,,,,,,,,,,3,433,224,184,268,257,138,45,41,36,50,14,57,21,30,24,16,15,13,14,17,13,4,0,All
Isaiah Thomas,,,,,,,,,,,0,249,110,118,47,71,165,50,26,27,13,16,37,24,20,17,25,5,16,5,11,1,0,All
Adrián Rivera-reyes,,,,,,,,,,,,3,509,236,188,83,91,68,149,49,86,43,46,44,33,11,30,17,9,16,9,7,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,1,190,103,77,73,86,123,60,100,39,39,20,28,16,15,12,17,7,8,4,0,All
Beth Finn,,,,,,,,,,,,,,0,86,136,50,47,20,52,22,76,30,39,31,29,21,17,26,22,12,10,0,All
Fernando Treviño,,,,,,,,,,,,,,,1,23,19,27,32,16,16,16,30,26,17,11,21,11,11,11,9,2,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,0,24,52,9,47,14,36,24,8,19,10,9,13,9,11,5,4,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,0,18,10,21,1,5,12,5,4,4,6,3,11,0,0,3,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,0,11,26,12,21,59,8,11,7,12,12,10,6,6,2,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,0,11,66,17,17,15,5,1,9,3,3,5,0,0,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,0,13,20,16,10,10,6,7,4,4,9,10,4,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,2,12,9,21,16,7,7,5,9,6,5,3,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,0,10,9,15,8,9,7,7,4,7,3,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,0,6,11,4,4,8,5,5,4,4,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,0,22,14,5,13,11,12,12,2,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,2,12,2,18,8,11,11,4,0,All
