col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Willie Floyd Singletary,Adrián Rivera-reyes,Deja Lynn Alvarez,Sandra Dungee Glenn,Fareed Abdullah,Ethelind Baylor,Erika Almirón,Billy Thompson,Ogbonna Paul Hagins,Eryn Santamoor,Asa Khalif,Justin Diberardinis,Latrice Y Bryant,Wayne Edmund Dorsey,Edwin Santana,Fernando Treviño,Joseph A Diorio,Beth Finn,Wayne Allen,Hena Veit,Mark Ross,Vinny Black,Devon Cade,Bobbie Curry,Sherrie Cohen,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Helen Gym,115,676,661,645,538,205,239,185,174,88,118,156,116,133,99,84,93,60,54,41,48,40,48,29,33,30,25,24,15,0,497,576,271,40,All
Allan Domb,,34,601,631,486,78,74,53,122,91,83,55,69,18,84,65,37,21,47,34,22,24,18,21,16,16,23,20,13,0,220,540,96,34,All
Isaiah Thomas,,,10,639,493,89,77,44,124,116,103,86,73,24,53,90,58,55,30,31,19,25,18,31,14,33,14,19,9,0,235,528,137,28,All
Derek S Green,,,,17,498,64,54,27,132,96,89,54,65,11,63,62,60,40,44,31,14,13,14,16,11,22,15,10,11,0,214,493,107,26,All
Katherine Gilmore Richardson,,,,,7,31,42,29,124,51,56,68,58,15,60,32,36,36,32,22,16,11,19,12,10,10,8,6,9,0,158,407,98,20,All
Willie Floyd Singletary,,,,,,12,184,163,19,31,19,14,49,118,24,21,8,25,16,8,13,17,11,9,10,9,15,5,4,0,196,87,131,24,All
Adrián Rivera-reyes,,,,,,,6,161,28,28,13,29,26,130,38,23,14,18,19,12,28,25,14,8,21,12,10,3,9,1,244,70,103,17,All
Deja Lynn Alvarez,,,,,,,,22,11,18,18,22,18,121,21,16,10,25,8,12,17,17,13,4,16,6,8,3,2,0,165,49,121,8,All
Sandra Dungee Glenn,,,,,,,,,1,33,31,59,52,9,27,29,43,21,13,40,35,34,17,4,10,2,6,2,6,0,105,130,47,6,All
Fareed Abdullah,,,,,,,,,,11,30,23,26,9,19,58,3,21,15,15,6,9,11,15,4,10,12,5,6,0,92,87,65,9,All
Ethelind Baylor,,,,,,,,,,,15,45,22,11,19,11,24,15,4,13,5,7,7,15,3,12,7,8,2,0,81,78,54,7,All
Erika Almirón,,,,,,,,,,,,1,36,7,31,25,40,19,11,7,13,6,27,7,8,11,7,4,2,0,87,64,50,7,All
Billy Thompson,,,,,,,,,,,,,1,7,16,19,3,24,15,7,13,11,8,10,9,12,13,8,7,0,62,79,40,25,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,3,13,6,1,10,4,4,5,4,3,8,7,0,5,0,1,1,100,27,66,4,All
Eryn Santamoor,,,,,,,,,,,,,,,2,14,26,7,4,12,23,13,10,6,17,5,8,5,6,0,59,59,42,16,All
Asa Khalif,,,,,,,,,,,,,,,,0,10,25,7,14,1,9,10,6,8,9,4,4,4,0,70,54,47,4,All
Justin Diberardinis,,,,,,,,,,,,,,,,,1,4,5,28,36,30,2,1,0,4,4,3,2,0,55,46,22,7,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,0,6,6,8,13,12,7,11,8,12,7,6,1,43,39,41,7,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,9,11,4,3,2,8,3,2,4,1,3,0,39,58,16,4,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,2,37,27,7,7,3,2,5,1,4,0,45,43,17,7,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,0,46,6,7,11,3,5,6,3,0,37,28,23,9,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,5,3,10,5,8,9,5,0,26,28,24,16,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,3,7,13,3,3,3,3,0,43,14,21,5,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,4,1,0,25,18,16,9,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,1,6,0,25,20,16,6,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,3,5,0,17,28,12,6,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,5,0,17,25,17,9,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,12,14,16,1,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,7,3,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,All
Rochelle Bilal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,0,0,All
Jewell Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,0,All
Malika Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,All
Larry King Sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,All
Total,"1,675","1,073","1,042",984,767,475,467,384,336,282,269,245,234,214,195,183,157,144,141,133,120,119,89,76,71,71,71,49,40,1,973,969,605,109,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,1
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Deja Lynn Alvarez,Adrián Rivera-reyes,Sandra Dungee Glenn,Fareed Abdullah,Willie Floyd Singletary,Ogbonna Paul Hagins,Erika Almirón,Edwin Santana,Latrice Y Bryant,Asa Khalif,Beth Finn,Billy Thompson,Eryn Santamoor,Justin Diberardinis,Wayne Edmund Dorsey,Ethelind Baylor,Fernando Treviño,Wayne Allen,Devon Cade,Joseph A Diorio,Bobbie Curry,Hena Veit,Mark Ross,Sherrie Cohen,Vinny Black,Jewell Williams,Rochelle Bilal,Malika Rahman,Larry King Sr,1
Helen Gym,6,26,29,23,21,7,8,3,3,7,5,3,0,2,1,2,2,2,1,2,2,0,1,1,1,0,0,0,0,0,21,15,8,1,1
