col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Erika Almirón,Sandra Dungee Glenn,Willie Floyd Singletary,Billy Thompson,Ogbonna Paul Hagins,Fernando Treviño,Bobbie Curry,Vinny Black,Hena Veit,Mark Ross,Ethelind Baylor,Latrice Y Bryant,Asa Khalif,Fareed Abdullah,Wayne Allen,Edwin Santana,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,David H Conroy,Theresa Brunson,All
Helen Gym,53,692,540,424,397,338,236,222,211,159,94,138,123,105,77,104,78,56,45,61,41,56,30,46,34,26,21,26,26,0,778,484,All
Allan Domb,,67,449,465,395,303,292,100,159,61,134,48,83,38,95,25,49,63,62,41,46,23,19,31,33,34,28,21,26,0,756,305,All
Katherine Gilmore Richardson,,,2,384,360,193,158,53,101,44,45,87,80,14,30,15,40,30,25,28,17,30,26,15,15,6,11,16,8,0,455,225,All
Derek S Green,,,,3,387,99,150,31,36,28,29,28,28,11,34,11,20,24,33,8,16,35,17,27,18,11,9,5,13,0,454,132,All
Isaiah Thomas,,,,,1,73,117,47,29,30,21,37,27,19,26,7,18,9,21,10,12,45,23,32,24,9,7,14,8,0,403,137,All
Eryn Santamoor,,,,,,5,141,73,104,39,51,74,53,26,40,14,54,30,27,34,17,17,21,9,11,13,17,12,9,0,235,227,All
Justin Diberardinis,,,,,,,18,40,74,19,74,39,36,14,31,6,24,27,27,18,26,27,6,13,7,7,12,7,9,0,273,126,All
Adrián Rivera-reyes,,,,,,,,14,68,148,28,41,25,97,26,90,42,13,12,25,8,12,17,19,7,13,20,9,4,0,202,169,All
Beth Finn,,,,,,,,,3,42,61,54,75,13,49,9,26,36,21,31,33,14,19,9,9,17,19,14,13,0,153,196,All
Deja Lynn Alvarez,,,,,,,,,,12,24,33,13,101,13,83,32,12,4,17,9,4,19,16,1,6,13,3,2,0,131,132,All
Joseph A Diorio,,,,,,,,,,,5,16,20,26,65,13,29,37,25,20,25,5,9,4,8,15,9,11,14,0,157,85,All
Erika Almirón,,,,,,,,,,,,2,41,8,7,8,47,9,8,7,7,16,23,16,8,1,8,1,4,0,82,112,All
Sandra Dungee Glenn,,,,,,,,,,,,,0,8,15,8,5,21,15,14,10,8,15,14,8,4,10,10,3,0,57,138,All
Willie Floyd Singletary,,,,,,,,,,,,,,5,24,72,11,7,9,7,4,2,6,4,6,5,3,3,3,0,112,71,All
Billy Thompson,,,,,,,,,,,,,,,2,13,13,36,15,14,24,11,13,4,4,13,6,7,13,0,122,56,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,6,11,9,4,12,2,3,4,8,1,5,1,1,5,0,98,52,All
