col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Eryn Santamoor,Ogbonna Paul Hagins,Fareed Abdullah,Asa Khalif,Billy Thompson,Ethelind Baylor,Erika Almirón,Latrice Y Bryant,Justin Diberardinis,Edwin Santana,Joseph A Diorio,Fernando Treviño,Beth Finn,Hena Veit,Mark Ross,Vinny Black,Bobbie Curry,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Helen Gym,49,572,602,572,439,228,219,161,151,99,138,82,71,82,89,88,61,74,49,30,30,37,40,18,23,17,21,15,14,0,512,541,209,All
Isaiah Thomas,,19,508,572,437,200,80,79,44,98,27,101,81,52,74,64,54,53,37,28,21,35,10,23,19,7,23,15,18,2,323,382,127,All
Allan Domb,,,44,537,374,168,77,74,42,100,26,80,45,43,46,31,23,34,39,25,23,23,20,20,19,21,24,20,17,0,267,405,112,All
Derek S Green,,,,17,460,220,66,62,32,132,15,67,63,43,64,37,37,52,35,12,21,28,7,16,14,11,20,12,6,0,287,390,118,All
Katherine Gilmore Richardson,,,,,12,183,41,27,19,100,11,33,30,47,28,42,27,23,18,8,7,19,14,16,11,10,4,11,3,1,167,315,94,All
Sandra Dungee Glenn,,,,,,25,45,33,14,78,10,27,36,56,39,53,34,42,45,44,38,31,14,7,4,14,8,7,2,0,195,94,130,All
Adrián Rivera-reyes,,,,,,,9,142,144,31,120,18,23,24,14,24,22,14,14,17,33,32,17,11,7,14,9,12,7,0,292,85,74,All
Willie Floyd Singletary,,,,,,,,15,134,18,94,30,32,28,11,13,25,5,12,13,12,7,7,12,15,15,11,7,2,1,245,81,65,All
Deja Lynn Alvarez,,,,,,,,,8,26,110,19,23,21,11,14,33,5,10,23,17,9,13,7,8,6,6,4,10,0,200,53,62,All
Eryn Santamoor,,,,,,,,,,0,5,17,7,11,12,12,20,20,4,14,13,10,20,9,7,10,4,10,4,1,94,43,52,All
Ogbonna Paul Hagins,,,,,,,,,,,4,13,6,15,2,6,8,1,5,3,8,5,9,1,7,3,2,1,5,0,125,46,35,All
Fareed Abdullah,,,,,,,,,,,,4,55,18,15,14,23,11,20,10,7,6,8,8,15,5,5,8,8,0,100,38,50,All
Asa Khalif,,,,,,,,,,,,,1,9,9,17,27,6,18,9,6,7,7,3,16,7,7,5,4,0,104,17,36,All
Billy Thompson,,,,,,,,,,,,,,3,6,31,14,5,9,12,7,11,7,6,12,6,5,9,6,0,75,29,52,All
Ethelind Baylor,,,,,,,,,,,,,,,6,20,9,23,9,8,5,10,3,3,3,1,5,4,1,0,67,39,26,All
Erika Almirón,,,,,,,,,,,,,,,,0,17,18,7,5,4,13,12,5,4,7,6,8,3,0,68,21,45,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,0,5,12,11,5,7,15,8,8,7,9,5,13,0,66,29,40,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,1,33,30,28,6,0,8,2,3,2,1,2,2,40,38,45,All
Edwin Santana,,,,,,,,,,,,,,,,,,,1,32,32,6,8,1,3,6,3,3,5,0,57,20,44,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,1,37,10,8,7,6,6,1,7,9,0,41,20,37,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,1,6,7,3,5,2,5,1,2,1,41,13,47,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,2,11,11,3,6,4,1,4,0,55,18,17,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,2,3,6,3,0,5,6,0,39,6,22,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,4,3,4,1,26,11,17,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,4,4,0,32,16,14,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,3,1,32,12,11,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,34,8,6,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,23,11,9,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,8,5,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,All
Tracey Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,All
Ronald R Donatucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,All
Jacque P Whaumbush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,All
Total,"1,420",972,946,934,679,525,486,429,343,246,226,210,177,170,159,155,148,141,130,114,107,101,79,68,65,59,55,55,47,3,"1,150",802,467,All
,Register Of Wills - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Helen Gym,Derek S Green,Allan Domb,Adrián Rivera-reyes,Isaiah Thomas,Willie Floyd Singletary,Katherine Gilmore Richardson,Deja Lynn Alvarez,Ethelind Baylor,Sandra Dungee Glenn,Fareed Abdullah,Ogbonna Paul Hagins,Latrice Y Bryant,Vinny Black,Billy Thompson,Bobbie Curry,Fernando Treviño,Justin Diberardinis,Erika Almirón,Eryn Santamoor,Beth Finn,Hena Veit,Joseph A Diorio,Wayne Allen,Asa Khalif,Edwin Santana,Wayne Edmund Dorsey,Devon Cade,Mark Ross,Sherrie Cohen,1
Tracey Gordon,1,0,0,22,16,14,18,15,12,3,8,5,4,7,8,2,4,5,2,4,1,3,0,1,2,1,2,2,1,1,1,1,0,1
Ronald R Donatucci,,3,0,15,10,10,6,6,8,6,3,3,4,1,2,3,2,1,1,0,2,0,1,2,0,1,0,0,1,0,0,0,0,1
Jacque P Whaumbush,,,1,1,3,2,3,2,4,2,5,3,1,2,0,3,1,0,3,2,1,0,2,0,0,1,1,0,0,0,0,0,0,1
Helen Gym,,,,1,19,14,10,16,7,7,4,6,3,4,6,4,3,2,0,2,3,4,0,2,2,2,2,0,1,0,0,1,0,1
Derek S Green,,,,,0,17,5,19,3,10,2,3,4,5,0,3,2,3,0,2,1,1,2,2,1,0,1,1,1,1,0,0,0,1
Allan Domb,,,,,,1,6,16,4,8,2,1,5,5,2,0,2,2,3,2,1,0,1,1,0,0,0,1,1,0,1,1,0,1
Adrián Rivera-reyes,,,,,,,0,4,7,1,4,4,3,2,5,0,2,2,2,3,2,3,1,0,1,0,0,1,0,1,1,0,0,1
Isaiah Thomas,,,,,,,,0,4,9,1,2,3,6,0,2,3,4,0,0,1,2,2,0,0,0,2,1,1,1,0,1,0,1
Willie Floyd Singletary,,,,,,,,,0,0,9,2,2,0,6,2,3,3,4,2,1,0,2,0,0,1,0,0,0,1,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,,,3,1,2,1,2,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
Deja Lynn Alvarez,,,,,,,,,,,0,1,1,2,5,2,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Ethelind Baylor,,,,,,,,,,,,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,1
Sandra Dungee Glenn,,,,,,,,,,,,,1,0,2,2,0,0,3,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
Fareed Abdullah,,,,,,,,,,,,,,0,0,2,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1
Ogbonna Paul Hagins,,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Latrice Y Bryant,,,,,,,,,,,,,,,,0,2,2,0,0,2,0,0,0,1,1,1,0,1,1,0,0,0,1
Vinny Black,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Billy Thompson,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
Fernando Treviño,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,0,3,0,1,0,0,0,0,0,0,0,0,0,1
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,55,29,13,43,34,30,28,28,24,17,16,12,12,10,10,9,7,6,6,6,6,5,4,3,3,3,3,2,2,2,1,1,0,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,2
