col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Judge Of The Superior Court - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Eryn Santamoor,Ogbonna Paul Hagins,Fareed Abdullah,Asa Khalif,Billy Thompson,Ethelind Baylor,Erika Almirón,Latrice Y Bryant,Justin Diberardinis,Edwin Santana,Joseph A Diorio,Fernando Treviño,Beth Finn,Hena Veit,Mark Ross,Vinny Black,Bobbie Curry,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Daniel D Mccaffery,79,831,210,979,687,671,658,489,302,306,284,232,130,141,146,115,118,91,93,91,79,69,56,50,59,39,44,43,40,34,27,24,0,All
Amanda Green-hawkins,,48,170,842,632,567,602,482,313,218,180,149,131,97,136,108,103,100,104,94,84,88,67,70,57,44,36,45,35,33,24,24,1,All
Beth Tarasi,,,38,258,117,113,106,73,79,191,139,152,64,98,33,34,28,29,30,40,18,19,32,26,32,27,6,13,12,12,15,10,0,All
Helen Gym,,,,38,572,602,572,439,228,219,161,151,99,138,82,71,82,89,88,61,74,49,30,30,37,40,18,23,17,21,15,14,0,All
Isaiah Thomas,,,,,17,508,572,437,200,80,79,44,98,27,101,81,52,74,64,54,53,37,28,21,35,10,23,19,7,23,15,18,2,All
Allan Domb,,,,,,40,537,374,168,77,74,42,100,26,80,45,43,46,31,23,34,39,25,23,23,20,20,19,21,24,20,17,0,All
Derek S Green,,,,,,,16,460,220,66,62,32,132,15,67,63,43,64,37,37,52,35,12,21,28,7,16,14,11,20,12,6,0,All
Katherine Gilmore Richardson,,,,,,,,10,183,41,27,19,100,11,33,30,47,28,42,27,23,18,8,7,19,14,16,11,10,4,11,3,1,All
Sandra Dungee Glenn,,,,,,,,,20,45,33,14,78,10,27,36,56,39,53,34,42,45,44,38,31,14,7,4,14,8,7,2,0,All
Adrián Rivera-reyes,,,,,,,,,,5,142,144,31,120,18,23,24,14,24,22,14,14,17,33,32,17,11,7,14,9,12,7,0,All
Willie Floyd Singletary,,,,,,,,,,,13,134,18,94,30,32,28,11,13,25,5,12,13,12,7,7,12,15,15,11,7,2,1,All
Deja Lynn Alvarez,,,,,,,,,,,,4,26,110,19,23,21,11,14,33,5,10,23,17,9,13,7,8,6,6,4,10,0,All
Eryn Santamoor,,,,,,,,,,,,,0,5,17,7,11,12,12,20,20,4,14,13,10,20,9,7,10,4,10,4,1,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,0,13,6,15,2,6,8,1,5,3,8,5,9,1,7,3,2,1,5,0,All
Fareed Abdullah,,,,,,,,,,,,,,,3,55,18,15,14,23,11,20,10,7,6,8,8,15,5,5,8,8,0,All
Asa Khalif,,,,,,,,,,,,,,,,2,9,9,17,27,6,18,9,6,7,7,3,16,7,7,5,4,0,All
Billy Thompson,,,,,,,,,,,,,,,,,3,6,31,14,5,9,12,7,11,7,6,12,6,5,9,6,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,3,20,9,23,9,8,5,10,3,3,3,1,5,4,1,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,0,17,18,7,5,4,13,12,5,4,7,6,8,3,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,3,5,12,11,5,7,15,8,8,7,9,5,13,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,1,33,30,28,6,0,8,2,3,2,1,2,2,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,1,32,32,6,8,1,3,6,3,3,5,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,1,37,10,8,7,6,6,1,7,9,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,3,5,2,5,1,2,1,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,2,11,11,3,6,4,1,4,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,3,0,5,6,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,8,4,3,4,1,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,4,4,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,3,1,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,788","1,438",566,"1,420",972,946,934,679,525,486,429,343,246,226,210,177,170,159,155,148,141,130,114,107,101,79,68,65,59,55,55,47,3,All
,Judge Of The Superior Court - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
