col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Willie Floyd Singletary,Ogbonna Paul Hagins,Erika Almirón,Sandra Dungee Glenn,Fernando Treviño,Eryn Santamoor,Fareed Abdullah,Beth Finn,Billy Thompson,Latrice Y Bryant,Asa Khalif,Justin Diberardinis,Edwin Santana,Hena Veit,Joseph A Diorio,Wayne Allen,Ethelind Baylor,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Jewell Williams,Malika Rahman,Larry King Sr,All
Helen Gym,26,190,183,182,199,118,144,122,131,71,61,33,47,30,34,30,30,34,46,11,32,13,13,29,8,12,12,16,7,0,272,136,142,20,All
Isaiah Thomas,,31,353,375,68,270,54,39,16,56,63,25,24,58,20,34,37,45,41,16,21,26,25,25,12,12,5,25,7,0,129,331,83,22,All
Allan Domb,,,16,356,61,247,42,31,21,21,46,22,37,45,21,18,20,34,31,20,12,28,17,10,12,13,7,21,13,0,90,318,64,24,All
Derek S Green,,,,6,43,256,32,27,12,42,52,19,21,41,15,24,20,35,47,15,10,11,15,16,5,5,7,4,8,0,87,308,62,14,All
Adrián Rivera-reyes,,,,,30,37,171,131,115,52,30,74,34,16,26,16,12,13,8,36,17,12,10,9,6,7,9,5,5,0,241,62,108,24,All
Katherine Gilmore Richardson,,,,,,2,23,23,8,24,34,10,31,20,23,16,18,13,23,6,19,10,8,8,6,6,8,7,11,0,59,231,43,8,All
Deja Lynn Alvarez,,,,,,,13,123,108,22,13,48,22,9,17,11,18,5,8,25,16,14,9,4,6,8,6,5,2,0,157,46,97,17,All
Willie Floyd Singletary,,,,,,,,3,100,5,6,14,14,13,8,20,10,5,0,5,6,10,9,4,6,7,4,2,6,0,128,40,65,9,All
Ogbonna Paul Hagins,,,,,,,,,4,7,8,16,12,2,7,11,4,5,2,4,4,5,1,3,4,2,2,2,2,0,109,20,59,3,All
Erika Almirón,,,,,,,,,,2,28,30,11,7,14,6,9,14,15,16,9,2,3,15,5,4,2,2,0,0,60,21,31,9,All
Sandra Dungee Glenn,,,,,,,,,,,2,16,11,7,12,11,18,16,9,14,13,18,7,6,4,5,3,3,4,0,52,43,34,7,All
Fernando Treviño,,,,,,,,,,,,2,15,4,12,14,6,6,7,36,10,15,4,6,2,3,3,1,1,0,47,22,34,14,All
Eryn Santamoor,,,,,,,,,,,,,1,5,19,9,12,5,14,6,13,7,6,3,7,11,11,5,4,0,40,21,37,10,All
Fareed Abdullah,,,,,,,,,,,,,,2,7,9,12,26,3,5,2,6,5,6,4,3,5,6,2,0,26,37,28,4,All
Beth Finn,,,,,,,,,,,,,,,1,9,10,7,2,8,16,4,10,6,3,1,10,4,3,1,38,17,22,8,All
Billy Thompson,,,,,,,,,,,,,,,,1,13,9,3,2,4,8,6,4,5,6,4,8,3,0,26,31,19,11,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,2,6,5,3,7,7,11,4,10,10,9,7,1,0,25,28,23,8,All
Asa Khalif,,,,,,,,,,,,,,,,,,2,6,4,6,2,2,2,7,1,4,2,2,0,33,27,24,2,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,0,11,1,7,1,8,3,5,5,2,0,0,17,37,13,9,All
