col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Helen Gym,Isaiah Thomas,Derek S Green,Allan Domb,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Ogbonna Paul Hagins,Fareed Abdullah,Eryn Santamoor,Erika Almirón,Asa Khalif,Justin Diberardinis,Latrice Y Bryant,Billy Thompson,Ethelind Baylor,Fernando Treviño,Edwin Santana,Joseph A Diorio,Vinny Black,Beth Finn,Wayne Allen,Mark Ross,Devon Cade,Bobbie Curry,Hena Veit,Wayne Edmund Dorsey,Sherrie Cohen,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,All
Helen Gym,22,308,290,291,211,114,177,120,123,114,56,79,89,41,76,32,37,46,22,16,18,10,16,6,6,12,8,18,10,0,333,269,137,All
Isaiah Thomas,,14,403,322,251,223,42,42,19,8,81,51,65,68,59,38,32,60,12,20,12,14,10,21,22,14,12,6,11,0,220,267,80,All
Derek S Green,,,22,317,259,212,30,31,14,5,44,61,41,35,44,26,43,42,8,17,4,10,5,16,16,10,7,5,8,0,167,250,69,All
Allan Domb,,,,31,212,140,48,41,20,13,61,78,22,37,19,17,22,37,12,14,13,13,6,9,5,11,5,7,9,0,160,229,67,All
Katherine Gilmore Richardson,,,,,10,137,35,25,20,7,36,51,30,34,20,19,45,9,8,15,7,8,9,1,7,6,6,7,5,0,132,170,52,All
Sandra Dungee Glenn,,,,,,18,21,16,20,5,25,28,37,28,24,21,45,36,12,20,13,7,11,4,8,8,11,5,11,0,102,153,59,All
Adrián Rivera-reyes,,,,,,,9,114,112,106,17,24,27,16,10,18,12,9,21,8,13,5,11,3,3,6,3,9,1,0,202,70,56,All
Willie Floyd Singletary,,,,,,,,12,105,82,21,15,6,11,2,20,11,6,12,6,12,6,4,11,2,8,5,6,4,0,166,65,63,All
