col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Allan Domb,Ethelind Baylor,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Willie Floyd Singletary,Joseph A Diorio,Latrice Y Bryant,Billy Thompson,Fareed Abdullah,Hena Veit,Edwin Santana,Mark Ross,Devon Cade,Wayne Allen,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Sherrie Cohen,All
Jim Kenney,199,0,0,"3,596","2,367","2,122","1,965","1,330",994,"1,173",858,850,830,619,466,435,220,176,135,103,88,108,88,82,82,57,43,42,42,38,41,18,1,All
Anthony Hardy Williams,,45,0,273,140,94,159,127,143,51,110,92,99,77,45,54,59,35,39,43,34,24,25,34,12,6,7,11,17,9,6,6,0,All
Alan Butkovitz,,,42,140,84,58,50,78,147,23,49,45,44,43,39,47,24,18,15,18,34,9,21,7,21,10,18,11,4,11,9,5,0,All
Helen Gym,,,,3,"2,313","2,119","1,947","1,224",868,"1,170",764,802,719,514,398,382,197,159,125,81,73,68,72,63,71,40,31,28,35,26,26,12,0,All
Justin Diberardinis,,,,,1,"1,561","1,536",813,508,"1,029",467,391,388,221,145,165,48,37,42,10,40,22,20,16,16,18,18,17,7,8,8,6,1,All
Erika Almirón,,,,,,0,"1,371",531,191,"1,079",275,294,349,288,221,179,110,31,60,5,6,33,11,24,23,12,2,10,10,14,7,1,1,All
Isaiah Thomas,,,,,,,4,489,352,"1,026",371,381,205,112,98,97,72,45,54,29,37,28,31,40,17,17,11,17,13,7,5,6,1,All
Eryn Santamoor,,,,,,,,3,525,94,367,526,256,163,253,188,88,37,39,9,27,34,30,20,40,14,10,17,10,9,13,6,1,All
Allan Domb,,,,,,,,,13,56,428,250,165,98,153,150,91,34,48,30,91,17,52,23,34,23,34,28,16,14,22,11,0,All
Ethelind Baylor,,,,,,,,,,0,67,47,112,81,38,58,19,18,13,2,2,17,8,7,8,5,5,4,9,8,3,2,1,All
Derek S Green,,,,,,,,,,,0,304,132,154,72,75,59,26,33,22,14,21,23,21,12,16,16,13,12,7,8,6,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,0,124,98,168,127,87,27,18,12,24,35,20,23,22,10,9,4,13,6,11,4,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,4,312,115,135,52,115,49,66,20,30,26,25,17,21,11,7,10,18,8,5,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,0,87,90,43,92,46,70,21,35,24,24,25,13,7,9,11,9,7,3,0,All
Fernando Treviño,,,,,,,,,,,,,,,2,80,24,30,24,16,26,18,23,19,15,21,5,6,9,6,5,3,1,All
Beth Finn,,,,,,,,,,,,,,,,0,83,27,29,12,17,25,28,12,29,10,17,10,15,6,10,7,1,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,0,19,30,2,10,31,11,17,23,7,5,6,8,3,7,4,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,1,20,56,3,11,9,12,13,5,0,1,2,7,3,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,0,9,1,15,4,37,7,3,4,6,7,3,3,1,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,1,14,15,16,18,4,5,4,4,2,5,5,5,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,1,10,22,5,14,4,18,9,6,8,8,5,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,0,15,18,15,1,5,7,7,7,5,4,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,13,6,7,9,10,5,1,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,0,9,5,0,4,8,4,4,1,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,3,1,6,5,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,4,5,3,3,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,7,3,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,8,3,2,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,1,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"4,561",518,334,"4,085","2,642","2,324","2,221","1,574","1,325","1,273","1,033","1,002",987,747,562,548,306,234,191,167,163,146,138,125,118,73,70,64,64,59,56,30,2,All
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Alan Butkovitz,Anthony Hardy Williams,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Ethelind Baylor,Allan Domb,Eryn Santamoor,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Beth Finn,Deja Lynn Alvarez,Fernando Treviño,Sandra Dungee Glenn,Billy Thompson,Asa Khalif,Willie Floyd Singletary,Ogbonna Paul Hagins,Joseph A Diorio,Mark Ross,Devon Cade,Hena Veit,Vinny Black,Fareed Abdullah,Latrice Y Bryant,Wayne Allen,Bobbie Curry,Edwin Santana,Sherrie Cohen,Wayne Edmund Dorsey,1
Jim Kenney,9,0,0,155,131,110,102,85,32,43,34,22,15,14,17,14,9,7,6,7,8,3,3,3,1,2,3,3,2,1,1,1,0,1
Alan Butkovitz,,8,0,11,10,4,3,2,18,8,3,3,4,7,1,1,2,3,2,1,0,3,2,0,3,0,0,0,0,0,0,0,0,1
Anthony Hardy Williams,,,4,17,11,9,9,7,11,7,6,9,7,1,2,5,7,2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1
Helen Gym,,,,0,126,116,102,86,33,41,24,23,18,16,15,13,12,5,5,3,4,4,3,2,1,1,2,1,2,0,0,0,0,1
Justin Diberardinis,,,,,0,101,94,84,27,39,30,19,8,7,11,6,6,3,4,1,1,2,1,2,2,0,0,1,0,1,0,1,0,1
Erika Almirón,,,,,,0,96,85,8,18,10,12,13,7,10,5,4,0,1,1,1,0,0,1,1,2,0,0,0,0,0,1,0,1
Isaiah Thomas,,,,,,,0,84,6,12,16,5,8,4,0,3,5,3,2,1,2,0,1,0,0,0,1,1,0,0,0,1,0,1
Ethelind Baylor,,,,,,,,0,2,4,8,4,2,6,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Allan Domb,,,,,,,,,0,23,16,5,8,9,1,7,6,7,4,0,1,6,3,3,3,2,0,0,2,0,0,0,0,1
Eryn Santamoor,,,,,,,,,,0,17,12,10,7,3,11,5,2,3,0,0,2,0,3,3,1,0,1,2,0,0,0,0,1
Derek S Green,,,,,,,,,,,0,5,7,3,5,2,7,2,1,0,2,1,1,0,0,0,1,0,2,0,0,0,0,1
Adrián Rivera-reyes,,,,,,,,,,,,1,4,1,5,4,4,0,1,2,4,1,0,1,0,1,1,0,1,1,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,,,,,,0,5,1,5,6,1,1,0,1,0,0,0,0,1,3,1,1,0,0,0,0,1
Beth Finn,,,,,,,,,,,,,,0,2,2,5,2,2,1,1,0,1,0,3,0,0,0,0,0,1,0,0,1
