col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Judge Of The Superior Court - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Eryn Santamoor,Vinny Black,Justin Diberardinis,Adrián Rivera-reyes,Deja Lynn Alvarez,Beth Finn,Erika Almirón,Joseph A Diorio,Sandra Dungee Glenn,Fernando Treviño,Billy Thompson,Willie Floyd Singletary,Ogbonna Paul Hagins,Hena Veit,Bobbie Curry,Mark Ross,Edwin Santana,Ethelind Baylor,Latrice Y Bryant,Asa Khalif,Wayne Allen,Fareed Abdullah,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,All
Daniel D Mccaffery,120,347,293,930,615,492,446,435,359,372,324,224,194,187,164,146,114,112,110,105,80,61,74,70,50,35,40,34,37,27,28,22,0,All
Beth Tarasi,,14,148,354,222,169,103,114,146,83,137,149,113,123,82,68,64,54,45,61,51,50,41,29,27,16,21,22,19,15,10,15,0,All
Amanda Green-hawkins,,,7,333,173,180,150,135,126,80,116,105,82,89,116,44,76,41,42,40,34,44,26,19,16,28,24,25,15,26,14,12,0,All
Helen Gym,,,,14,413,458,379,393,283,248,254,175,134,148,187,64,91,86,44,65,72,56,29,28,24,34,19,16,17,19,11,12,0,All
Allan Domb,,,,,26,165,202,165,246,121,205,70,45,102,42,88,64,42,42,17,11,29,32,34,23,10,9,16,14,14,16,15,1,All
Katherine Gilmore Richardson,,,,,,1,297,291,159,172,112,36,40,81,104,32,67,57,34,6,3,21,15,17,13,9,14,9,5,10,4,0,0,All
Derek S Green,,,,,,,1,308,88,183,121,34,24,30,45,23,21,12,25,4,1,2,12,10,7,14,8,7,5,13,5,2,1,All
Isaiah Thomas,,,,,,,,1,72,187,103,34,34,29,74,27,23,12,21,11,8,6,5,13,6,20,13,16,7,20,7,6,0,All
Eryn Santamoor,,,,,,,,,5,49,132,62,42,75,96,27,38,71,19,8,6,31,16,22,17,3,10,9,6,7,5,6,0,All
Vinny Black,,,,,,,,,,11,60,27,24,36,17,39,17,12,30,13,5,9,12,18,5,7,5,11,8,4,6,13,0,All
Justin Diberardinis,,,,,,,,,,,7,35,27,59,61,45,34,20,22,7,6,14,20,25,13,14,8,11,9,9,7,4,0,All
Adrián Rivera-reyes,,,,,,,,,,,,2,129,36,39,22,21,37,10,67,63,28,10,6,15,13,11,9,7,8,0,3,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,1,22,22,18,13,29,13,67,64,24,10,9,12,10,8,10,4,8,1,5,0,All
Beth Finn,,,,,,,,,,,,,,0,44,39,54,12,29,8,4,30,26,19,20,6,8,5,10,7,8,4,1,All
Erika Almirón,,,,,,,,,,,,,,,0,8,24,55,6,3,8,20,8,7,5,18,8,11,3,9,3,4,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,4,17,13,35,10,6,11,13,16,7,2,6,2,7,2,7,7,1,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,0,3,15,4,1,17,14,10,4,2,9,5,7,6,1,2,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,0,11,6,5,11,2,1,12,2,5,6,4,3,1,4,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,1,16,6,6,19,15,7,4,13,5,6,2,9,3,0,All
