col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
Laurie Dow,,,,,,,,,,,,,,,,,,,,,14,130,52,54,82,92,26,24,All
Beth Grossman,,,,,,,,,,,,,,,,,,,,,,13,61,64,130,61,22,17,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,2,22,46,68,15,15,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,3,30,13,30,9,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,1,50,13,9,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,16,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,833","3,308","1,326","2,923","2,351","2,311","1,586","1,505","1,411","1,389","1,075","1,034","1,017",910,903,886,823,822,771,763,689,683,559,512,498,462,149,129,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Superior Court - Democrat,,,1
,Tiffany Palmer,Anthony Kyriakakis,Kay Yu,Chris Hall,Jennifer Schultz,James F Berardinelli,Wendi Barish,James C Crumlish,Henry Mcgregor Sias,Cateria R Mccabe,Nicola Serianni,Leon Goodman,Vicki Markovitz,Craig Levin,Janine D Momasso,Beth Grossman,Kendra Mccrae,Laurie Dow,Sherman Toppin,Joshua Roberts,Carmella Jacquinto,Terri M Booker,Jon Marshall,Robert Trimble,Gregory Weyer,Amanda Green-hawkins,Daniel D Mccaffery,Beth Tarasi,1
Tiffany Palmer,3,272,236,204,190,120,73,77,69,48,35,25,21,14,18,15,18,11,8,5,7,8,0,2,1,239,141,49,1
Anthony Kyriakakis,,0,214,210,158,125,66,79,53,21,18,25,24,14,9,11,11,5,5,2,5,1,2,2,1,216,129,38,1
Kay Yu,,,1,166,169,110,35,41,49,32,21,10,10,8,12,3,7,3,6,3,4,1,0,2,1,192,92,23,1
Chris Hall,,,,1,129,111,26,73,21,5,4,9,9,5,6,6,8,7,6,0,1,0,1,0,1,168,83,29,1
Jennifer Schultz,,,,,2,100,31,14,30,41,30,6,8,10,18,9,6,4,5,5,5,4,1,3,0,175,57,31,1
James F Berardinelli,,,,,,0,6,17,3,0,3,3,2,3,1,5,1,2,2,1,1,0,0,2,0,113,38,10,1
Wendi Barish,,,,,,,0,26,21,23,24,17,21,12,10,17,9,4,2,9,6,6,2,0,0,55,55,33,1
James C Crumlish,,,,,,,,0,13,4,8,6,7,4,4,4,6,3,0,3,3,2,0,1,1,45,59,22,1
Henry Mcgregor Sias,,,,,,,,,0,17,12,11,10,0,1,2,4,0,0,0,2,0,0,0,0,48,46,6,1
Cateria R Mccabe,,,,,,,,,,0,27,8,1,2,21,4,10,5,3,1,4,4,2,1,0,43,26,15,1
Nicola Serianni,,,,,,,,,,,0,1,6,7,20,6,6,3,0,1,1,1,1,0,0,26,23,17,1
Leon Goodman,,,,,,,,,,,,0,12,6,1,6,5,3,3,4,5,6,3,0,0,25,25,5,1
Vicki Markovitz,,,,,,,,,,,,,0,8,1,7,1,1,1,3,0,1,0,0,0,16,17,13,1
Craig Levin,,,,,,,,,,,,,,0,2,8,3,6,5,7,4,3,2,1,0,18,22,9,1
Janine D Momasso,,,,,,,,,,,,,,,0,1,4,5,3,0,1,1,0,0,0,15,17,8,1
Beth Grossman,,,,,,,,,,,,,,,,0,5,4,1,4,2,0,2,0,0,16,15,15,1
Kendra Mccrae,,,,,,,,,,,,,,,,,0,4,5,1,3,4,1,1,0,21,17,10,1
Laurie Dow,,,,,,,,,,,,,,,,,,0,4,2,1,4,2,0,0,12,11,6,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,0,1,3,3,0,0,0,11,14,2,1
Joshua Roberts,,,,,,,,,,,,,,,,,,,,0,3,5,0,1,0,9,10,7,1
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,,0,4,0,0,0,12,7,3,1
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,13,8,5,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,4,1,1
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,1,1
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Amanda Green-hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,1,94,42,1
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,1
Beth Tarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Total,338,302,252,222,213,129,95,90,73,60,48,37,33,32,29,26,25,18,15,14,13,13,6,4,1,281,180,68,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Superior Court - Democrat,,,2
,Tiffany Palmer,Anthony Kyriakakis,Kay Yu,Chris Hall,Jennifer Schultz,James C Crumlish,Henry Mcgregor Sias,Wendi Barish,James F Berardinelli,Leon Goodman,Cateria R Mccabe,Beth Grossman,Vicki Markovitz,Carmella Jacquinto,Craig Levin,Nicola Serianni,Kendra Mccrae,Joshua Roberts,Terri M Booker,Laurie Dow,Sherman Toppin,Janine D Momasso,Jon Marshall,Robert Trimble,Gregory Weyer,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,2
Tiffany Palmer,2,223,143,158,96,92,76,66,50,36,30,25,32,23,18,21,21,7,14,12,8,11,4,1,0,155,153,60,2
Anthony Kyriakakis,,2,133,151,87,86,77,63,45,34,22,24,27,20,16,16,16,11,5,8,6,5,2,1,0,140,129,52,2
Kay Yu,,,0,92,84,31,43,31,33,11,20,17,14,18,7,17,11,4,7,10,5,5,3,0,2,90,106,30,2
Chris Hall,,,,0,72,84,27,28,34,10,5,14,8,9,7,7,8,5,7,6,4,2,0,0,0,87,90,36,2
Jennifer Schultz,,,,,0,23,19,29,30,6,14,14,12,17,14,19,6,10,3,5,4,4,7,2,2,60,85,38,2
James C Crumlish,,,,,,0,14,22,11,11,6,11,7,11,8,5,11,7,5,5,2,3,1,1,1,69,43,27,2
Henry Mcgregor Sias,,,,,,,1,32,8,17,14,7,15,10,7,7,6,4,2,1,6,2,0,0,2,59,43,12,2
Wendi Barish,,,,,,,,1,8,18,14,12,18,12,9,17,6,2,4,7,1,5,0,0,2,46,40,30,2
James F Berardinelli,,,,,,,,,0,6,7,4,1,6,3,4,3,2,3,2,2,4,0,1,0,23,43,9,2
Leon Goodman,,,,,,,,,,0,11,8,10,6,5,3,8,3,6,4,3,6,3,1,1,33,22,9,2
Cateria R Mccabe,,,,,,,,,,,0,5,2,11,7,10,7,2,3,6,4,9,3,1,0,22,36,18,2
Beth Grossman,,,,,,,,,,,,1,11,6,6,5,7,3,4,5,3,3,5,1,0,23,28,21,2
Vicki Markovitz,,,,,,,,,,,,,1,6,6,5,4,1,4,5,2,2,2,1,0,20,23,18,2
Carmella Jacquinto,,,,,,,,,,,,,,0,4,5,11,2,5,2,4,4,2,1,0,20,32,16,2
Craig Levin,,,,,,,,,,,,,,,1,4,2,11,4,2,5,0,7,3,0,22,23,13,2
Nicola Serianni,,,,,,,,,,,,,,,,0,8,3,6,4,4,4,2,1,2,17,19,20,2
Kendra Mccrae,,,,,,,,,,,,,,,,,1,1,5,3,3,1,1,2,0,22,20,12,2
Joshua Roberts,,,,,,,,,,,,,,,,,,0,2,1,2,0,8,1,0,17,10,7,2
Terri M Booker,,,,,,,,,,,,,,,,,,,0,5,5,2,2,0,0,13,8,9,2
Laurie Dow,,,,,,,,,,,,,,,,,,,,0,4,3,2,1,1,9,13,8,2
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,0,3,0,0,1,15,9,5,2
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,10,9,6,2
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,7,6,2
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,3,2
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,2
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,27,2
Amanda Green-hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,2
Beth Tarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
Total,280,257,171,167,130,103,90,86,56,48,47,44,43,41,39,36,35,26,22,21,21,16,14,4,3,211,198,86,2
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,3
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tiffany Palmer,Anthony Kyriakakis,Henry Mcgregor Sias,Chris Hall,James C Crumlish,Jennifer Schultz,James F Berardinelli,Kay Yu,Cateria R Mccabe,Craig Levin,Wendi Barish,Leon Goodman,Nicola Serianni,Terri M Booker,Carmella Jacquinto,Joshua Roberts,Laurie Dow,Beth Grossman,Kendra Mccrae,Vicki Markovitz,Jon Marshall,Sherman Toppin,Janine D Momasso,Robert Trimble,Gregory Weyer,3
Daniel D Mccaffery,2,51,15,92,89,62,60,51,35,44,26,27,22,24,20,16,15,18,17,14,18,13,16,13,13,11,4,2,3
Amanda Green-hawkins,,1,13,48,39,29,24,16,34,15,21,26,17,20,17,18,15,16,13,14,13,14,9,9,7,10,2,1,3
Beth Tarasi,,,0,14,11,5,3,5,17,8,7,7,9,9,4,12,5,4,6,4,9,8,6,6,5,4,3,0,3
Tiffany Palmer,,,,0,89,66,64,48,31,38,34,22,6,19,10,15,13,8,6,11,7,14,8,2,8,6,3,0,3
Anthony Kyriakakis,,,,,0,66,67,49,23,41,27,10,6,14,11,9,4,8,7,7,7,5,7,1,9,2,1,1,3
Henry Mcgregor Sias,,,,,,0,55,38,16,36,26,15,0,10,4,2,2,7,5,4,2,2,7,1,2,2,1,0,3
Chris Hall,,,,,,,0,45,10,34,19,6,3,5,3,1,3,1,3,3,4,2,5,2,2,3,0,1,3
James C Crumlish,,,,,,,,0,6,36,5,0,4,4,2,2,1,3,2,6,4,3,0,3,2,2,0,2,3
Jennifer Schultz,,,,,,,,,0,4,14,16,11,18,7,14,2,6,10,5,6,6,4,9,3,4,2,1,3
James F Berardinelli,,,,,,,,,,0,7,6,8,2,3,2,2,5,3,4,4,1,5,2,2,5,0,1,3
Kay Yu,,,,,,,,,,,1,15,2,6,2,3,6,2,3,5,3,3,3,0,1,4,0,1,3
Cateria R Mccabe,,,,,,,,,,,,0,11,9,8,9,11,10,5,3,4,8,8,1,5,8,0,0,3
Craig Levin,,,,,,,,,,,,,1,8,12,4,9,7,9,6,5,3,6,8,5,9,1,0,3
Wendi Barish,,,,,,,,,,,,,,0,6,11,3,5,7,5,8,2,6,2,1,2,2,0,3
Leon Goodman,,,,,,,,,,,,,,,0,6,9,6,3,2,5,8,7,1,7,4,1,0,3
Nicola Serianni,,,,,,,,,,,,,,,,0,5,3,4,4,7,11,3,3,4,2,0,1,3
Terri M Booker,,,,,,,,,,,,,,,,,1,4,2,6,4,12,1,2,8,3,1,0,3
Carmella Jacquinto,,,,,,,,,,,,,,,,,,1,2,5,0,5,5,2,2,7,2,0,3
Joshua Roberts,,,,,,,,,,,,,,,,,,,1,1,5,3,4,7,2,0,2,1,3
Laurie Dow,,,,,,,,,,,,,,,,,,,,1,5,5,1,2,3,4,1,1,3
Beth Grossman,,,,,,,,,,,,,,,,,,,,,1,5,7,4,2,1,2,1,3
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,,0,1,2,6,2,1,1,3
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,0,1,2,5,2,0,3
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,1,3
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,3
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,148,94,33,121,110,79,74,59,59,52,44,42,35,33,26,26,26,25,25,25,24,23,20,19,19,18,5,3,3
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,4
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Kay Yu,James C Crumlish,Leon Goodman,Chris Hall,Wendi Barish,Joshua Roberts,Terri M Booker,Kendra Mccrae,Craig Levin,Henry Mcgregor Sias,Laurie Dow,Carmella Jacquinto,Cateria R Mccabe,Sherman Toppin,Beth Grossman,Vicki Markovitz,Jon Marshall,Nicola Serianni,James F Berardinelli,Janine D Momasso,Robert Trimble,Gregory Weyer,4
Daniel D Mccaffery,0,67,10,81,55,42,35,42,42,32,25,35,32,29,23,22,20,24,18,18,14,8,12,11,6,5,6,0,4
Amanda Green-hawkins,,4,21,73,47,45,42,34,40,28,22,32,30,27,16,17,16,25,21,18,9,9,8,7,8,9,4,1,4
Beth Tarasi,,,0,18,10,16,10,9,6,7,12,8,5,6,10,4,9,5,5,4,8,6,4,3,3,3,2,1,4
Tiffany Palmer,,,,2,66,42,52,30,21,33,25,13,19,24,16,27,20,17,20,13,12,9,5,9,10,4,2,0,4
Anthony Kyriakakis,,,,,1,33,39,26,14,34,24,8,3,9,7,27,5,12,14,4,2,3,2,3,7,2,0,0,4
Jennifer Schultz,,,,,,0,32,9,9,19,13,10,5,11,12,14,6,6,8,6,9,4,6,6,5,4,1,0,4
Kay Yu,,,,,,,0,7,6,19,8,1,4,12,3,21,6,6,13,4,1,4,4,5,4,3,0,0,4
James C Crumlish,,,,,,,,0,21,25,12,24,14,6,4,4,5,14,7,5,2,1,2,2,3,4,2,0,4
Leon Goodman,,,,,,,,,0,7,10,21,19,13,7,6,7,16,8,10,4,5,4,1,3,5,3,0,4
Chris Hall,,,,,,,,,,0,9,5,7,6,3,6,6,2,4,7,1,1,1,2,4,2,0,0,4
Wendi Barish,,,,,,,,,,,0,5,4,3,4,13,11,9,5,2,5,5,1,4,3,2,1,0,4
Joshua Roberts,,,,,,,,,,,,0,22,8,11,3,6,14,4,6,4,2,8,3,0,2,2,1,4
Terri M Booker,,,,,,,,,,,,,0,8,6,0,11,15,5,13,4,1,1,3,0,4,1,1,4
Kendra Mccrae,,,,,,,,,,,,,,0,9,2,6,8,6,9,5,3,5,3,3,3,4,1,4
Craig Levin,,,,,,,,,,,,,,,0,1,7,4,7,5,7,2,8,1,1,2,1,1,4
Henry Mcgregor Sias,,,,,,,,,,,,,,,,0,2,2,7,1,0,2,0,1,1,1,0,0,4
Laurie Dow,,,,,,,,,,,,,,,,,3,4,5,8,4,3,0,2,1,1,2,1,4
Carmella Jacquinto,,,,,,,,,,,,,,,,,,0,3,3,4,1,1,3,0,1,1,0,4
Cateria R Mccabe,,,,,,,,,,,,,,,,,,,0,4,1,4,3,1,5,3,2,0,4
Sherman Toppin,,,,,,,,,,,,,,,,,,,,0,5,1,0,2,0,6,3,0,4
Beth Grossman,,,,,,,,,,,,,,,,,,,,,1,5,1,3,0,0,1,0,4
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,1,1,0,4
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,2,0,4
Nicola Serianni,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,4
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,4
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,4
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,130,118,34,122,82,68,58,54,48,47,43,42,38,36,32,32,32,31,31,24,19,15,13,13,12,12,6,1,4
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Superior Court - Democrat,,,5
,Tiffany Palmer,Anthony Kyriakakis,Kay Yu,Jennifer Schultz,Wendi Barish,Chris Hall,Leon Goodman,James C Crumlish,Cateria R Mccabe,Carmella Jacquinto,Terri M Booker,Craig Levin,Henry Mcgregor Sias,Kendra Mccrae,Beth Grossman,Janine D Momasso,Sherman Toppin,Joshua Roberts,James F Berardinelli,Nicola Serianni,Vicki Markovitz,Laurie Dow,Jon Marshall,Gregory Weyer,Robert Trimble,Amanda Green-hawkins,Daniel D Mccaffery,Beth Tarasi,5
Tiffany Palmer,2,107,70,60,62,62,41,39,34,23,18,17,38,21,20,18,9,12,18,19,19,16,2,2,0,110,104,38,5
Anthony Kyriakakis,,1,62,50,38,58,31,41,20,14,9,9,30,9,13,7,15,9,15,10,16,5,1,1,0,81,81,33,5
Kay Yu,,,0,40,25,33,13,10,19,8,6,4,24,11,8,8,6,4,10,10,4,3,0,2,0,66,47,18,5
Jennifer Schultz,,,,0,37,29,11,11,12,15,8,9,10,7,13,9,4,6,9,10,7,5,6,3,0,67,38,29,5
Wendi Barish,,,,,0,14,16,9,16,17,15,8,20,16,12,10,10,4,8,16,13,10,2,3,0,55,47,28,5
Chris Hall,,,,,,0,7,29,2,2,7,7,9,7,6,1,4,5,7,5,7,5,6,0,0,42,42,14,5
Leon Goodman,,,,,,,0,20,21,19,17,16,16,15,9,8,7,14,10,7,12,5,2,1,0,48,51,19,5
James C Crumlish,,,,,,,,0,9,13,11,13,5,5,5,3,1,14,3,4,3,5,3,0,0,33,43,17,5
Cateria R Mccabe,,,,,,,,,0,13,14,7,12,18,8,17,11,2,6,9,6,5,1,0,0,43,33,14,5
Carmella Jacquinto,,,,,,,,,,0,13,12,3,12,12,11,8,11,6,6,9,8,1,2,0,38,32,13,5
Terri M Booker,,,,,,,,,,,1,18,3,12,5,11,13,13,2,3,2,10,4,3,0,36,30,12,5
Craig Levin,,,,,,,,,,,,0,2,7,4,9,12,11,5,5,3,6,7,1,0,24,29,11,5
Henry Mcgregor Sias,,,,,,,,,,,,,0,1,1,8,2,4,4,5,5,2,0,2,0,31,31,11,5
Kendra Mccrae,,,,,,,,,,,,,,0,13,11,6,2,9,8,6,7,4,1,0,29,26,18,5
Beth Grossman,,,,,,,,,,,,,,,1,5,1,4,7,5,11,5,4,0,0,21,23,19,5
Janine D Momasso,,,,,,,,,,,,,,,,0,9,1,5,6,2,8,1,1,0,31,19,11,5
Sherman Toppin,,,,,,,,,,,,,,,,,0,4,3,1,5,4,4,1,0,24,19,8,5
Joshua Roberts,,,,,,,,,,,,,,,,,,0,3,3,3,0,5,1,0,20,27,8,5
James F Berardinelli,,,,,,,,,,,,,,,,,,,0,2,1,3,1,2,0,18,19,7,5
Nicola Serianni,,,,,,,,,,,,,,,,,,,,0,5,1,3,1,0,20,20,11,5
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,0,3,3,0,0,19,21,12,5
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,12,14,8,5
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,11,5,5
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,2,3,5
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5
Amanda Green-hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,42,5
Daniel D Mccaffery,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,5
Beth Tarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
Total,171,131,88,86,80,70,68,59,55,51,47,45,44,44,39,38,35,32,31,30,30,24,14,6,0,169,165,70,5
,Judge Of The Superior Court - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,6
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Tiffany Palmer,Anthony Kyriakakis,Chris Hall,Jennifer Schultz,Kay Yu,Nicola Serianni,Henry Mcgregor Sias,Wendi Barish,James C Crumlish,Laurie Dow,Beth Grossman,Craig Levin,Joshua Roberts,Cateria R Mccabe,Leon Goodman,Vicki Markovitz,Carmella Jacquinto,Kendra Mccrae,Jon Marshall,Terri M Booker,James F Berardinelli,Janine D Momasso,Sherman Toppin,Robert Trimble,Gregory Weyer,6
Daniel D Mccaffery,3,59,37,120,97,76,60,73,73,65,48,31,30,26,25,27,21,21,18,15,19,20,19,16,7,12,4,2,6
Amanda Green-hawkins,,4,35,65,50,40,59,42,34,32,41,20,23,21,21,22,24,16,14,22,14,17,11,8,10,8,4,2,6
Beth Tarasi,,,4,43,31,24,40,22,24,13,32,19,17,16,18,18,13,16,15,15,13,14,10,6,7,5,4,1,6
Tiffany Palmer,,,,1,113,92,46,76,58,61,46,36,22,20,9,9,25,19,18,13,13,5,16,16,9,4,1,0,6
Anthony Kyriakakis,,,,,0,82,26,70,52,64,37,35,12,11,7,5,13,20,12,10,3,1,6,13,3,3,1,0,6
Chris Hall,,,,,,0,23,56,47,45,16,34,5,9,4,7,5,8,2,3,5,3,7,11,0,2,2,0,6
Jennifer Schultz,,,,,,,0,24,32,15,44,15,13,19,26,24,18,11,14,15,12,19,7,6,11,7,3,3,6
Kay Yu,,,,,,,,0,50,55,17,10,14,7,4,3,11,8,8,9,5,1,4,4,2,2,1,1,6
Nicola Serianni,,,,,,,,,0,42,17,9,12,11,8,11,9,5,8,13,10,6,6,9,2,6,1,1,6
Henry Mcgregor Sias,,,,,,,,,,0,18,4,4,6,4,5,11,14,10,7,2,2,2,3,3,1,1,0,6
Wendi Barish,,,,,,,,,,,1,9,12,15,16,13,9,23,18,12,10,9,8,6,10,6,3,0,6
James C Crumlish,,,,,,,,,,,,0,5,4,10,10,6,5,3,3,5,6,1,5,0,2,1,0,6
Laurie Dow,,,,,,,,,,,,,1,9,6,6,6,7,7,6,9,5,6,4,5,4,2,2,6
Beth Grossman,,,,,,,,,,,,,,0,9,8,6,4,14,8,8,7,8,4,4,2,3,1,6
Craig Levin,,,,,,,,,,,,,,,1,18,5,1,8,2,2,13,3,2,0,3,2,1,6
Joshua Roberts,,,,,,,,,,,,,,,,0,4,4,1,4,2,19,4,0,0,3,4,0,6
Cateria R Mccabe,,,,,,,,,,,,,,,,,0,5,2,9,7,2,8,4,6,3,1,0,6
Leon Goodman,,,,,,,,,,,,,,,,,,0,11,3,4,5,4,2,3,3,1,0,6
Vicki Markovitz,,,,,,,,,,,,,,,,,,,0,5,5,1,3,3,3,2,0,2,6
Carmella Jacquinto,,,,,,,,,,,,,,,,,,,,0,8,1,1,0,7,3,1,1,6
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,,0,2,11,1,3,4,1,0,6
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,5,0,1,2,3,0,6
Terri M Booker,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,1,0,6
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,6
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,6
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,6
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6
Total,193,123,88,172,136,103,100,98,94,81,80,49,47,42,41,39,36,36,33,32,29,28,25,22,16,15,7,3,6
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Superior Court - Democrat,,,7
,Tiffany Palmer,Anthony Kyriakakis,Jennifer Schultz,Chris Hall,Leon Goodman,Wendi Barish,Kay Yu,James C Crumlish,Kendra Mccrae,Henry Mcgregor Sias,Cateria R Mccabe,Carmella Jacquinto,Sherman Toppin,Nicola Serianni,Terri M Booker,Beth Grossman,Joshua Roberts,Craig Levin,Vicki Markovitz,Laurie Dow,Janine D Momasso,Jon Marshall,James F Berardinelli,Robert Trimble,Gregory Weyer,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,7
Tiffany Palmer,2,129,83,92,72,75,53,38,24,35,22,15,14,13,13,19,5,7,16,12,6,5,9,5,2,108,89,39,7
