col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Register Of Wills - Democrat,,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Eryn Santamoor,Justin Diberardinis,Adrián Rivera-reyes,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Erika Almirón,Sandra Dungee Glenn,Willie Floyd Singletary,Billy Thompson,Ogbonna Paul Hagins,Fernando Treviño,Bobbie Curry,Vinny Black,Hena Veit,Mark Ross,Ethelind Baylor,Latrice Y Bryant,Asa Khalif,Fareed Abdullah,Wayne Allen,Edwin Santana,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Ronald R Donatucci,Tracey Gordon,Jacque P Whaumbush,All
Helen Gym,36,692,540,424,397,338,236,222,211,159,94,138,123,105,77,104,78,56,45,61,41,56,30,46,34,26,21,26,26,0,716,459,165,All
Allan Domb,,44,449,465,395,303,292,100,159,61,134,48,83,38,95,25,49,63,62,41,46,23,19,31,33,34,28,21,26,0,770,262,108,All
Katherine Gilmore Richardson,,,2,384,360,193,158,53,101,44,45,87,80,14,30,15,40,30,25,28,17,30,26,15,15,6,11,16,8,0,459,194,53,All
Derek S Green,,,,3,387,99,150,31,36,28,29,28,28,11,34,11,20,24,33,8,16,35,17,27,18,11,9,5,13,0,450,121,51,All
Isaiah Thomas,,,,,2,73,117,47,29,30,21,37,27,19,26,7,18,9,21,10,12,45,23,32,24,9,7,14,8,0,379,125,57,All
Eryn Santamoor,,,,,,4,141,73,104,39,51,74,53,26,40,14,54,30,27,34,17,17,21,9,11,13,17,12,9,0,231,188,64,All
Justin Diberardinis,,,,,,,14,40,74,19,74,39,36,14,31,6,24,27,27,18,26,27,6,13,7,7,12,7,9,0,283,113,47,All
Adrián Rivera-reyes,,,,,,,,2,68,148,28,41,25,97,26,90,42,13,12,25,8,12,17,19,7,13,20,9,4,0,106,235,73,All
Beth Finn,,,,,,,,,2,42,61,54,75,13,49,9,26,36,21,31,33,14,19,9,9,17,19,14,13,0,136,180,45,All
Deja Lynn Alvarez,,,,,,,,,,6,24,33,13,101,13,83,32,12,4,17,9,4,19,16,1,6,13,3,2,0,74,159,62,All
Joseph A Diorio,,,,,,,,,,,6,16,20,26,65,13,29,37,25,20,25,5,9,4,8,15,9,11,14,0,143,72,36,All
Erika Almirón,,,,,,,,,,,,2,41,8,7,8,47,9,8,7,7,16,23,16,8,1,8,1,4,0,54,104,38,All
Sandra Dungee Glenn,,,,,,,,,,,,,0,8,15,8,5,21,15,14,10,8,15,14,8,4,10,10,3,0,58,117,30,All
Willie Floyd Singletary,,,,,,,,,,,,,,1,24,72,11,7,9,7,4,2,6,4,6,5,3,3,3,0,71,96,29,All
Billy Thompson,,,,,,,,,,,,,,,0,13,13,36,15,14,24,11,13,4,4,13,6,7,13,0,112,60,21,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,2,11,9,4,12,2,3,4,8,1,5,1,1,5,0,59,69,32,All
Fernando Treviño,,,,,,,,,,,,,,,,,1,6,3,15,7,1,11,6,7,7,18,6,5,0,55,64,20,All
Bobbie Curry,,,,,,,,,,,,,,,,,,0,7,9,19,5,8,3,7,14,7,11,13,0,61,55,16,All
Vinny Black,,,,,,,,,,,,,,,,,,,2,11,12,3,7,5,4,6,3,9,3,0,71,37,11,All
Hena Veit,,,,,,,,,,,,,,,,,,,,0,4,7,9,5,2,0,3,2,5,0,33,52,21,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,0,4,8,2,8,5,0,3,6,0,52,36,13,All
