col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Derek S Green,Isaiah Thomas,Allan Domb,Katherine Gilmore Richardson,Wayne Allen,Adrián Rivera-reyes,Latrice Y Bryant,Justin Diberardinis,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Eryn Santamoor,Sandra Dungee Glenn,Fareed Abdullah,Ogbonna Paul Hagins,Asa Khalif,Ethelind Baylor,Billy Thompson,Beth Finn,Fernando Treviño,Joseph A Diorio,Mark Ross,Hena Veit,Bobbie Curry,Vinny Black,Edwin Santana,Wayne Edmund Dorsey,Devon Cade,Sherrie Cohen,Theresa Brunson,David H Conroy,All
Helen Gym,71,727,625,631,463,251,303,208,398,376,211,153,207,163,113,153,90,102,68,91,83,36,37,41,27,23,22,22,19,0,659,847,All
Derek S Green,,13,539,511,363,186,70,106,255,196,44,36,94,114,101,19,60,64,43,29,13,10,21,10,16,20,8,25,9,0,326,541,All
Isaiah Thomas,,,11,451,396,181,84,162,173,158,62,65,70,142,123,35,75,97,45,33,21,27,32,12,19,19,25,21,30,0,382,496,All
Allan Domb,,,,33,372,214,78,135,120,61,47,61,127,98,93,31,67,36,40,36,33,38,32,17,24,19,22,16,13,0,358,442,All
Katherine Gilmore Richardson,,,,,3,114,41,102,68,76,44,33,84,94,40,8,35,28,36,36,30,19,15,16,12,12,7,10,14,0,237,359,All
Wayne Allen,,,,,,62,57,212,37,39,38,43,27,40,54,18,41,15,19,15,13,14,30,7,19,15,12,17,9,0,254,225,All
Adrián Rivera-reyes,,,,,,,19,46,50,61,165,148,62,32,36,137,27,14,35,33,40,25,10,17,7,12,13,5,5,0,258,230,All
Latrice Y Bryant,,,,,,,,11,36,50,50,53,42,58,66,14,37,22,20,27,14,21,29,11,13,16,12,9,6,0,252,135,All
Justin Diberardinis,,,,,,,,,6,228,34,9,80,45,26,7,12,62,10,24,21,13,10,5,6,7,11,3,9,0,131,261,All
Erika Almirón,,,,,,,,,,3,59,21,76,69,31,20,34,56,24,33,41,10,3,12,7,5,7,11,3,0,193,211,All
Deja Lynn Alvarez,,,,,,,,,,,13,123,35,31,24,121,17,17,17,24,14,17,7,17,7,3,6,2,0,0,200,156,All
Willie Floyd Singletary,,,,,,,,,,,,17,26,25,29,99,18,7,25,11,22,15,12,9,7,9,2,9,4,0,175,131,All
Eryn Santamoor,,,,,,,,,,,,,3,32,20,11,15,11,23,29,41,9,10,21,15,13,7,5,8,0,144,110,All
Sandra Dungee Glenn,,,,,,,,,,,,,,1,45,8,53,31,20,29,9,13,5,14,9,5,8,2,7,0,212,71,All
