col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Isaiah Thomas,Justin Diberardinis,Adrián Rivera-reyes,Beth Finn,Deja Lynn Alvarez,Joseph A Diorio,Erika Almirón,Willie Floyd Singletary,Fernando Treviño,Ogbonna Paul Hagins,Sandra Dungee Glenn,Billy Thompson,Vinny Black,Hena Veit,Bobbie Curry,Ethelind Baylor,Latrice Y Bryant,Mark Ross,Edwin Santana,Wayne Allen,Fareed Abdullah,Devon Cade,Wayne Edmund Dorsey,Asa Khalif,Sherrie Cohen,David H Conroy,Theresa Brunson,All
Helen Gym,17,204,132,116,102,103,84,69,65,60,39,54,45,34,47,37,22,20,34,12,22,17,12,14,9,10,7,6,11,0,208,178,All
Allan Domb,,16,110,138,114,115,103,29,44,24,50,27,18,27,6,26,21,31,19,20,16,8,18,17,15,13,11,7,8,0,237,103,All
Katherine Gilmore Richardson,,,1,90,58,80,26,10,35,15,17,33,8,23,1,24,8,10,13,6,7,15,6,7,3,3,5,8,2,0,118,67,All
Derek S Green,,,,1,44,99,45,13,13,14,12,9,4,10,6,10,9,10,3,5,17,9,4,4,6,6,2,3,4,0,123,49,All
Eryn Santamoor,,,,,1,30,53,22,40,18,19,28,9,28,1,18,9,16,23,10,8,8,7,7,0,6,7,2,4,0,92,65,All
Isaiah Thomas,,,,,,8,30,17,13,10,13,16,5,12,3,10,10,6,3,2,12,7,5,7,6,12,4,3,2,0,108,49,All
Justin Diberardinis,,,,,,,7,12,31,7,25,18,3,7,6,13,15,16,8,14,12,3,11,3,5,3,5,4,5,0,83,50,All
Adrián Rivera-reyes,,,,,,,,3,21,56,18,15,45,17,42,3,10,4,10,6,5,9,2,14,3,5,4,3,5,0,65,62,All
Beth Finn,,,,,,,,,3,16,25,27,7,11,2,21,12,8,16,13,9,7,7,11,9,5,7,5,5,0,54,70,All
Deja Lynn Alvarez,,,,,,,,,,6,10,18,42,8,43,10,3,1,6,5,7,10,4,6,4,3,1,4,2,0,61,57,All
Joseph A Diorio,,,,,,,,,,,0,5,9,17,3,4,17,6,11,15,2,5,12,7,5,3,5,8,3,0,62,32,All
