col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Register Of Wills - Democrat,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Tracey Gordon,Ronald R Donatucci,Jacque P Whaumbush,Jennifer Schultz,Joshua Roberts,Tiffany Palmer,Anthony Kyriakakis,Cateria R Mccabe,Carmella Jacquinto,Sherman Toppin,Kay Yu,Craig Levin,Chris Hall,Terri M Booker,James C Crumlish,Leon Goodman,Wendi Barish,Henry Mcgregor Sias,Kendra Mccrae,Nicola Serianni,Jon Marshall,Beth Grossman,Laurie Dow,Janine D Momasso,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,All
Tracey Gordon,74,0,0,669,387,588,261,282,204,205,309,321,286,276,213,258,300,136,299,288,249,211,178,152,94,84,75,40,All
Ronald R Donatucci,,56,0,167,510,174,335,325,328,325,94,90,95,131,158,129,88,271,59,64,65,71,63,36,42,45,27,16,All
Jacque P Whaumbush,,,44,200,160,181,109,111,109,87,96,113,90,97,78,95,89,49,109,88,86,74,78,60,47,44,26,11,All
Jennifer Schultz,,,,33,272,443,244,209,130,108,283,259,210,111,144,119,248,99,161,286,216,175,101,99,91,40,48,17,All
Joshua Roberts,,,,,23,139,309,364,349,369,53,241,83,170,176,180,130,290,85,118,231,83,52,37,48,38,49,11,All
Tiffany Palmer,,,,,,19,429,268,158,140,399,96,397,234,238,174,239,158,239,204,72,152,147,114,83,95,39,23,All
Anthony Kyriakakis,,,,,,,2,359,290,318,286,25,314,46,203,58,83,363,80,68,19,50,35,29,29,55,15,14,All
Cateria R Mccabe,,,,,,,,1,341,382,110,50,65,113,58,108,129,342,158,140,35,78,79,107,40,34,24,7,All
Carmella Jacquinto,,,,,,,,,6,315,89,59,59,153,113,124,101,261,134,72,24,80,88,62,37,20,31,12,All
Sherman Toppin,,,,,,,,,,11,53,66,62,110,53,105,61,300,97,56,50,34,81,62,33,25,16,20,All
Kay Yu,,,,,,,,,,,8,48,228,97,101,82,105,103,115,102,28,75,58,42,34,49,18,17,All
Craig Levin,,,,,,,,,,,,22,58,76,88,106,78,11,56,111,192,60,51,40,39,32,22,20,All
Chris Hall,,,,,,,,,,,,,2,106,214,78,69,48,102,32,28,61,65,23,25,63,39,20,All
Terri M Booker,,,,,,,,,,,,,,9,104,185,103,32,167,76,66,103,104,55,43,26,53,20,All
James C Crumlish,,,,,,,,,,,,,,,5,127,99,35,58,71,71,47,45,19,26,55,35,12,All
Leon Goodman,,,,,,,,,,,,,,,,4,76,43,145,81,77,63,88,68,39,52,35,27,All
Wendi Barish,,,,,,,,,,,,,,,,,2,43,115,199,67,140,97,93,58,35,31,13,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,3,40,36,12,25,18,23,16,26,12,9,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,3,108,55,91,83,72,41,30,47,15,All
Nicola Serianni,,,,,,,,,,,,,,,,,,,,1,80,114,68,87,56,33,23,17,All
