col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Judge Of The Municipal Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,David H Conroy,Theresa Brunson,Helen Gym,Allan Domb,Justin Diberardinis,Katherine Gilmore Richardson,Derek S Green,Eryn Santamoor,Adrián Rivera-reyes,Isaiah Thomas,Erika Almirón,Joseph A Diorio,Deja Lynn Alvarez,Beth Finn,Sandra Dungee Glenn,Fernando Treviño,Ogbonna Paul Hagins,Willie Floyd Singletary,Ethelind Baylor,Billy Thompson,Asa Khalif,Hena Veit,Latrice Y Bryant,Edwin Santana,Mark Ross,Vinny Black,Fareed Abdullah,Bobbie Curry,Wayne Allen,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
David H Conroy,118,0,481,534,448,225,275,196,192,245,124,168,123,106,50,55,57,57,45,69,22,24,20,23,34,32,11,30,18,20,15,0,All
Theresa Brunson,,28,335,149,184,132,64,144,137,94,144,61,105,126,80,49,46,40,44,20,49,46,39,22,11,9,29,11,11,8,7,0,All
Helen Gym,,,28,351,411,251,230,237,246,250,257,65,164,147,69,64,70,61,87,42,47,39,39,14,12,15,23,19,7,8,6,0,All
Allan Domb,,,,96,390,197,254,196,65,183,48,157,31,87,50,44,13,22,11,51,20,18,12,21,18,20,10,13,15,16,14,0,All
Justin Diberardinis,,,,,29,143,183,173,140,187,164,140,67,105,48,30,13,14,62,37,27,9,9,23,16,19,16,12,8,9,6,0,All
Katherine Gilmore Richardson,,,,,,2,185,112,42,162,62,40,30,66,51,34,10,9,14,10,13,27,12,6,10,8,12,6,4,1,2,0,All
Derek S Green,,,,,,,1,107,51,170,38,33,27,29,17,16,9,10,10,11,7,6,4,9,4,6,4,9,7,4,4,0,All
Eryn Santamoor,,,,,,,,4,88,35,77,42,55,82,31,45,17,11,14,12,11,20,13,11,4,6,4,3,5,4,4,0,All
Adrián Rivera-reyes,,,,,,,,,8,60,89,24,130,74,17,29,55,57,18,9,23,15,16,11,5,3,6,3,1,7,5,0,All
Isaiah Thomas,,,,,,,,,,0,102,29,25,24,23,11,11,8,58,16,14,7,12,5,6,5,11,3,7,6,2,0,All
Erika Almirón,,,,,,,,,,,1,7,61,50,32,32,10,2,62,3,25,13,11,3,4,2,2,1,1,3,3,0,All
Joseph A Diorio,,,,,,,,,,,,15,15,44,27,22,10,15,6,38,8,11,5,11,24,23,3,14,8,8,9,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,6,42,17,26,51,50,18,3,17,13,15,9,3,2,9,2,2,1,1,0,All
Beth Finn,,,,,,,,,,,,,,4,42,14,9,4,8,12,18,19,14,9,6,5,2,8,5,6,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,1,3,7,7,7,4,17,17,12,4,8,5,7,4,2,3,4,0,All
Fernando Treviño,,,,,,,,,,,,,,,,6,16,6,4,7,3,7,2,9,6,2,4,6,4,2,3,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,4,45,6,9,5,10,10,4,2,4,4,0,0,3,2,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,5,3,13,6,6,7,2,4,2,1,4,1,0,4,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,0,1,4,3,6,2,2,2,2,1,3,1,3,0,All
