col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Eryn Santamoor,Allan Domb,Justin Diberardinis,Derek S Green,Adrián Rivera-reyes,Erika Almirón,Isaiah Thomas,Katherine Gilmore Richardson,Deja Lynn Alvarez,Beth Finn,Fernando Treviño,Sandra Dungee Glenn,Ethelind Baylor,Ogbonna Paul Hagins,Asa Khalif,Willie Floyd Singletary,Fareed Abdullah,Billy Thompson,Latrice Y Bryant,Hena Veit,Joseph A Diorio,Wayne Allen,Vinny Black,Edwin Santana,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,Malika Rahman,Rochelle Bilal,Jewell Williams,Larry King Sr,All
Helen Gym,26,"1,474","1,237","1,426","1,269",560,667,463,407,298,248,195,159,170,121,94,60,56,44,48,49,16,19,14,23,15,16,8,9,0,"1,393",779,173,60,All
Eryn Santamoor,,5,"1,122","1,145","1,074",286,298,187,264,119,169,166,71,42,33,42,15,23,18,18,20,11,7,5,7,5,7,6,4,0,"1,184",362,76,45,All
Allan Domb,,,32,949,"1,101",179,109,239,195,92,124,74,84,20,42,36,25,35,34,19,19,30,21,13,12,17,8,11,10,0,"1,014",267,145,67,All
Justin Diberardinis,,,,10,"1,001",284,362,312,153,121,96,76,37,105,36,29,7,9,7,12,10,14,7,7,5,4,3,3,4,0,"1,027",429,73,30,All
Derek S Green,,,,,3,134,173,296,228,84,97,62,64,39,46,39,14,30,22,21,9,9,13,7,9,5,6,5,3,0,984,310,115,40,All
Adrián Rivera-reyes,,,,,,13,209,136,97,213,103,78,32,44,84,54,57,26,30,29,17,13,8,13,14,8,7,8,4,0,300,324,63,31,All
Erika Almirón,,,,,,,0,234,176,137,116,100,63,125,25,41,3,18,9,23,18,3,4,4,2,7,7,0,2,0,313,379,35,14,All
Isaiah Thomas,,,,,,,,1,137,45,49,32,60,108,33,38,13,38,28,13,8,11,11,6,8,6,5,11,3,0,220,299,82,22,All
Katherine Gilmore Richardson,,,,,,,,,4,51,103,89,84,25,26,24,5,18,14,27,25,8,6,7,6,3,8,4,3,0,260,191,71,14,All
Deja Lynn Alvarez,,,,,,,,,,8,64,47,18,31,58,37,53,13,23,25,18,10,5,11,9,7,5,3,3,0,180,203,37,10,All
Beth Finn,,,,,,,,,,,3,30,54,21,19,19,5,12,10,16,28,8,6,3,4,6,6,2,1,0,137,154,33,30,All
Fernando Treviño,,,,,,,,,,,,1,11,7,14,10,8,11,8,11,6,12,4,4,7,5,3,2,3,0,161,72,18,13,All
Sandra Dungee Glenn,,,,,,,,,,,,,1,10,12,31,6,10,8,19,21,6,4,7,3,2,5,1,2,0,91,84,36,9,All
Ethelind Baylor,,,,,,,,,,,,,,0,10,3,2,3,6,8,6,0,5,2,1,2,2,2,1,0,47,125,18,4,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,1,13,41,10,11,4,9,5,2,2,4,3,5,0,4,0,53,92,23,9,All
Asa Khalif,,,,,,,,,,,,,,,,1,7,35,7,8,8,5,6,4,3,2,6,1,1,0,69,56,22,6,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,5,5,14,4,7,5,7,5,1,6,2,3,3,0,50,54,16,7,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,1,11,9,3,2,5,2,7,5,2,1,1,0,52,32,25,2,All
Billy Thompson,,,,,,,,,,,,,,,,,,,1,5,5,6,2,7,2,5,4,5,4,0,26,34,27,8,All
