col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
Warren Bloom,,,,,,,,,1,0,1,0,0,13,9,6,0,6,6,1,3,2,5,2,1,5,3,1,1,0,3,1,0,3,1,3,2,0,3,1,0,3,0,All
Jen Devor,,,,,,,,,,1,3,0,0,11,6,6,5,9,6,0,4,2,1,1,0,2,1,0,4,1,2,3,3,0,1,0,0,1,0,1,0,0,0,All
Luigi Borda,,,,,,,,,,,0,0,1,8,5,5,1,3,2,3,4,3,3,4,3,0,3,2,5,3,2,3,4,0,4,0,3,0,1,1,0,1,0,All
Robin Trent,,,,,,,,,,,,0,0,5,6,6,3,6,2,1,6,0,3,6,3,1,5,1,6,1,1,3,3,0,2,2,1,0,1,1,0,1,0,All
Moira Bohannon,,,,,,,,,,,,,0,7,3,1,2,6,4,1,3,0,1,2,2,1,4,0,3,1,2,1,0,1,2,2,2,0,0,1,1,0,0,All
Helen Gym,,,,,,,,,,,,,,17,326,295,288,242,126,87,75,77,28,21,47,32,30,27,39,14,24,26,22,9,11,15,11,15,10,8,5,4,0,All
Allan Domb,,,,,,,,,,,,,,,26,290,284,232,31,30,28,8,47,16,29,28,36,21,14,14,18,14,11,10,6,6,8,7,13,9,5,5,0,All
Isaiah Thomas,,,,,,,,,,,,,,,,9,275,234,31,18,22,11,44,36,27,30,15,16,16,16,11,23,21,14,8,1,5,5,1,6,7,7,0,All
Derek S Green,,,,,,,,,,,,,,,,,4,228,17,16,18,7,35,19,24,34,26,18,12,8,10,20,9,6,7,3,0,8,3,3,6,1,0,All
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,1,26,12,23,5,21,21,33,14,21,19,19,9,17,9,5,9,5,7,7,6,5,1,5,3,0,All
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,5,74,73,65,14,18,8,10,15,10,9,6,8,6,4,1,6,11,5,8,2,3,3,1,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,7,69,60,12,9,9,10,11,17,4,8,6,1,1,3,6,4,5,1,4,3,3,0,0,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,0,58,11,16,5,11,21,6,9,6,12,2,4,3,7,13,6,4,2,1,2,7,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,8,7,4,7,6,3,6,7,4,1,1,2,1,2,4,4,2,0,2,0,0,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,2,13,8,25,9,6,7,2,4,3,3,7,6,1,3,2,6,4,4,3,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,0,10,14,10,8,10,7,10,4,7,7,9,4,4,3,2,1,2,3,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,0,12,7,12,15,5,8,2,7,3,2,1,2,3,3,2,0,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,7,7,2,5,3,2,4,5,1,3,4,3,4,3,1,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,3,3,3,3,1,5,10,3,3,5,2,4,2,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,5,6,3,2,2,4,1,5,1,5,4,4,2,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,11,9,11,0,1,6,1,2,2,1,1,1,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,1,1,4,6,0,2,1,1,0,2,0,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,5,4,3,3,4,3,1,0,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,3,3,0,1,1,2,1,0,0,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,0,2,2,1,2,2,0,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,2,2,1,0,1,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,2,3,2,0,1,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1,2,0,2,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,708,420,231,166,106,60,56,49,23,17,17,17,13,671,504,436,397,334,226,201,181,126,96,85,81,80,75,73,64,58,54,44,41,32,31,29,28,27,24,19,16,13,0,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,,,,,,,,1
,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Mark Ross,Willie Floyd Singletary,Asa Khalif,Latrice Y Bryant,Erika Almirón,Ogbonna Paul Hagins,Sandra Dungee Glenn,Billy Thompson,Eryn Santamoor,Fareed Abdullah,Fernando Treviño,Justin Diberardinis,Vinny Black,Beth Finn,Bobbie Curry,Ethelind Baylor,Hena Veit,Wayne Allen,Wayne Edmund Dorsey,Devon Cade,Edwin Santana,Joseph A Diorio,Sherrie Cohen,Omar Sabir,Lisa Deeley,Marwan Kreidie,Kahlil Williams,Annette Thompson,Carla Cain,Dennis Lee,Moira Bohannon,Jen Devor,Luigi Borda,Robin Trent,Lewis Harris Jr,Warren Bloom,1
Helen Gym,0,22,22,20,19,7,4,2,3,4,2,3,2,4,1,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,28,25,4,3,1,2,2,0,0,1,1,0,0,1
Allan Domb,,0,20,18,17,0,2,1,1,2,0,0,0,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,20,19,0,1,1,2,1,0,0,0,0,0,0,1
Derek S Green,,,0,20,18,1,1,2,0,4,1,0,0,1,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,21,19,1,2,1,1,0,0,1,0,0,0,0,1
Isaiah Thomas,,,,0,18,2,2,3,1,4,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,20,15,0,3,1,0,0,0,1,0,1,0,0,1
Katherine Gilmore Richardson,,,,,0,1,5,4,1,1,1,1,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,18,18,1,1,0,1,0,2,1,0,0,0,0,1
Adrián Rivera-reyes,,,,,,0,3,0,5,0,0,3,3,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,5,2,0,0,0,0,0,1,1,0,0,1
Deja Lynn Alvarez,,,,,,,0,1,3,1,1,2,3,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,3,1,0,1,0,2,1,0,1,0,0,1
Mark Ross,,,,,,,,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1
Willie Floyd Singletary,,,,,,,,,0,1,0,0,3,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,4,3,1,0,0,0,1,0,0,0,0,0,1
Asa Khalif,,,,,,,,,,0,2,0,0,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,1,0,2,2,1,1,0,1,0,0,0,0,1
Latrice Y Bryant,,,,,,,,,,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,2,0,1,0,0,0,0,0,0,1
Erika Almirón,,,,,,,,,,,,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1
Ogbonna Paul Hagins,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1
Sandra Dungee Glenn,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,1
Billy Thompson,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1
Eryn Santamoor,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,0,0,1
Fareed Abdullah,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
Fernando Treviño,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
Justin Diberardinis,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
Vinny Black,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Beth Finn,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Omar Sabir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,0,1,1,1,0,0,1,0,0,0,0,1
Lisa Deeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,1,2,2,0,0,0,0,0,1
Marwan Kreidie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,1
Kahlil Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,1
Annette Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1
Carla Cain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Dennis Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Moira Bohannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Jen Devor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Luigi Borda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Robin Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Lewis Harris Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Warren Bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,41,27,27,26,24,12,10,9,8,7,5,4,4,4,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,38,32,7,6,5,3,2,2,1,1,1,0,0,1
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Omar Sabir,Lisa Deeley,Kahlil Williams,Marwan Kreidie,Dennis Lee,Carla Cain,Jen Devor,Annette Thompson,Lewis Harris Jr,Luigi Borda,Moira Bohannon,Robin Trent,Warren Bloom,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Deja Lynn Alvarez,Adrián Rivera-reyes,Willie Floyd Singletary,Erika Almirón,Eryn Santamoor,Ethelind Baylor,Ogbonna Paul Hagins,Billy Thompson,Asa Khalif,Justin Diberardinis,Latrice Y Bryant,Sandra Dungee Glenn,Fareed Abdullah,Beth Finn,Edwin Santana,Fernando Treviño,Hena Veit,Mark Ross,Vinny Black,Wayne Allen,Bobbie Curry,Devon Cade,Joseph A Diorio,Sherrie Cohen,Wayne Edmund Dorsey,2
Omar Sabir,2,31,1,3,2,1,1,0,0,0,0,0,0,35,26,25,24,24,8,4,6,3,5,4,3,3,2,3,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,2
Lisa Deeley,,1,1,0,0,0,0,0,0,0,0,0,0,27,23,20,21,18,5,2,2,1,1,3,2,2,1,3,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2
Kahlil Williams,,,0,0,1,0,1,1,0,0,0,0,0,4,2,1,2,2,1,2,1,2,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2
Marwan Kreidie,,,,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,3,1,0,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Dennis Lee,,,,,0,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Carla Cain,,,,,,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jen Devor,,,,,,,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Annette Thompson,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Lewis Harris Jr,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Luigi Borda,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Moira Bohannon,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Robin Trent,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Warren Bloom,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,,,,,,,,,,,,0,25,23,23,22,4,5,3,4,4,4,3,3,1,2,1,2,0,1,1,1,0,0,1,1,0,0,0,0,0,2
Allan Domb,,,,,,,,,,,,,,,4,23,21,22,4,1,1,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Derek S Green,,,,,,,,,,,,,,,,2,23,20,2,0,1,0,3,2,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,,,,,,,,,,,,,,,1,21,1,1,1,2,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Katherine Gilmore Richardson,,,,,,,,,,,,,,,,,,0,3,1,0,2,1,0,0,2,1,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,2
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,0,3,3,0,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,,,,0,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,2
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,2
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,2
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,50,35,8,8,4,2,2,1,1,0,0,0,0,43,36,33,30,29,9,7,6,5,5,5,5,4,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,2
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Omar Sabir,Kahlil Williams,Lisa Deeley,Marwan Kreidie,Lewis Harris Jr,Annette Thompson,Carla Cain,Warren Bloom,Jen Devor,Dennis Lee,Moira Bohannon,Robin Trent,Luigi Borda,Helen Gym,Allan Domb,Derek S Green,Adrián Rivera-reyes,Isaiah Thomas,Willie Floyd Singletary,Deja Lynn Alvarez,Katherine Gilmore Richardson,Ogbonna Paul Hagins,Eryn Santamoor,Fareed Abdullah,Billy Thompson,Asa Khalif,Beth Finn,Latrice Y Bryant,Sandra Dungee Glenn,Erika Almirón,Justin Diberardinis,Wayne Allen,Edwin Santana,Vinny Black,Wayne Edmund Dorsey,Devon Cade,Ethelind Baylor,Fernando Treviño,Hena Veit,Joseph A Diorio,Bobbie Curry,Mark Ross,Sherrie Cohen,3
Omar Sabir,1,8,11,5,2,1,1,0,0,0,0,0,0,25,18,12,11,12,10,10,9,9,5,4,4,2,1,3,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,3
Kahlil Williams,,1,1,2,1,1,0,1,2,0,0,0,0,10,11,8,3,3,4,4,5,0,4,3,3,1,1,2,1,2,3,1,1,1,0,1,0,0,0,1,0,0,0,3
Lisa Deeley,,,0,1,0,2,1,1,0,0,0,0,0,14,10,9,4,7,3,1,8,2,1,0,0,1,1,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3
Marwan Kreidie,,,,0,0,0,1,0,0,0,0,0,0,6,2,1,7,2,6,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Lewis Harris Jr,,,,,1,2,0,0,0,0,1,0,0,3,4,3,0,2,1,1,2,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3
Annette Thompson,,,,,,1,0,0,0,0,0,0,0,1,2,3,1,2,2,1,0,0,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Carla Cain,,,,,,,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Warren Bloom,,,,,,,,0,0,1,0,0,0,3,2,0,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Jen Devor,,,,,,,,,0,0,0,0,0,2,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dennis Lee,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Moira Bohannon,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
Robin Trent,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Luigi Borda,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Helen Gym,,,,,,,,,,,,,,1,21,13,12,11,10,11,12,7,5,2,2,1,2,0,1,2,1,0,1,0,2,1,1,0,1,1,0,0,0,3
Allan Domb,,,,,,,,,,,,,,,2,15,4,11,6,3,11,0,5,5,3,2,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,3
Derek S Green,,,,,,,,,,,,,,,,0,1,10,2,3,9,0,3,3,3,2,1,2,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,3
Adrián Rivera-reyes,,,,,,,,,,,,,,,,,1,3,7,8,3,7,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Isaiah Thomas,,,,,,,,,,,,,,,,,,1,0,1,8,1,1,2,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,2,6,0,5,3,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
