col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Justin Diberardinis,Adrián Rivera-reyes,Eryn Santamoor,Erika Almirón,Deja Lynn Alvarez,Willie Floyd Singletary,Sandra Dungee Glenn,Ethelind Baylor,Beth Finn,Ogbonna Paul Hagins,Fernando Treviño,Fareed Abdullah,Asa Khalif,Billy Thompson,Latrice Y Bryant,Joseph A Diorio,Hena Veit,Edwin Santana,Wayne Allen,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Jim Kenney,"11,604",0,0,"78,368","43,408","43,815","42,708","31,505","32,693","24,509","25,593","26,812","17,659","9,800","9,709","10,757","8,877","7,669","7,698","5,162","4,925","4,015","4,676","3,338","3,145","2,605","2,488","2,074","1,949","1,917","1,381","1,271",20,All
Anthony Hardy Williams,,"5,488",0,"18,822","13,066","14,398","12,358","9,024","4,196","7,318","4,618","4,338","6,006","6,254","6,174","2,121","2,514","3,331","2,263","4,493","3,915","3,414","3,245","2,130","1,278","1,915","1,629","1,396","1,220","1,111",939,942,15,All
Alan Butkovitz,,,"2,335","6,758","6,737","2,477","2,822","2,679","3,446","2,396","3,193","1,397","1,953","1,398","1,298",573,"1,942","1,090","1,050",511,554,"1,151",586,"1,756",747,479,489,817,776,671,376,357,5,All
Helen Gym,,,,460,"38,120","39,135","38,528","29,252","30,495","20,009","22,605","27,166","14,241","8,080","8,758","10,036","8,043","7,989","6,315","3,985","4,429","3,778","3,614","2,517","2,907","1,791","1,673","1,617","1,385","1,404","1,055",894,6,All
Allan Domb,,,,,611,"28,958","33,901","23,812","13,627","5,288","15,818","4,234","3,483","2,842","5,895","1,787","3,882","1,319","2,802","3,448","2,602","2,900","1,680","3,106","1,238","1,525","1,619","1,613","1,546","1,267","1,096",968,8,All
Isaiah Thomas,,,,,,381,"34,207","24,341","16,393","5,707","7,675","13,456","3,401","2,870","7,084","8,662","2,084","1,433","1,678","4,460","3,744","2,595","2,766","1,474",849,"1,433","1,530","1,012","1,121",596,988,704,13,All
Derek S Green,,,,,,,191,"25,789","15,973","4,493","12,598","8,146","3,426","2,086","6,200","3,509","2,188","1,069","1,640","3,387","2,809","2,213","2,011","1,112",501,"1,160","1,363","1,020",836,758,442,666,9,All
Katherine Gilmore Richardson,,,,,,,,97,"6,960","3,477","10,240","6,575","2,739","1,332","5,744","1,581","3,571",925,"2,916","1,863","1,604","1,819","2,102","1,089","1,172",875,753,797,725,721,500,469,11,All
Justin Diberardinis,,,,,,,,,127,"6,308","13,147","16,105","3,180",497,"3,046","7,362","2,884",685,"2,287",784,"1,111",854,763,"1,752",554,847,435,646,634,500,315,273,8,All
Adrián Rivera-reyes,,,,,,,,,,230,"5,581","6,943","11,909","7,382","1,837","1,760","3,221","6,930","3,407","1,432","1,801","1,354","1,603","1,247","1,168","1,211",628,626,469,553,362,346,7,All
Eryn Santamoor,,,,,,,,,,,84,"7,808","3,439","1,211","2,745","1,156","3,606","1,008","4,106",993,"1,043","1,214","1,355","1,127","1,411",728,436,680,643,729,438,288,7,All
Erika Almirón,,,,,,,,,,,,88,"4,850",549,"3,266","7,348","3,409",865,"3,389","1,072","1,914",903,"1,496",449,"1,005",589,390,377,306,356,273,227,7,All
Deja Lynn Alvarez,,,,,,,,,,,,,171,"6,980","1,377","1,395","2,267","6,348","2,300","1,150","1,583",978,"1,705",992,"1,118",824,476,468,487,498,340,269,7,All
Willie Floyd Singletary,,,,,,,,,,,,,,120,768,286,583,"5,366",831,"1,091",798,"1,370","1,033",900,474,342,551,502,427,443,265,365,2,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,56,"1,641","2,391",534,930,"1,361","1,634","1,229","1,562",985,895,948,465,441,342,520,264,330,3,All
Ethelind Baylor,,,,,,,,,,,,,,,,58,841,345,381,641,517,414,625,176,235,268,318,175,165,124,143,143,2,All
Beth Finn,,,,,,,,,,,,,,,,,61,572,"1,100",612,839,963,"1,101","1,015","1,216",503,509,506,610,625,272,291,7,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,90,707,567,562,608,464,444,505,256,192,231,161,188,125,140,6,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,34,589,595,767,559,"1,282",650,"1,169",310,274,260,278,180,141,4,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,69,"2,582",806,"1,289",403,341,593,627,463,372,318,383,278,2,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,21,582,"1,138",282,467,512,524,418,284,286,270,242,1,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,61,708,"1,177",511,348,533,582,604,609,309,434,5,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,27,480,660,413,665,427,483,483,361,285,5,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,43,542,642,345,565,604,601,430,300,7,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,14,184,141,338,223,265,179,148,2,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,26,309,205,180,251,131,162,2,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,74,310,352,321,197,227,2,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,360,280,327,166,3,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,502,156,246,3,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,254,216,9,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,154,2,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"131,730","47,949","17,198","106,997","66,000","63,227","60,148","44,814","41,717","35,081","34,416","33,683","26,245","17,841","17,731","13,949","13,696","12,454","11,390","10,466","9,586","8,962","8,742","7,602","5,398","5,150","4,838","4,418","4,137","3,825","2,794","2,698",44,All
