col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,R Seth Williams,Daniel D Mccaffery,Anne Marie Coyle,John J O Connor Jr,Kenneth J Powell Jr,Dawn M Tancredi,Timika Lane,Joe Fernandes,Leon A King Ii,Stephanie M Sawyer,Giovanni Campbell,James C Crumlish,Tracy B Roman,Conor Corcoran,Derrick W Coker,Frank Bennett,Sierra Thomas Street,Vince Giusini,Daine A Grey Jr,Jon Marshall,Rania Major,Sean P Stevens,Deborah D Cianfrani,Fran Shields,Katie Scrivner,1
R Seth Williams,0,10,9,7,6,5,6,3,4,4,3,2,3,2,2,2,2,2,1,1,1,1,0,0,0,1
Daniel D Mccaffery,,0,6,6,7,4,4,3,3,3,3,2,2,2,1,1,2,1,1,1,1,1,0,0,0,1
Anne Marie Coyle,,,0,5,5,2,5,3,0,1,0,2,2,1,1,1,1,1,1,0,0,1,0,0,0,1
John J O Connor Jr,,,,0,4,4,4,3,2,2,0,2,1,0,2,2,0,0,1,1,1,0,0,0,0,1
Kenneth J Powell Jr,,,,,0,3,4,3,1,0,1,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1
Dawn M Tancredi,,,,,,0,3,2,2,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Timika Lane,,,,,,,0,2,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,,,,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Leon A King Ii,,,,,,,,,0,2,2,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,0,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,1
Giovanni Campbell,,,,,,,,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Sierra Thomas Street,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,14,11,9,8,7,6,6,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,1
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,R Seth Williams,Dawn M Tancredi,Anne Marie Coyle,Daniel D Mccaffery,Joe Fernandes,John J O Connor Jr,Deborah D Cianfrani,James C Crumlish,Vince Giusini,Giovanni Campbell,Timika Lane,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,Kenneth J Powell Jr,Sierra Thomas Street,Tracy B Roman,Frank Bennett,Jon Marshall,Leon A King Ii,Rania Major,Sean P Stevens,Stephanie M Sawyer,Fran Shields,Katie Scrivner,2
R Seth Williams,1,9,8,7,5,3,3,3,4,3,3,1,2,1,1,2,2,0,1,1,1,1,1,0,0,2
Dawn M Tancredi,,0,5,7,3,2,4,3,3,2,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,2
Anne Marie Coyle,,,0,3,5,1,2,2,2,1,2,1,1,1,1,2,2,1,1,0,1,0,1,0,0,2
Daniel D Mccaffery,,,,0,3,3,2,5,1,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2
Joe Fernandes,,,,,0,0,1,2,1,1,3,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2
John J O Connor Jr,,,,,,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Deborah D Cianfrani,,,,,,,0,1,2,0,0,2,1,0,1,1,1,1,0,0,0,1,1,0,0,2
James C Crumlish,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Vince Giusini,,,,,,,,,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,2
Giovanni Campbell,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
Timika Lane,,,,,,,,,,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2
Conor Corcoran,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
Daine A Grey Jr,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Derrick W Coker,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,2
Kenneth J Powell Jr,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,2
Sierra Thomas Street,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,1,0,0,2
Tracy B Roman,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,2
Frank Bennett,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2
Jon Marshall,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,2
Leon A King Ii,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Rania Major,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,16,10,9,9,6,6,5,5,5,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,2
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,3
,R Seth Williams,Daniel D Mccaffery,Anne Marie Coyle,Dawn M Tancredi,Giovanni Campbell,Joe Fernandes,Timika Lane,Stephanie M Sawyer,Tracy B Roman,Conor Corcoran,Daine A Grey Jr,Frank Bennett,James C Crumlish,Kenneth J Powell Jr,John J O Connor Jr,Leon A King Ii,Rania Major,Sierra Thomas Street,Vince Giusini,Deborah D Cianfrani,Derrick W Coker,Fran Shields,Jon Marshall,Katie Scrivner,Sean P Stevens,3
R Seth Williams,0,4,4,4,3,2,2,3,3,1,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,3
Daniel D Mccaffery,,0,2,4,4,3,1,3,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3
Anne Marie Coyle,,,0,2,1,1,3,2,3,1,1,1,0,2,1,0,1,1,1,0,0,0,0,0,0,3
Dawn M Tancredi,,,,0,4,2,2,2,2,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3
Giovanni Campbell,,,,,0,2,1,2,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3
Joe Fernandes,,,,,,0,2,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,3
Timika Lane,,,,,,,0,0,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,3
Stephanie M Sawyer,,,,,,,,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Tracy B Roman,,,,,,,,,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
Conor Corcoran,,,,,,,,,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Daine A Grey Jr,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
