col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,1
,R Seth Williams,Daniel D Mccaffery,John J O Connor Jr,Anne Marie Coyle,Dawn M Tancredi,Joe Fernandes,Kenneth J Powell Jr,Sierra Thomas Street,Frank Bennett,Stephanie M Sawyer,Timika Lane,Tracy B Roman,Derrick W Coker,Giovanni Campbell,James C Crumlish,Leon A King Ii,Conor Corcoran,Deborah D Cianfrani,Rania Major,Sean P Stevens,Vince Giusini,Daine A Grey Jr,Fran Shields,Jon Marshall,Katie Scrivner,1
R Seth Williams,2,8,7,7,5,4,3,4,3,3,3,3,2,1,2,2,1,0,1,1,0,0,0,0,0,1
Daniel D Mccaffery,,2,6,5,5,2,2,1,3,1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,1
John J O Connor Jr,,,1,3,4,2,1,1,1,2,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,1
Anne Marie Coyle,,,,0,2,1,2,1,3,1,1,2,2,0,2,0,1,0,0,1,0,0,0,0,0,1
Dawn M Tancredi,,,,,0,2,1,3,1,2,2,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1
Joe Fernandes,,,,,,0,1,2,1,1,1,1,1,1,0,2,1,1,1,0,0,0,0,0,0,1
Kenneth J Powell Jr,,,,,,,0,2,1,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Sierra Thomas Street,,,,,,,,0,0,2,2,2,0,1,0,2,0,0,1,0,0,0,0,0,0,1
Frank Bennett,,,,,,,,,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1
Timika Lane,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Derrick W Coker,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,1
Giovanni Campbell,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1
Conor Corcoran,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Sean P Stevens,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1
Daine A Grey Jr,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,16,13,10,7,7,5,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,1
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,2
,R Seth Williams,Daniel D Mccaffery,Anne Marie Coyle,Dawn M Tancredi,Tracy B Roman,John J O Connor Jr,Joe Fernandes,Timika Lane,Vince Giusini,Giovanni Campbell,Kenneth J Powell Jr,Stephanie M Sawyer,James C Crumlish,Daine A Grey Jr,Sierra Thomas Street,Deborah D Cianfrani,Frank Bennett,Conor Corcoran,Jon Marshall,Leon A King Ii,Derrick W Coker,Sean P Stevens,Rania Major,Fran Shields,Katie Scrivner,2
R Seth Williams,1,19,18,12,13,9,9,8,8,7,5,8,7,6,5,3,4,3,3,2,1,2,1,0,0,2
Daniel D Mccaffery,,0,12,11,6,10,4,3,2,7,5,4,6,3,1,2,3,1,1,1,1,0,1,0,0,2
Anne Marie Coyle,,,1,7,8,6,6,4,6,2,5,3,2,1,4,3,2,2,2,0,1,1,1,0,0,2
Dawn M Tancredi,,,,0,7,5,4,3,2,4,2,2,3,0,0,3,2,1,1,1,2,1,0,0,0,2
Tracy B Roman,,,,,0,1,3,5,6,3,2,3,2,2,4,3,1,1,0,1,0,0,0,0,0,2
John J O Connor Jr,,,,,,0,1,0,1,3,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2
Joe Fernandes,,,,,,,0,7,5,2,0,2,1,1,4,1,0,0,0,1,1,0,0,0,0,2
Timika Lane,,,,,,,,0,4,2,0,1,0,1,4,1,0,0,0,2,1,0,0,0,0,2
Vince Giusini,,,,,,,,,0,1,1,1,0,1,5,2,1,0,0,0,0,0,0,0,0,2
Giovanni Campbell,,,,,,,,,,0,2,4,3,3,0,0,0,1,0,1,1,0,0,0,0,2
Kenneth J Powell Jr,,,,,,,,,,,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2
Stephanie M Sawyer,,,,,,,,,,,,0,4,6,0,1,0,2,1,1,0,1,0,0,0,2
James C Crumlish,,,,,,,,,,,,,0,4,0,0,0,1,1,0,0,1,0,0,0,2
