col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,Joseph C Waters Jr,Jack Mcvay Jr,Henry Lewandowski,Martin Coleman,Tracy B Roman,Fran Shields,Daine A Grey Jr,Shoshana Bricklin,Frank Bennett,Joe Fernandes,Robert M Kline,Conor Corcoran,Derrick W Coker,1
Joseph C Waters Jr,2,0,10,8,8,4,3,2,1,1,0,0,0,1
Jack Mcvay Jr,,0,0,0,0,0,0,0,0,0,0,0,0,1
Henry Lewandowski,,,0,6,6,2,1,1,1,0,0,0,0,1
Martin Coleman,,,,0,7,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,0,0,0,0,0,0,0,0,0,1
Fran Shields,,,,,,0,1,2,0,0,0,0,0,1
Daine A Grey Jr,,,,,,,0,1,1,0,0,0,0,1
Shoshana Bricklin,,,,,,,,0,0,0,1,0,0,1
Frank Bennett,,,,,,,,,0,0,0,0,0,1
Joe Fernandes,,,,,,,,,,0,0,0,0,1
Robert M Kline,,,,,,,,,,,0,0,0,1
Conor Corcoran,,,,,,,,,,,,0,0,1
Derrick W Coker,,,,,,,,,,,,,0,1
Total,19,0,10,8,8,4,3,3,1,1,1,0,0,1
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,2
,Joseph C Waters Jr,Jack Mcvay Jr,Martin Coleman,Henry Lewandowski,Fran Shields,Tracy B Roman,Frank Bennett,Joe Fernandes,Conor Corcoran,Robert M Kline,Shoshana Bricklin,Daine A Grey Jr,Derrick W Coker,2
Joseph C Waters Jr,0,0,8,8,7,3,2,1,0,1,1,0,0,2
Jack Mcvay Jr,,0,3,2,0,2,0,1,1,0,0,0,0,2
Martin Coleman,,,0,6,5,4,1,0,0,0,1,0,0,2
Henry Lewandowski,,,,0,6,2,1,1,1,0,0,0,0,2
Fran Shields,,,,,0,0,1,0,0,0,0,0,0,2
Tracy B Roman,,,,,,0,0,1,0,1,0,0,0,2
Frank Bennett,,,,,,,0,0,0,0,1,0,0,2
Joe Fernandes,,,,,,,,0,1,1,0,0,0,2
Conor Corcoran,,,,,,,,,0,0,0,0,0,2
Robert M Kline,,,,,,,,,,0,0,0,0,2
