col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
,Auditor General - Democrat,,,,,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Nina Ahmad,Michael Lamb,Tracie Fountain,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Write-In,Nina Tinari,Malcolm Kenyatta,Cindy Bass,Ken Washington,Wynnetta Ward,Charlene Cooper,Terry Gillen,Anuj Gupta,Lindy Li,Matthew Miller,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Anlin Wang,Joanne Beer,Daisy Confoy,Arielle Cohen,Christina Borst,Carla Le'Coin,Steve Paul,Sergio Cea,Bryan Mercer,Paul Prescod,Jack Cahill,Daniel Laufer,Write-In,All
Nina Ahmad,"8,008",0,0,0,0,0,0,"84,888","83,827","83,045","79,745","80,374","79,703","78,515","78,446","77,375","74,335","70,788","36,733","34,971","32,156","31,216","30,161","30,479","29,701","28,952","26,384","26,245","25,458","24,459","24,866","23,454","1,609",All
Michael Lamb,,"1,287",0,0,0,0,0,"10,280","9,760","10,128","9,882","9,332","9,917","10,245","9,821","8,913","9,116","9,288","4,886","4,617","4,198","4,279","4,132","3,680","3,530","3,378","3,945","3,181","3,314","3,763","3,268","3,063",269,All
Tracie Fountain,,,792,0,0,0,0,"6,609","6,729","6,401","6,555","6,515","6,376","6,316","6,199","6,240","5,993","5,507","3,916","3,770","3,479","3,531","3,486","3,501","3,510","3,453","3,090","3,182","3,102","2,959","3,000","2,870",139,All
Rose Rosie Marie Davis,,,,622,0,0,0,"4,284","4,516","4,056","4,666","4,376","4,135","4,233","3,891","3,988","4,117","3,293","2,119","1,910","1,678","1,835","1,866","1,920","2,062","1,868","1,508","1,718","1,729","1,458","1,601","1,505",75,All
Christina M Hartman,,,,,535,0,0,"3,990","3,750","3,849","3,727","3,630","3,791","3,833","3,743","3,527","3,508","3,339","2,252","2,155","1,938","2,028","1,968","1,870","1,895","1,760","1,723","1,583","1,585","1,652","1,563","1,457",125,All
H Scott Conklin,,,,,,389,0,"2,368","2,015","2,322","2,202","1,923","2,229","2,301","2,150","1,813","1,857","2,074","1,473","1,543","1,340","1,333","1,294","1,081",954,874,"1,313",878,908,"1,231",953,855,49,All
Write-In,,,,,,,15,33,33,33,33,30,29,31,28,31,31,26,43,43,38,40,35,37,33,33,37,33,32,38,35,32,140,All
Nina Tinari,,,,,,,,348,"102,199","105,034","101,606","101,007","104,637","103,078","102,243","97,990","96,363","95,468","21,585","18,020","15,702","15,829","14,323","11,468","11,996","10,986","9,850","8,250","7,677","8,762","6,582","5,064","1,510",All
Malcolm Kenyatta,,,,,,,,,259,"100,783","103,948","103,346","100,359","99,936","98,563","99,530","99,478","90,315","17,906","14,624","11,983","12,112","10,724","12,664","12,617","11,650","7,428","9,882","9,887","6,503","8,372","6,729","1,586",All
Cindy Bass,,,,,,,,,,423,"99,166","99,017","103,139","101,387","99,795","94,609","94,102","93,534","20,716","17,950","15,186","15,185","13,516","11,838","10,794","9,791","9,646","7,411","7,267","8,621","6,531","4,948","1,614",All
Ken Washington,,,,,,,,,,,390,"101,527","100,118","100,369","97,389","97,436","99,313","91,147","16,059","12,323","11,030","10,824","9,226","10,133","10,654","9,626","6,946","8,479","8,814","6,296","7,400","5,947","1,424",All
Wynnetta Ward,,,,,,,,,,,,102,"99,690","98,516","96,467","99,130","97,288","88,211","17,563","14,874","12,376","12,170","10,927","12,978","12,621","11,761","6,944","9,138","8,703","5,509","7,840","6,452","1,464",All
Charlene Cooper,,,,,,,,,,,,,47,"102,826","100,888","96,103","96,017","93,356","19,517","16,193","13,772","14,290","13,008","10,546","10,534","9,558","8,773","6,923","7,067","8,374","5,593","3,660","1,446",All
Terry Gillen,,,,,,,,,,,,,,67,"100,011","95,435","96,531","93,215","18,523","15,182","13,051","13,617","11,889","9,996","10,135","8,877","9,069","6,863","7,489","8,490","6,462","4,988","1,356",All
Anuj Gupta,,,,,,,,,,,,,,,50,"94,832","93,436","92,207","19,068","16,066","14,872","14,346","12,954","10,503","10,084","9,388","8,953","7,800","6,814","8,334","4,962","4,243","1,396",All
Lindy Li,,,,,,,,,,,,,,,,43,"95,179","88,397","15,813","14,017","12,238","10,929","9,921","12,472","11,600","11,072","6,034","9,060","7,883","4,760","6,980","5,990","1,323",All
Matthew Miller,,,,,,,,,,,,,,,,,41,"88,241","13,263","10,273","8,376","8,670","7,051","9,081","9,487","8,439","4,519","7,501","7,817","4,582","6,702","5,203","1,373",All
Owen Voutsinas-Klose,,,,,,,,,,,,,,,,,,72,"14,309","13,263","12,005","10,406","8,837","7,579","6,419","6,132","7,822","5,580","5,059","6,764","4,771","3,467","1,248",All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,41,"41,989","39,247","39,043","38,562","36,064","34,577","33,503","35,811","30,491","30,202","33,246","30,011","29,356",330,All
Heather Pope,,,,,,,,,,,,,,,,,,,,187,"39,149","37,845","37,628","35,905","33,601","33,125","35,298","31,332","29,686","32,570","30,409","29,489",323,All
Anlin Wang,,,,,,,,,,,,,,,,,,,,,21,"36,037","36,093","33,786","31,573","31,817","34,652","31,321","28,761","32,315","29,126","28,650",209,All
Joanne Beer,,,,,,,,,,,,,,,,,,,,,,16,"38,186","33,481","32,841","30,986","33,543","30,166","28,783","33,317","28,735","28,310",209,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,,,,,18,"33,735","33,383","32,583","33,237","30,347","27,887","33,037","28,638","28,448",185,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,,,,34,"33,453","33,157","30,893","32,568","29,805","29,148","30,444","29,998",207,All
Christina Borst,,,,,,,,,,,,,,,,,,,,,,,,,13,"35,693","29,231","30,598","31,645","27,574","30,817","30,790",174,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,,,,13,"28,793","30,901","31,246","28,061","30,598","30,203",202,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,27,"28,921","28,198","32,067","28,722","28,290",189,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"29,066","28,259","29,019","28,599",146,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,"27,570","29,867","29,540",222,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"27,381","27,131",142,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"30,301",166,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,203,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,All
Total,"128,649","16,516","11,596","7,717","6,721","4,171",116,"120,005","118,108","117,554","114,559","113,180","113,037","112,416","110,904","108,569","105,612","100,792","54,320","52,149","47,409","46,810","45,370","45,129","43,994","42,527","40,428","39,073","38,302","37,789","37,499","35,339","2,985",All
