col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In Congress 2nd District - Democrat,,Delegate To The Democratic National Convention 2nd District - Democrat,,,,,,,,,,,,,,,All
,Brendan F Boyle,Write-In,Pamela Robinson,Michele Lockman,Anthony Bellmon,Patrick Parkinson,Theodore Kirsch,Mona Getzes Cohen,Amy Roat,Lisa Powley,Alvaro Quinones,Lorraine Haw,Vayda Good,Kempis Ghani Songster,Ronald Raju Joseph,Adam Tennant,Write-In,All
Brendan F Boyle,"5,236",0,"49,021","47,184","44,901","44,463","43,184","40,754","23,923","23,957","19,001","18,862","18,069","16,601","15,837","15,876",859,All
Write-In,,52,88,76,69,72,68,72,126,123,120,124,128,115,115,122,267,All
Pamela Robinson,,,949,"50,645","49,163","48,167","47,410","42,828","12,166","13,274","6,853","7,470","6,145","5,474","3,910","4,100",692,All
Michele Lockman,,,,303,"48,955","48,691","47,898","42,385","11,649","12,759","6,489","6,693","5,655","4,643","3,876","4,031",648,All
Anthony Bellmon,,,,,260,"48,076","47,830","40,932","10,166","10,891","5,258","5,380","4,223","4,330","3,364","3,009",623,All
Patrick Parkinson,,,,,,244,"47,439","40,376","9,935","10,910","5,057","5,065","3,492","3,891","3,156","3,336",635,All
Theodore Kirsch,,,,,,,85,"40,130","9,442","10,376","4,368","4,707","3,674","3,788","2,896","2,952",609,All
Mona Getzes Cohen,,,,,,,,275,"7,751","8,288","6,704","6,845","6,292","4,423","4,183","4,281",571,All
Amy Roat,,,,,,,,,302,"21,419","15,107","15,851","15,268","14,108","14,107","14,089",83,All
Lisa Powley,,,,,,,,,,138,"14,772","15,091","14,925","14,172","13,637","13,700",77,All
Alvaro Quinones,,,,,,,,,,,140,"15,029","16,105","14,238","14,585","14,560",63,All
Lorraine Haw,,,,,,,,,,,,50,"15,740","14,677","14,020","14,065",69,All
Vayda Good,,,,,,,,,,,,,32,"14,346","14,459","14,314",69,All
Kempis Ghani Songster,,,,,,,,,,,,,,85,"13,955","13,274",103,All
Ronald Raju Joseph,,,,,,,,,,,,,,,49,"14,134",61,All
Adam Tennant,,,,,,,,,,,,,,,,41,72,All
Write-In,,,,,,,,,,,,,,,,,44,All
Total,"74,091",312,"58,631","55,939","53,282","52,608","50,962","48,162","27,678","27,514","21,922","21,587","20,680","19,286","18,401","18,346","1,382",All
