col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Tinari,Ken Washington,Cindy Bass,Malcolm Kenyatta,Terry Gillen,Wynnetta Ward,Charlene Cooper,Anuj Gupta,Matthew Miller,Lindy Li,Owen Voutsinas-Klose,Sherrie Cohen,Heather Pope,Joanne Beer,Anlin Wang,Daisy Confoy,Steve Paul,Arielle Cohen,Christina Borst,Carla Le'Coin,Paul Prescod,Bryan Mercer,Jack Cahill,Sergio Cea,Daniel Laufer,Write-In,All
Joseph R Biden,540,0,0,0,"2,678","2,724","2,638","2,675","2,530","2,571","2,518","2,395","2,420","2,361","2,218",589,479,430,383,374,321,373,400,366,306,345,297,290,252,44,All
Bernie Sanders,,41,0,0,124,69,138,85,117,71,109,110,54,59,95,279,308,259,259,259,272,221,200,183,236,189,201,183,198,0,All
Tulsi Gabbard,,,11,0,20,23,17,16,19,16,16,16,15,16,15,11,18,13,10,14,13,14,7,8,10,12,11,9,7,0,All
Write-In,,,,0,3,3,3,3,4,2,2,3,2,3,2,2,2,3,3,3,4,3,2,3,3,2,2,2,1,0,All
Nina Tinari,,,,,3,"2,363","2,411","2,338","2,432","2,282","2,425","2,339","2,191","2,126","2,217",564,433,421,385,373,318,199,265,224,295,191,161,165,126,40,All
Ken Washington,,,,,,3,"2,289","2,467","2,349","2,437","2,314","2,219","2,346","2,274","2,052",432,303,297,256,243,204,272,323,290,185,280,230,239,200,32,All
Cindy Bass,,,,,,,1,"2,290","2,362","2,219","2,367","2,276","2,115","2,030","2,157",542,456,420,390,360,321,233,233,191,299,196,174,162,128,29,All
Malcolm Kenyatta,,,,,,,,8,"2,300","2,434","2,299","2,217","2,345","2,284","2,020",430,331,304,253,262,193,316,338,310,189,298,249,251,216,34,All
Terry Gillen,,,,,,,,,0,"2,261","2,441","2,341","2,213","2,130","2,180",530,420,421,353,373,319,214,256,211,320,203,168,158,131,31,All
Wynnetta Ward,,,,,,,,,,1,"2,255","2,154","2,293","2,247","1,956",413,320,281,257,223,194,305,318,293,158,279,250,232,212,31,All
Charlene Cooper,,,,,,,,,,,1,"2,331","2,187","2,103","2,155",530,414,411,357,363,315,204,243,207,309,190,138,145,84,31,All
Anuj Gupta,,,,,,,,,,,,0,"2,098","2,046","2,120",490,382,389,347,341,283,185,211,185,286,176,107,141,105,29,All
Matthew Miller,,,,,,,,,,,,,4,"2,183","1,953",352,254,243,189,198,128,255,288,252,140,253,212,216,178,33,All
Lindy Li,,,,,,,,,,,,,,0,"1,923",330,266,228,225,195,141,268,273,263,126,236,201,218,183,31,All
Owen Voutsinas-Klose,,,,,,,,,,,,,,,1,413,373,322,322,277,270,156,155,134,243,128,117,117,82,30,All
Sherrie Cohen,,,,,,,,,,,,,,,,3,571,533,513,498,500,357,356,340,442,317,294,259,271,1,All
Heather Pope,,,,,,,,,,,,,,,,,1,479,498,463,478,373,314,291,410,298,302,285,276,3,All
Joanne Beer,,,,,,,,,,,,,,,,,,0,434,503,439,298,311,249,440,270,259,247,248,1,All
Anlin Wang,,,,,,,,,,,,,,,,,,,0,420,459,310,267,268,389,263,264,264,246,0,All
Daisy Confoy,,,,,,,,,,,,,,,,,,,,0,413,305,317,285,440,239,259,250,256,0,All
Steve Paul,,,,,,,,,,,,,,,,,,,,,1,298,267,253,409,270,275,243,248,0,All
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,,0,352,341,257,325,348,358,325,2,All
Christina Borst,,,,,,,,,,,,,,,,,,,,,,,0,394,224,370,347,309,349,1,All
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,,0,244,368,338,302,327,1,All
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,,,,0,253,232,223,232,0,All
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,0,332,292,332,4,All
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,,1,299,332,1,All
Sergio Cea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,275,1,All
Daniel Laufer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"4,131",435,48,6,"2,864","2,853","2,834","2,820","2,707","2,696","2,684","2,559","2,530","2,469","2,370",899,826,720,670,664,622,617,617,568,567,556,521,490,467,45,All
,President Of The United States - Democrat,,,,Delegate To The Democratic National Convention 3rd District - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Nina Tinari,Cindy Bass,Ken Washington,Malcolm Kenyatta,Anuj Gupta,Charlene Cooper,Owen Voutsinas-Klose,Wynnetta Ward,Matthew Miller,Terry Gillen,Lindy Li,Heather Pope,Sherrie Cohen,Joanne Beer,Anlin Wang,Steve Paul,Daisy Confoy,Paul Prescod,Arielle Cohen,Christina Borst,Carla Le'Coin,Bryan Mercer,Jack Cahill,Daniel Laufer,Sergio Cea,Write-In,1
Joseph R Biden,26,0,0,0,105,100,103,97,89,89,89,92,91,83,87,24,25,18,18,16,15,11,15,12,13,10,7,8,10,2,1
Bernie Sanders,,4,0,0,8,10,3,5,8,7,6,3,3,7,2,20,16,17,16,18,14,16,10,11,9,11,13,12,9,0,1
Tulsi Gabbard,,,1,0,2,1,2,2,1,1,1,2,2,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
Write-In,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nina Tinari,,,,,0,101,90,89,96,92,94,88,85,88,82,31,33,25,26,23,21,18,11,12,11,8,7,7,9,2,1
Cindy Bass,,,,,,0,87,87,93,93,90,82,79,88,80,31,31,27,24,25,22,19,10,11,10,9,8,9,7,2,1
Ken Washington,,,,,,,0,87,81,82,77,87,83,78,84,18,18,10,12,10,8,6,11,9,8,7,7,7,8,2,1
Malcolm Kenyatta,,,,,,,,0,84,78,74,85,83,72,82,18,23,16,17,11,13,9,11,10,12,11,8,9,8,2,1
Anuj Gupta,,,,,,,,,0,85,89,78,77,84,76,27,28,23,24,21,21,17,5,8,8,8,4,7,6,2,1
Charlene Cooper,,,,,,,,,,0,85,77,77,85,76,23,27,20,21,23,17,17,7,8,5,4,4,4,8,2,1
Owen Voutsinas-Klose,,,,,,,,,,,0,72,76,84,72,22,24,20,20,19,18,16,5,6,4,5,2,3,4,2,1
Wynnetta Ward,,,,,,,,,,,,1,81,73,83,17,18,9,11,8,7,4,12,10,11,6,6,3,9,2,1
Matthew Miller,,,,,,,,,,,,,0,74,79,16,18,11,11,9,7,5,10,10,7,6,5,4,8,2,1
Terry Gillen,,,,,,,,,,,,,,0,71,23,22,18,18,18,15,17,5,8,4,5,3,5,4,2,1
Lindy Li,,,,,,,,,,,,,,,0,12,16,7,11,6,8,3,10,7,7,7,4,4,7,2,1
Heather Pope,,,,,,,,,,,,,,,,0,34,33,32,31,27,28,19,19,17,16,19,18,16,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,0,30,31,30,24,24,15,15,15,11,15,13,11,0,1
Joanne Beer,,,,,,,,,,,,,,,,,,0,26,27,27,26,14,15,14,15,15,17,10,0,1
Anlin Wang,,,,,,,,,,,,,,,,,,,0,26,25,24,13,12,12,12,11,13,12,0,1
Steve Paul,,,,,,,,,,,,,,,,,,,,0,22,25,12,13,13,11,16,15,13,0,1
Daisy Confoy,,,,,,,,,,,,,,,,,,,,,0,24,12,13,13,14,11,14,9,0,1
Paul Prescod,,,,,,,,,,,,,,,,,,,,,,0,10,12,12,10,14,13,10,0,1
Arielle Cohen,,,,,,,,,,,,,,,,,,,,,,,0,17,13,12,14,13,16,0,1
Christina Borst,,,,,,,,,,,,,,,,,,,,,,,,0,16,12,14,14,13,0,1
Carla Le'Coin,,,,,,,,,,,,,,,,,,,,,,,,,0,13,16,14,11,0,1
Bryan Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,15,9,0,1
Jack Cahill,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,12,0,1
