col_1,col_2,col_3,division
,Attorney General - Republican,,All
,Heather Heidelbaugh,Write-In,All
Heather Heidelbaugh,5,0,All
Write-In,,0,All
Total,5,0,All
,Attorney General - Republican,,2
,Heather Heidelbaugh,Write-In,2
Heather Heidelbaugh,0,0,2
Write-In,,0,2
Total,0,0,2
,Attorney General - Republican,,3
,Heather Heidelbaugh,Write-In,3
Heather Heidelbaugh,2,0,3
Write-In,,0,3
Total,2,0,3
,Attorney General - Republican,,4
,Heather Heidelbaugh,Write-In,4
Heather Heidelbaugh,0,0,4
Write-In,,0,4
Total,0,0,4
,Attorney General - Republican,,5
,Heather Heidelbaugh,Write-In,5
Heather Heidelbaugh,0,0,5
Write-In,,0,5
Total,0,0,5
,Attorney General - Republican,,6
,Heather Heidelbaugh,Write-In,6
Heather Heidelbaugh,1,0,6
Write-In,,0,6
Total,1,0,6
,Attorney General - Republican,,7
,Heather Heidelbaugh,Write-In,7
Heather Heidelbaugh,0,0,7
Write-In,,0,7
Total,0,0,7
,Attorney General - Republican,,10
,Heather Heidelbaugh,Write-In,10
Heather Heidelbaugh,1,0,10
Write-In,,0,10
Total,1,0,10
,Attorney General - Republican,,15
,Heather Heidelbaugh,Write-In,15
Heather Heidelbaugh,0,0,15
Write-In,,0,15
Total,0,0,15
,Attorney General - Republican,,17
,Heather Heidelbaugh,Write-In,17
Heather Heidelbaugh,0,0,17
Write-In,,0,17
Total,0,0,17
,Attorney General - Republican,,18
,Heather Heidelbaugh,Write-In,18
Heather Heidelbaugh,1,0,18
Write-In,,0,18
Total,1,0,18
