col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,All
,Tracey Gordon,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Bill Heeney,Al Taubenberger,Dan Tinney,Matt Wolfe,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Tracey Gordon,9,0,"2,430","2,089","2,037","1,947","1,660","1,315","1,128",220,141,130,118,97,270,158,99,67,45,2,All
Write-In,,0,5,2,1,4,6,3,3,2,2,1,3,2,3,1,1,5,1,2,All
Helen Gym,,,2,"1,929","1,857","1,757","1,559","1,172",981,118,44,50,33,31,215,142,51,39,25,3,All
Isaiah Thomas,,,,3,"1,765","1,656","1,401",811,689,64,41,30,21,21,120,42,38,27,14,1,All
Katherine Gilmore Richardson,,,,,2,"1,617","1,386",752,623,55,37,38,33,28,102,55,32,19,18,1,All
Derek S Green,,,,,,0,"1,416",650,505,74,18,40,34,25,101,65,43,29,14,1,All
Allan Domb,,,,,,,10,331,241,134,70,61,70,36,65,34,31,21,10,2,All
Kendra Brooks,,,,,,,,1,"1,245",58,11,18,15,11,221,131,50,49,22,2,All
Nicolas O'Rourke,,,,,,,,,0,41,18,16,11,10,170,83,37,43,16,2,All
David Oh,,,,,,,,,,14,502,508,477,464,36,20,34,20,16,0,All
Bill Heeney,,,,,,,,,,,40,505,483,484,22,5,21,9,4,0,All
Al Taubenberger,,,,,,,,,,,,30,489,463,20,10,21,12,3,0,All
Dan Tinney,,,,,,,,,,,,,8,453,18,8,23,9,5,0,All
Matt Wolfe,,,,,,,,,,,,,,0,16,7,18,9,5,0,All
Joe Cox,,,,,,,,,,,,,,,2,55,43,33,42,2,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,25,19,9,0,All
Maj Toure,,,,,,,,,,,,,,,,,8,24,16,1,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,13,0,All
Clarc King,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,977",10,"2,615","2,222","2,154","2,044","1,785","1,503","1,287",732,673,642,591,551,342,184,144,98,62,5,All
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,1
,Tracey Gordon,Write-In,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Kendra Brooks,Derek S Green,Nicolas O'Rourke,Allan Domb,Joe Cox,David Oh,Sherrie Cohen,Dan Tinney,Maj Toure,Matt Wolfe,Al Taubenberger,Steve Cherniavsky,Bill Heeney,Clarc King,Write-In,1
Tracey Gordon,2,0,204,159,157,131,135,108,105,29,15,18,8,11,6,7,10,4,6,0,1
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helen Gym,,,0,149,146,126,128,104,95,23,9,19,5,5,0,3,5,0,3,0,1
Katherine Gilmore Richardson,,,,0,134,82,104,64,80,11,4,9,2,4,1,2,3,1,5,0,1
Isaiah Thomas,,,,,0,71,102,62,85,10,5,8,2,5,1,2,5,1,1,0,1
Kendra Brooks,,,,,,0,54,115,20,22,3,16,3,2,1,0,3,0,2,0,1
Derek S Green,,,,,,,0,43,88,11,4,7,3,5,1,3,3,0,1,0,1
Nicolas O'Rourke,,,,,,,,0,18,16,3,7,1,3,1,0,5,0,0,0,1
Allan Domb,,,,,,,,,2,4,7,1,3,4,3,2,3,0,1,0,1
Joe Cox,,,,,,,,,,0,3,7,0,3,1,0,4,1,5,0,1
David Oh,,,,,,,,,,,0,0,6,2,10,10,0,8,3,0,1
Sherrie Cohen,,,,,,,,,,,,0,0,3,0,0,2,0,1,0,1
Dan Tinney,,,,,,,,,,,,,1,2,6,6,3,6,0,0,1
Maj Toure,,,,,,,,,,,,,,0,0,1,5,1,2,0,1
Matt Wolfe,,,,,,,,,,,,,,,0,7,0,9,1,0,1
Al Taubenberger,,,,,,,,,,,,,,,,0,0,7,0,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,1,2,0,1
Bill Heeney,,,,,,,,,,,,,,,,,,0,1,0,1
Clarc King,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,0,1
Total,243,0,216,170,166,145,142,121,109,33,22,20,13,13,13,11,11,10,8,0,1
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,2
,Tracey Gordon,Write-In,Helen Gym,Derek S Green,Katherine Gilmore Richardson,Isaiah Thomas,Allan Domb,Kendra Brooks,Nicolas O'Rourke,Dan Tinney,Al Taubenberger,Bill Heeney,David Oh,Matt Wolfe,Sherrie Cohen,Clarc King,Joe Cox,Maj Toure,Steve Cherniavsky,Write-In,2
Tracey Gordon,0,0,37,36,37,36,35,6,5,1,0,0,0,0,0,0,0,0,0,0,2
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Helen Gym,,,0,36,36,35,35,4,3,1,0,0,0,0,1,0,0,0,0,0,2
Derek S Green,,,,0,36,36,33,3,2,0,0,0,0,0,1,0,0,0,0,0,2
Katherine Gilmore Richardson,,,,,0,36,34,3,2,0,0,0,0,0,0,0,0,0,0,0,2
Isaiah Thomas,,,,,,0,33,2,1,0,0,0,0,0,0,0,0,0,0,0,2
Allan Domb,,,,,,,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2
Kendra Brooks,,,,,,,,0,6,1,0,0,0,0,1,0,0,0,0,0,2
Nicolas O'Rourke,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,2
Dan Tinney,,,,,,,,,,0,4,4,4,4,0,0,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,0,4,4,4,0,0,0,0,0,0,2
Bill Heeney,,,,,,,,,,,,0,4,4,0,0,0,0,0,0,2
David Oh,,,,,,,,,,,,,0,4,0,0,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,,0,0,0,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,0,0,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,,,0,0,0,0,2
Maj Toure,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,0,2
Total,40,0,38,37,37,36,35,7,6,5,4,4,4,4,1,0,0,0,0,0,2
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,3
,Tracey Gordon,Write-In,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,Bill Heeney,Matt Wolfe,David Oh,Al Taubenberger,Dan Tinney,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,3
Tracey Gordon,0,0,145,123,120,116,90,81,69,7,9,9,7,3,14,5,7,8,3,0,3
Write-In,,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Helen Gym,,,0,114,112,108,91,77,65,3,5,7,3,0,15,3,10,6,1,1,3
Katherine Gilmore Richardson,,,,0,109,97,80,51,47,1,2,4,3,0,3,1,2,4,1,1,3
Isaiah Thomas,,,,,0,97,77,53,47,1,2,2,0,0,6,0,2,4,1,1,3
Derek S Green,,,,,,0,86,47,36,0,3,4,1,0,8,3,1,5,1,1,3
Allan Domb,,,,,,,2,20,13,1,2,4,2,0,0,3,2,1,0,2,3
Kendra Brooks,,,,,,,,0,82,0,0,2,0,0,16,4,9,6,2,0,3
Nicolas O'Rourke,,,,,,,,,0,1,1,2,0,0,12,3,6,3,1,0,3
Bill Heeney,,,,,,,,,,1,28,23,25,21,3,4,0,0,0,0,3
Matt Wolfe,,,,,,,,,,,0,25,22,20,3,6,0,1,0,0,3
David Oh,,,,,,,,,,,,0,23,17,3,5,1,2,0,0,3
Al Taubenberger,,,,,,,,,,,,,1,20,1,1,0,0,0,0,3
Dan Tinney,,,,,,,,,,,,,,0,1,2,0,1,0,0,3
Joe Cox,,,,,,,,,,,,,,,0,5,4,1,3,0,3
Maj Toure,,,,,,,,,,,,,,,,0,3,2,1,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,0,3,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,0,3
Total,169,2,161,132,129,125,99,97,84,33,33,32,29,22,22,12,11,10,3,2,3
,Register Of Wills,,Council At Large,,,,,,,,,,,,,,,,,,4
,Tracey Gordon,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Bill Heeney,Matt Wolfe,Joe Cox,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,4
Tracey Gordon,0,0,164,150,142,131,119,95,84,24,15,17,12,10,19,16,10,7,2,0,4
Write-In,,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
Helen Gym,,,0,138,123,108,109,83,68,10,2,5,3,2,12,11,2,4,1,0,4
Isaiah Thomas,,,,0,125,110,96,66,57,2,2,2,3,0,10,5,6,2,1,0,4
