col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Matt Wolfe,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Jim Kenney,56,0,0,"6,853","6,752","6,577","6,467","6,453",795,506,295,93,59,25,24,64,68,45,20,15,19,All
Billy Ciancaglini,,7,0,64,64,41,47,46,35,25,129,112,107,111,107,15,9,7,8,2,1,All
Write-In,,,1,5,6,5,1,2,5,3,2,0,0,0,1,2,0,2,0,0,1,All
Isaiah Thomas,,,,15,"6,624","6,423","6,389","6,305",583,348,205,60,36,11,16,48,46,38,14,6,11,All
Derek S Green,,,,,4,"6,376","6,354","6,301",485,262,214,64,33,15,14,42,39,29,13,2,11,All
Helen Gym,,,,,,2,"6,194","6,236",455,252,188,48,20,7,11,34,34,29,10,5,5,All
Katherine Gilmore Richardson,,,,,,,3,"6,114",373,227,98,41,29,10,12,37,22,16,8,9,4,All
Allan Domb,,,,,,,,4,285,139,182,37,20,17,10,26,23,11,4,3,5,All
Kendra Brooks,,,,,,,,,4,549,112,23,21,7,4,54,43,36,18,11,6,All
Nicolas O'Rourke,,,,,,,,,,0,47,12,9,4,3,25,17,12,9,7,6,All
David Oh,,,,,,,,,,,7,143,118,114,114,17,14,13,12,2,2,All
Al Taubenberger,,,,,,,,,,,,0,123,110,109,4,6,1,4,0,2,All
Dan Tinney,,,,,,,,,,,,,0,106,108,5,5,3,0,0,3,All
Matt Wolfe,,,,,,,,,,,,,,1,110,4,2,1,0,0,0,All
Bill Heeney,,,,,,,,,,,,,,,0,4,2,2,1,0,1,All
Sherrie Cohen,,,,,,,,,,,,,,,,1,17,14,9,11,3,All
Maj Toure,,,,,,,,,,,,,,,,,2,8,7,6,0,All
Joe Cox,,,,,,,,,,,,,,,,,,0,13,7,1,All
Clarc King,,,,,,,,,,,,,,,,,,,0,3,0,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,1,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,486",222,8,"7,033","6,920","6,699","6,589","6,560",911,578,459,210,171,142,138,98,90,65,33,21,21,All
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Billy Ciancaglini,Write-In,Isaiah Thomas,Helen Gym,Derek S Green,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,David Oh,Al Taubenberger,Nicolas O'Rourke,Matt Wolfe,Bill Heeney,Dan Tinney,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Sherrie Cohen,Write-In,1
Jim Kenney,0,0,0,179,176,174,170,171,15,6,2,7,0,0,0,1,0,1,0,0,0,1
Billy Ciancaglini,,0,0,2,2,2,2,0,2,7,8,2,8,7,6,1,0,0,1,0,0,1
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Isaiah Thomas,,,,0,173,171,169,172,12,4,2,4,1,0,1,1,0,1,0,0,0,1
Helen Gym,,,,,0,170,166,167,10,4,1,5,0,0,0,0,1,1,0,0,0,1
Derek S Green,,,,,,0,165,166,8,3,0,3,0,0,0,1,0,0,0,0,0,1
Allan Domb,,,,,,,0,163,7,4,1,2,1,0,1,1,0,0,0,0,0,1
Katherine Gilmore Richardson,,,,,,,,0,8,1,0,2,0,0,0,1,0,1,0,0,0,1
Kendra Brooks,,,,,,,,,0,4,1,10,1,0,1,2,2,2,1,1,0,1
David Oh,,,,,,,,,,1,6,1,6,6,6,0,1,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,0,1,7,7,6,1,0,0,1,0,0,1
Nicolas O'Rourke,,,,,,,,,,,,0,0,0,0,1,1,0,1,0,0,1
Matt Wolfe,,,,,,,,,,,,,0,7,7,0,0,0,0,0,0,1
Bill Heeney,,,,,,,,,,,,,,0,6,0,0,0,0,0,0,1
Dan Tinney,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Maj Toure,,,,,,,,,,,,,,,,0,1,1,1,1,0,1
Joe Cox,,,,,,,,,,,,,,,,,0,1,0,1,0,1
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,1,0,1
Clarc King,,,,,,,,,,,,,,,,,,,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,1
Write-In,,,,,,,,,,,,,,,,,,,,,0,1
Total,192,13,0,183,180,177,173,172,20,15,10,10,9,7,7,3,2,2,1,1,0,1
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,2
,Jim Kenney,Billy Ciancaglini,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Dan Tinney,Maj Toure,Joe Cox,Bill Heeney,Matt Wolfe,Clarc King,Sherrie Cohen,Steve Cherniavsky,Write-In,2
Jim Kenney,4,0,0,276,266,243,244,244,40,24,18,6,5,8,6,2,1,2,1,1,0,2
Billy Ciancaglini,,0,0,3,2,1,2,0,3,2,4,3,4,0,0,4,3,0,1,0,0,2
Write-In,,,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Isaiah Thomas,,,,0,259,243,241,236,37,22,12,4,5,7,7,1,0,2,2,1,0,2
Derek S Green,,,,,0,236,242,234,27,14,14,5,4,5,6,2,1,1,1,0,0,2
Helen Gym,,,,,,0,223,229,21,9,9,2,1,6,3,0,0,1,0,0,0,2
Katherine Gilmore Richardson,,,,,,,0,221,19,11,4,5,5,1,1,2,0,1,0,0,0,2
Allan Domb,,,,,,,,0,14,7,9,1,0,4,0,1,1,0,0,0,0,2
Kendra Brooks,,,,,,,,,0,27,8,0,1,4,3,1,0,1,0,0,0,2
Nicolas O'Rourke,,,,,,,,,,0,2,0,0,0,1,1,0,1,0,1,0,2
David Oh,,,,,,,,,,,0,3,3,2,2,5,4,0,0,1,0,2
Al Taubenberger,,,,,,,,,,,,0,7,0,0,3,3,0,0,0,0,2
Dan Tinney,,,,,,,,,,,,,0,0,0,4,3,0,0,0,0,2
Maj Toure,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,2
Joe Cox,,,,,,,,,,,,,,,0,0,0,1,0,1,0,2
Bill Heeney,,,,,,,,,,,,,,,,0,3,0,0,0,0,2
Matt Wolfe,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Clarc King,,,,,,,,,,,,,,,,,,0,0,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,0,0,2
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,2
Write-In,,,,,,,,,,,,,,,,,,,,,0,2
Total,302,7,1,286,273,250,249,247,47,28,23,9,9,8,7,6,4,2,2,1,0,2
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,3
,Jim Kenney,Billy Ciancaglini,Write-In,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Helen Gym,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Bill Heeney,Dan Tinney,Matt Wolfe,Maj Toure,Clarc King,Joe Cox,Sherrie Cohen,Steve Cherniavsky,Write-In,3
Jim Kenney,2,0,0,234,227,227,213,212,41,32,6,5,3,2,2,2,1,2,1,0,0,3
Billy Ciancaglini,,1,0,2,2,2,2,1,2,2,9,8,7,7,7,1,1,0,0,0,0,3
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Isaiah Thomas,,,,0,226,217,206,207,25,21,7,6,3,1,2,1,1,1,1,0,0,3
Derek S Green,,,,,0,216,206,205,22,14,8,5,2,0,1,1,1,1,1,0,0,3
Katherine Gilmore Richardson,,,,,,0,200,202,24,16,3,3,2,0,1,1,1,1,1,0,0,3
Helen Gym,,,,,,,0,202,17,11,5,1,0,1,0,1,1,2,0,0,0,3
Allan Domb,,,,,,,,0,9,6,4,2,1,0,0,1,0,0,0,0,0,3
Kendra Brooks,,,,,,,,,0,34,3,0,0,1,0,1,1,1,0,0,0,3
Nicolas O'Rourke,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,3
David Oh,,,,,,,,,,,1,9,7,7,7,1,1,1,0,0,0,3
Al Taubenberger,,,,,,,,,,,,0,9,8,8,0,1,0,0,0,0,3
Bill Heeney,,,,,,,,,,,,,0,8,8,0,0,0,0,0,0,3
Dan Tinney,,,,,,,,,,,,,,0,8,0,0,0,0,0,0,3
Matt Wolfe,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3
Maj Toure,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,,0,1,0,0,0,3
