col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Sheriff,,Council At Large,,,,,,,,,,,,,,,,,,All
,Rochelle Bilal,Write-In,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,David Oh,Al Taubenberger,Nicolas O'Rourke,Dan Tinney,Bill Heeney,Matt Wolfe,Sherrie Cohen,Joe Cox,Maj Toure,Steve Cherniavsky,Clarc King,Write-In,All
Rochelle Bilal,890,0,"193,769","187,699","181,698","181,881","173,890","50,980","16,602","10,321","39,117","9,367","6,938","6,763","7,258","6,891","4,052","2,266","2,143",443,All
Write-In,,7,110,86,105,103,133,108,199,198,80,191,196,187,40,68,57,38,25,95,All
Helen Gym,,,436,"174,873","169,560","171,423","166,360","40,811","9,380","4,556","30,862","3,529","2,044","2,112","5,687","4,708","1,956","1,260",855,218,All
Isaiah Thomas,,,,760,"171,329","170,084","160,050","31,250","6,545","2,985","23,947","2,636","1,420","1,112","2,691","2,891","1,854",690,865,249,All
Derek S Green,,,,,404,"166,363","160,741","25,003","6,994","3,709","17,300","2,983","1,128","1,762","3,161","2,561","1,741",781,744,221,All
Katherine Gilmore Richardson,,,,,,314,"158,663","27,718","4,377","3,448","19,972","3,924","1,893","1,940","2,792","2,332","1,374",685,842,179,All
Allan Domb,,,,,,,"1,201","16,586","11,638","6,975","10,025","6,868","4,519","4,057","2,216","1,894","1,386","1,022",519,195,All
Kendra Brooks,,,,,,,,195,"4,131","1,278","44,255","1,842",647,828,"5,639","5,006","2,070","1,445","1,111",184,All
David Oh,,,,,,,,,"1,305","37,005","2,626","34,697","34,736","34,319","1,338","1,300","1,586",794,639,103,All
Al Taubenberger,,,,,,,,,,960,800,"36,734","35,517","34,224",819,663,"1,085",606,241,65,All
Nicolas O'Rourke,,,,,,,,,,,34,777,677,696,"3,399","3,496","1,161",968,787,141,All
Dan Tinney,,,,,,,,,,,,882,"35,538","34,285",546,629,889,539,262,43,All
Bill Heeney,,,,,,,,,,,,,"1,075","34,994",417,585,908,392,297,54,All
Matt Wolfe,,,,,,,,,,,,,,542,533,670,"1,089",521,327,41,All
Sherrie Cohen,,,,,,,,,,,,,,,108,"1,683",963,835,418,57,All
Joe Cox,,,,,,,,,,,,,,,,62,"1,172","1,106","1,662",63,All
Maj Toure,,,,,,,,,,,,,,,,,362,732,567,44,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,35,418,10,All
Clarc King,,,,,,,,,,,,,,,,,,,15,13,All
Write-In,,,,,,,,,,,,,,,,,,,,22,All
Total,"233,008",482,"205,579","196,650","189,742","189,734","186,581","60,243","53,690","47,494","46,553","46,206","43,189","41,283","9,114","8,878","6,176","3,480","2,958",745,All
