col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Council At Large,,,,,,,,,,,,,,All
,Helen Gym,Derek S Green,Allan Domb,Blondell Reynolds Brown,William K Greenlee,David Oh,Al Taubenberger,Dennis M O Brien,Daniel Tinney,Terry Tracy,Andrew C Stober,Kristin Combs,Sheila E Armstrong,John Staggs,All
Helen Gym,"4,387","120,148","118,758","116,341","117,206","7,808","5,318","5,537","4,414","6,406","11,240","7,853","2,655","1,649",All
Derek S Green,,"7,384","117,686","118,414","118,258","6,297","4,590","4,947","3,720","4,959","7,145","4,748","1,428",756,All
Allan Domb,,,"5,673","113,304","115,578","8,499","8,512","7,123","6,221","6,014","6,870","2,861","1,364",560,All
Blondell Reynolds Brown,,,,"8,384","117,779","6,786","3,659","3,315","2,525","2,473","4,889","4,372","1,455",753,All
William K Greenlee,,,,,"2,936","7,362","5,742","5,931","3,849","2,815","4,858","4,089","1,283",653,All
David Oh,,,,,,"2,110","18,865","20,213","17,688","16,604","1,513","1,299","1,081",378,All
Al Taubenberger,,,,,,,"2,176","21,248","20,723","18,322","1,638",937,784,212,All
Dennis M O Brien,,,,,,,,"2,326","20,577","17,309","1,247",832,640,176,All
Daniel Tinney,,,,,,,,,"2,470","18,173","1,036",661,563,180,All
Terry Tracy,,,,,,,,,,666,"3,703","1,028",731,182,All
Andrew C Stober,,,,,,,,,,,676,"5,366","2,357","1,658",All
Kristin Combs,,,,,,,,,,,,279,"3,132","2,055",All
Sheila E Armstrong,,,,,,,,,,,,,205,"1,399",All
John Staggs,,,,,,,,,,,,,,67,All
Total,"143,321","142,578","141,541","139,644","135,535","34,334","34,181","33,751","31,440","27,691","16,054","11,170","5,340","2,943",All
