col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Council At Large,,,,,,,,,,,,,,1
,Blondell Reynolds Brown,Allan Domb,Derek S Green,William K Greenlee,Helen Gym,Andrew C Stober,David Oh,Dennis M O Brien,Kristin Combs,Sheila E Armstrong,Al Taubenberger,Daniel Tinney,John Staggs,Terry Tracy,1
Blondell Reynolds Brown,7,91,91,92,87,0,2,0,0,0,0,0,0,0,1
Allan Domb,,3,89,91,85,2,1,0,0,0,0,0,0,0,1
Derek S Green,,,4,92,86,2,1,0,0,0,0,0,0,0,1
William K Greenlee,,,,0,87,3,2,1,1,1,0,0,0,0,1
Helen Gym,,,,,4,2,1,0,0,0,0,0,0,0,1
Andrew C Stober,,,,,,0,0,1,1,1,0,0,0,0,1
David Oh,,,,,,,0,0,0,0,0,0,0,0,1
Dennis M O Brien,,,,,,,,0,1,1,0,0,0,0,1
Kristin Combs,,,,,,,,,0,1,0,0,0,0,1
Sheila E Armstrong,,,,,,,,,,0,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,0,0,0,0,1
Daniel Tinney,,,,,,,,,,,,0,0,0,1
John Staggs,,,,,,,,,,,,,0,0,1
Terry Tracy,,,,,,,,,,,,,,0,1
Total,105,99,99,97,93,3,2,1,1,1,0,0,0,0,1
,Council At Large,,,,,,,,,,,,,,2
,Allan Domb,Blondell Reynolds Brown,Helen Gym,Derek S Green,William K Greenlee,David Oh,Dennis M O Brien,Daniel Tinney,Terry Tracy,Al Taubenberger,Kristin Combs,Andrew C Stober,Sheila E Armstrong,John Staggs,2
Allan Domb,8,123,123,117,114,13,9,1,2,4,6,4,2,0,2
Blondell Reynolds Brown,,12,115,113,112,13,7,1,2,2,4,1,2,0,2
Helen Gym,,,1,116,114,11,6,4,2,2,6,4,2,1,2
Derek S Green,,,,3,112,9,5,2,2,2,1,3,0,0,2
William K Greenlee,,,,,0,8,5,3,1,2,3,2,2,1,2
David Oh,,,,,,0,13,9,10,10,1,1,2,1,2
Dennis M O Brien,,,,,,,1,10,9,8,0,0,0,0,2
Daniel Tinney,,,,,,,,0,9,7,0,0,0,0,2
