col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Superior Court,,Council At Large,,,,,,,,,,,,,,All
,Alice Beck Dubow,Emil Giordano,Blondell Reynolds Brown,Derek S Green,William K Greenlee,Allan Domb,Helen Gym,David Oh,Terry Tracy,Kristin Combs,Dennis M O Brien,Daniel Tinney,Al Taubenberger,Andrew C Stober,Sheila E Armstrong,John Staggs,All
Alice Beck Dubow,30,0,798,797,759,740,742,30,7,20,3,3,2,14,12,10,All
Emil Giordano,,2,3,4,1,1,3,19,17,1,14,15,13,1,2,0,All
Blondell Reynolds Brown,,,31,761,755,733,731,27,4,12,5,3,2,6,7,5,All
Derek S Green,,,,16,743,737,729,23,6,13,4,2,2,8,8,4,All
William K Greenlee,,,,,4,724,717,21,4,10,3,3,0,7,6,3,All
Allan Domb,,,,,,12,704,16,6,8,2,1,0,4,4,3,All
Helen Gym,,,,,,,6,19,6,12,2,2,3,12,5,4,All
David Oh,,,,,,,,0,19,2,16,16,14,3,5,1,All
Terry Tracy,,,,,,,,,2,2,16,16,13,3,2,1,All
Kristin Combs,,,,,,,,,,0,0,1,0,9,6,8,All
Dennis M O Brien,,,,,,,,,,,1,15,13,0,0,0,All
Daniel Tinney,,,,,,,,,,,,0,12,1,1,1,All
Al Taubenberger,,,,,,,,,,,,,0,0,0,0,All
Andrew C Stober,,,,,,,,,,,,,,0,2,3,All
Sheila E Armstrong,,,,,,,,,,,,,,,1,3,All
John Staggs,,,,,,,,,,,,,,,,0,All
Total,935,25,873,853,795,784,775,55,29,23,21,19,16,16,16,11,All
,Judge Of The Superior Court,,Council At Large,,,,,,,,,,,,,,1
,Alice Beck Dubow,Emil Giordano,Blondell Reynolds Brown,Derek S Green,Helen Gym,Allan Domb,William K Greenlee,David Oh,Terry Tracy,Dennis M O Brien,Al Taubenberger,Daniel Tinney,Andrew C Stober,John Staggs,Kristin Combs,Sheila E Armstrong,1
Alice Beck Dubow,2,0,75,72,71,65,67,4,1,1,1,0,1,0,0,0,1
Emil Giordano,,0,0,0,0,1,0,6,6,6,4,5,0,0,0,0,1
Blondell Reynolds Brown,,,3,66,67,62,67,2,0,1,0,0,1,0,0,0,1
Derek S Green,,,,1,66,63,64,1,1,1,1,0,1,0,0,0,1
Helen Gym,,,,,0,62,66,3,1,1,1,0,2,0,0,0,1
Allan Domb,,,,,,0,61,2,2,1,0,1,0,0,0,0,1
William K Greenlee,,,,,,,0,2,0,1,0,0,1,0,0,0,1
David Oh,,,,,,,,0,7,6,5,5,0,0,0,0,1
Terry Tracy,,,,,,,,,0,6,5,5,0,0,0,0,1
Dennis M O Brien,,,,,,,,,,0,4,5,0,0,0,0,1
Al Taubenberger,,,,,,,,,,,0,4,0,0,0,0,1
Daniel Tinney,,,,,,,,,,,,0,0,0,0,0,1
Andrew C Stober,,,,,,,,,,,,,0,0,0,0,1
John Staggs,,,,,,,,,,,,,,0,0,0,1
Kristin Combs,,,,,,,,,,,,,,,0,0,1
Sheila E Armstrong,,,,,,,,,,,,,,,,0,1
Total,88,6,78,73,72,67,67,10,8,7,5,5,2,0,0,0,1
,Judge Of The Superior Court,,Council At Large,,,,,,,,,,,,,,2
,Alice Beck Dubow,Emil Giordano,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Derek S Green,Helen Gym,David Oh,Sheila E Armstrong,Terry Tracy,Al Taubenberger,Andrew C Stober,Daniel Tinney,Dennis M O Brien,John Staggs,Kristin Combs,2
Alice Beck Dubow,0,0,40,37,37,35,34,2,2,1,0,0,0,0,0,0,2
Emil Giordano,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Blondell Reynolds Brown,,,2,36,34,34,33,1,1,1,0,0,0,0,0,0,2
William K Greenlee,,,,0,34,33,32,0,1,0,0,0,0,0,0,0,2
Allan Domb,,,,,0,32,31,1,1,0,0,0,0,0,0,0,2
Derek S Green,,,,,,1,33,1,1,1,0,0,0,0,0,0,2
Helen Gym,,,,,,,1,1,1,1,0,0,0,0,0,0,2
David Oh,,,,,,,,0,1,1,0,0,0,0,0,0,2
Sheila E Armstrong,,,,,,,,,0,0,0,0,0,0,0,0,2
Terry Tracy,,,,,,,,,,0,0,0,0,0,0,0,2
Al Taubenberger,,,,,,,,,,,0,0,0,0,0,0,2
Andrew C Stober,,,,,,,,,,,,0,0,0,0,0,2
Daniel Tinney,,,,,,,,,,,,,0,0,0,0,2
Dennis M O Brien,,,,,,,,,,,,,,0,0,0,2
John Staggs,,,,,,,,,,,,,,,0,0,2
Kristin Combs,,,,,,,,,,,,,,,,0,2
Total,46,0,43,38,37,36,35,2,2,1,0,0,0,0,0,0,2
,Council At Large,,,,,,,,,,,,,,Judge Of The Superior Court,,3
