col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Judge Of The Municipal Court,,,Judge Of The Court Of Common Pleas,,,,,,,,,,,,,All
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Ken Powell,Mia Roberts Perez,Kai Scott,Tracy B Roman,Abbe Fletman,Lyris Younge,Stephanie M Sawyer,Michael Fanning,Chris Mallios,Daine Grey Jr,Rainy Papademetriou,Scott Diclaudio,Vincent Furlong,All
Christine Hope,"3,218","130,729","129,817","132,682","131,008","128,906","131,525","127,256","125,718","114,750","111,599","110,274","110,837","108,405","108,224","32,424",All
Sharon Williams Losier,,"1,027","130,591","130,545","128,260","127,350","128,236","125,515","124,449","112,140","108,545","108,208","109,188","107,168","106,050","12,836",All
Joffie C Pittman,,,710,"130,398","130,546","130,737","125,970","129,322","124,255","114,591","111,591","112,603","112,063","110,991","105,901","12,708",All
Ken Powell,,,,"1,998","132,532","132,905","129,959","131,448","127,090","115,556","114,150","113,677","113,455","111,561","107,983","12,782",All
Mia Roberts Perez,,,,,"1,250","133,677","130,128","131,733","127,381","116,853","112,467","113,539","114,190","112,589","107,246","12,086",All
Kai Scott,,,,,,726,"128,531","133,004","127,583","115,786","112,688","114,267","113,764","112,616","106,755","11,701",All
Tracy B Roman,,,,,,,919,"127,436","127,374","113,377","110,027","109,246","110,324","107,807","108,048","12,838",All
Abbe Fletman,,,,,,,,610,"126,068","114,539","112,234","114,187","112,598","112,353","106,637","11,568",All
Lyris Younge,,,,,,,,,537,"110,673","108,611","108,256","109,535","107,070","106,397","10,995",All
Stephanie M Sawyer,,,,,,,,,,339,"114,219","113,898","115,494","112,577","108,388","12,989",All
Michael Fanning,,,,,,,,,,,415,"112,888","112,843","110,716","108,201","12,773",All
Chris Mallios,,,,,,,,,,,,198,"112,317","112,205","107,923","12,002",All
Daine Grey Jr,,,,,,,,,,,,,161,"111,052","107,023","11,660",All
Rainy Papademetriou,,,,,,,,,,,,,,325,"105,548","10,059",All
Scott Diclaudio,,,,,,,,,,,,,,,331,"11,456",All
Vincent Furlong,,,,,,,,,,,,,,,,"1,929",All
Total,"173,196","145,709","144,222","152,041","146,975","144,696","142,533","141,199","134,584","125,951","120,884","120,789","120,181","118,709","113,585","36,377",All
