col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,District Attorney,,Judge Of The Court Of Common Pleas,,,,,,,,,All
,R Seth Williams,Daniel A Alvarez,Anne Marie Coyle,Giovanni Campbell,Timika Lane,Daniel D Mccaffery,Joe Fernandes,J Scott O Keefe,Sierra Thomas Street,Kenneth J Powell Jr,Stephen Miller Miller,All
R Seth Williams,5,0,53,53,52,50,49,48,43,6,6,All
Daniel A Alvarez,,0,6,5,3,4,3,4,3,5,2,All
Anne Marie Coyle,,,1,48,49,50,49,48,41,8,4,All
Giovanni Campbell,,,,0,49,50,48,47,41,6,7,All
Timika Lane,,,,,0,51,48,47,45,4,6,All
Daniel D Mccaffery,,,,,,0,51,48,44,6,6,All
Joe Fernandes,,,,,,,1,47,43,5,5,All
J Scott O Keefe,,,,,,,,0,41,6,5,All
Sierra Thomas Street,,,,,,,,,0,2,4,All
Kenneth J Powell Jr,,,,,,,,,,0,4,All
Stephen Miller Miller,,,,,,,,,,,0,All
Total,71,9,62,59,57,55,54,53,48,11,8,All
,District Attorney,,Judge Of The Court Of Common Pleas,,,,,,,,,6
,R Seth Williams,Daniel A Alvarez,Anne Marie Coyle,Giovanni Campbell,Timika Lane,Daniel D Mccaffery,Joe Fernandes,J Scott O Keefe,Sierra Thomas Street,Kenneth J Powell Jr,Stephen Miller Miller,6
R Seth Williams,5,0,53,53,52,50,49,48,43,6,6,6
Daniel A Alvarez,,0,6,5,3,4,3,4,3,5,2,6
Anne Marie Coyle,,,1,48,49,50,49,48,41,8,4,6
Giovanni Campbell,,,,0,49,50,48,47,41,6,7,6
Timika Lane,,,,,0,51,48,47,45,4,6,6
Daniel D Mccaffery,,,,,,0,51,48,44,6,6,6
Joe Fernandes,,,,,,,1,47,43,5,5,6
J Scott O Keefe,,,,,,,,0,41,6,5,6
Sierra Thomas Street,,,,,,,,,0,2,4,6
Kenneth J Powell Jr,,,,,,,,,,0,4,6
Stephen Miller Miller,,,,,,,,,,,0,6
Total,71,9,62,59,57,55,54,53,48,11,8,6
