col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Allyson Y Schwartz,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Louis J Farinella,Olivia E Brady,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,All
Allyson Y Schwartz,268,"1,199","1,012","1,014",620,607,613,587,586,581,All
Catherine G Scott,,19,"1,021","1,035",635,634,624,615,612,604,All
D Gregory Holt,,,17,"1,003",604,599,588,582,591,577,All
Kelly Lynn Devine,,,,8,620,615,602,588,597,591,All
Leslie S Richards,,,,,0,601,606,579,589,589,All
Louis J Farinella,,,,,,1,596,594,589,589,All
Olivia E Brady,,,,,,,0,580,586,590,All
Patrick J Eiding,,,,,,,,1,577,579,All
Vince Gillen,,,,,,,,,1,576,All
Caren Gansman Moskowitz,,,,,,,,,,0,All
Total,"1,638","1,320","1,120","1,120",667,655,655,635,633,626,All
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,3
,Allyson Y Schwartz,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Louis J Farinella,Olivia E Brady,Leslie S Richards,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,3
Allyson Y Schwartz,21,53,38,39,31,32,29,29,28,27,3
Catherine G Scott,,1,41,42,35,32,31,32,30,30,3
D Gregory Holt,,,1,41,28,29,27,27,29,28,3
Kelly Lynn Devine,,,,0,28,30,30,27,28,29,3
Louis J Farinella,,,,,0,30,29,31,29,29,3
Olivia E Brady,,,,,,0,30,28,31,30,3
Leslie S Richards,,,,,,,0,28,28,29,3
Patrick J Eiding,,,,,,,,0,28,28,3
Vince Gillen,,,,,,,,,0,29,3
Caren Gansman Moskowitz,,,,,,,,,,0,3
Total,79,60,45,45,35,35,32,32,31,30,3
,Representative In Congress 13th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,4
,Allyson Y Schwartz,Kelly Lynn Devine,Catherine G Scott,D Gregory Holt,Vince Gillen,Olivia E Brady,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,Leslie S Richards,4
Allyson Y Schwartz,8,28,27,27,15,14,13,13,12,12,4
Kelly Lynn Devine,,0,24,26,14,14,14,13,13,12,4
Catherine G Scott,,,0,24,14,14,13,12,12,11,4
D Gregory Holt,,,,0,15,14,14,13,13,13,4
Vince Gillen,,,,,0,15,14,13,13,13,4
