col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Kathryn Sylvia Huggins,Christine M Tartaglione,Thaddeus Kirkland,Sekela Coles,Deborah E Landau,All
Louise Bishop,"1,205",0,"2,562","2,384","2,218","2,162","2,134","1,696","1,670","1,616","1,575","1,576",All
Will Mega,,269,810,678,667,633,628,531,514,506,502,493,All
Anthony Hardy Williams,,,4,"2,798","2,754","2,643","2,627","2,035","2,040","1,989","1,955","1,944",All
Ted Kirsch,,,,5,"2,742","2,697","2,639","1,971","1,978","1,963","1,932","1,932",All
Ryan N Boyer,,,,,1,"2,645","2,616","1,958","1,922","1,940","1,921","1,911",All
Mindy M Posoff,,,,,,0,"2,605","1,912","1,909","1,884","1,867","1,873",All
Elizabeth A Washo,,,,,,,1,"1,906","1,904","1,879","1,855","1,872",All
Kathryn Sylvia Huggins,,,,,,,,0,"2,018","2,001","2,004","1,999",All
Christine M Tartaglione,,,,,,,,,0,"1,993","1,964","1,970",All
Thaddeus Kirkland,,,,,,,,,,1,"1,962","1,938",All
Sekela Coles,,,,,,,,,,,0,"1,955",All
Deborah E Landau,,,,,,,,,,,,0,All
Total,"4,247","1,212","3,400","3,092","2,909","2,816","2,784","2,245","2,205","2,142","2,096","2,089",All
