col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,All
,David J Freed,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Edward T Boyd,Robert C Barrilli,Steven J Gilber,Brandon Yates,All
David J Freed,25,137,119,75,60,39,31,24,20,All
William E Donnelly,,6,92,63,40,28,20,17,9,All
Michael J Mcmonagle,,,4,43,42,18,11,13,5,All
Thomas Jay Ellis,,,,2,14,9,11,5,7,All
Michael Anthony Salvi,,,,,2,7,7,0,3,All
Edward T Boyd,,,,,,4,8,9,9,All
Robert C Barrilli,,,,,,,1,4,5,All
Steven J Gilber,,,,,,,,0,6,All
Brandon Yates,,,,,,,,,1,All
Total,227,157,137,83,65,52,37,29,26,All
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,1
,David J Freed,Michael J Mcmonagle,Edward T Boyd,Robert C Barrilli,Thomas Jay Ellis,William E Donnelly,Brandon Yates,Michael Anthony Salvi,Steven J Gilber,1
David J Freed,1,2,1,1,1,1,0,0,0,1
Michael J Mcmonagle,,0,0,1,1,0,0,0,0,1
Edward T Boyd,,,0,0,0,1,0,0,0,1
Robert C Barrilli,,,,0,1,0,0,0,0,1
Thomas Jay Ellis,,,,,0,0,0,0,0,1
William E Donnelly,,,,,,0,0,0,0,1
Brandon Yates,,,,,,,0,0,0,1
Michael Anthony Salvi,,,,,,,,0,0,1
Steven J Gilber,,,,,,,,,0,1
Total,4,2,1,1,1,1,0,0,0,1
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,2
,David J Freed,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Brandon Yates,Edward T Boyd,Michael Anthony Salvi,Steven J Gilber,Robert C Barrilli,2
David J Freed,1,5,4,2,1,1,1,1,0,2
William E Donnelly,,0,5,3,1,1,1,1,0,2
Michael J Mcmonagle,,,0,3,0,1,0,1,0,2
Thomas Jay Ellis,,,,0,0,0,0,0,0,2
Brandon Yates,,,,,0,0,1,0,0,2
Edward T Boyd,,,,,,0,0,0,0,2
Michael Anthony Salvi,,,,,,,0,0,0,2
Steven J Gilber,,,,,,,,0,0,2
Robert C Barrilli,,,,,,,,,0,2
Total,6,6,5,3,1,1,1,1,0,2
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,3
,David J Freed,Michael Anthony Salvi,Edward T Boyd,Michael J Mcmonagle,William E Donnelly,Robert C Barrilli,Brandon Yates,Steven J Gilber,Thomas Jay Ellis,3
David J Freed,2,4,3,3,3,2,0,0,0,3
Michael Anthony Salvi,,0,2,3,1,2,0,0,0,3
Edward T Boyd,,,0,1,1,0,0,0,0,3
Michael J Mcmonagle,,,,0,0,2,0,0,0,3
William E Donnelly,,,,,0,0,0,0,0,3
Robert C Barrilli,,,,,,0,0,0,0,3
Brandon Yates,,,,,,,0,0,0,3
Steven J Gilber,,,,,,,,0,0,3
Thomas Jay Ellis,,,,,,,,,0,3
Total,9,4,3,3,3,2,0,0,0,3
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,4
,David J Freed,Michael J Mcmonagle,William E Donnelly,Steven J Gilber,Thomas Jay Ellis,Edward T Boyd,Michael Anthony Salvi,Robert C Barrilli,Brandon Yates,4
David J Freed,0,4,4,2,2,1,1,1,0,4
Michael J Mcmonagle,,0,3,2,1,0,1,1,0,4
William E Donnelly,,,0,2,2,1,0,0,0,4
Steven J Gilber,,,,0,0,0,0,0,0,4
Thomas Jay Ellis,,,,,0,1,0,0,0,4
Edward T Boyd,,,,,,0,0,0,0,4
Michael Anthony Salvi,,,,,,,0,1,0,4
Robert C Barrilli,,,,,,,,0,0,4
Brandon Yates,,,,,,,,,0,4
Total,5,4,4,2,2,1,1,1,0,4
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,5
,David J Freed,Michael Anthony Salvi,Michael J Mcmonagle,William E Donnelly,Brandon Yates,Edward T Boyd,Robert C Barrilli,Steven J Gilber,Thomas Jay Ellis,5
David J Freed,1,2,2,2,0,0,0,0,0,5
Michael Anthony Salvi,,1,2,2,0,0,0,0,0,5
Michael J Mcmonagle,,,1,2,0,0,0,0,0,5
William E Donnelly,,,,1,0,0,0,0,0,5
Brandon Yates,,,,,1,0,0,0,0,5
Edward T Boyd,,,,,,0,0,0,0,5
Robert C Barrilli,,,,,,,0,0,0,5
Steven J Gilber,,,,,,,,0,0,5
Thomas Jay Ellis,,,,,,,,,0,5
Total,3,3,3,3,1,0,0,0,0,5
,Attorney General - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,6
,David J Freed,Michael J Mcmonagle,William E Donnelly,Michael Anthony Salvi,Robert C Barrilli,Thomas Jay Ellis,Brandon Yates,Edward T Boyd,Steven J Gilber,6
