col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Delegate To The Republican National Convention 13th District,,,,,,,,All
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Robert C Barrilli,Edward T Boyd,Steven J Gilber,Brandon Yates,All
William E Donnelly,84,232,168,96,74,36,17,21,All
Michael J Mcmonagle,,65,130,114,49,30,27,21,All
Thomas Jay Ellis,,,23,46,34,18,21,10,All
Michael Anthony Salvi,,,,34,53,14,14,16,All
Robert C Barrilli,,,,,13,21,11,25,All
Edward T Boyd,,,,,,11,21,13,All
Steven J Gilber,,,,,,,5,21,All
Brandon Yates,,,,,,,,4,All
Total,426,385,242,221,154,91,73,69,All
,Delegate To The Republican National Convention 13th District,,,,,,,,1
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Robert C Barrilli,Steven J Gilber,Brandon Yates,Edward T Boyd,1
William E Donnelly,5,15,11,7,3,3,3,1,1
Michael J Mcmonagle,,3,7,6,3,2,2,0,1
Thomas Jay Ellis,,,1,3,3,3,1,0,1
Michael Anthony Salvi,,,,1,3,1,0,1,1
Robert C Barrilli,,,,,0,1,0,1,1
Steven J Gilber,,,,,,0,2,0,1
Brandon Yates,,,,,,,1,0,1
Edward T Boyd,,,,,,,,0,1
Total,28,21,15,12,8,6,5,2,1
,Delegate To The Republican National Convention 13th District,,,,,,,,2
,William E Donnelly,Michael J Mcmonagle,Michael Anthony Salvi,Thomas Jay Ellis,Robert C Barrilli,Brandon Yates,Edward T Boyd,Steven J Gilber,2
William E Donnelly,9,11,6,5,1,1,1,0,2
Michael J Mcmonagle,,3,9,7,1,2,0,1,2
Michael Anthony Salvi,,,1,2,0,1,0,0,2
Thomas Jay Ellis,,,,1,0,0,1,1,2
Robert C Barrilli,,,,,2,2,0,0,2
Brandon Yates,,,,,,0,0,0,2
Edward T Boyd,,,,,,,0,0,2
Steven J Gilber,,,,,,,,0,2
Total,22,19,10,9,4,3,1,1,2
,Delegate To The Republican National Convention 13th District,,,,,,,,3
,William E Donnelly,Michael J Mcmonagle,Michael Anthony Salvi,Thomas Jay Ellis,Robert C Barrilli,Steven J Gilber,Edward T Boyd,Brandon Yates,3
William E Donnelly,4,12,4,8,2,2,0,0,3
Michael J Mcmonagle,,2,6,9,1,2,0,0,3
Michael Anthony Salvi,,,5,2,4,1,1,0,3
Thomas Jay Ellis,,,,1,1,1,0,0,3
Robert C Barrilli,,,,,1,1,1,1,3
Steven J Gilber,,,,,,0,0,1,3
Edward T Boyd,,,,,,,1,0,3
Brandon Yates,,,,,,,,0,3
Total,19,18,14,12,7,4,2,1,3
,Delegate To The Republican National Convention 13th District,,,,,,,,4
,William E Donnelly,Michael Anthony Salvi,Edward T Boyd,Michael J Mcmonagle,Thomas Jay Ellis,Robert C Barrilli,Steven J Gilber,Brandon Yates,4
William E Donnelly,3,4,2,3,4,1,0,1,4
Michael Anthony Salvi,,1,1,1,1,3,1,2,4
Edward T Boyd,,,2,0,3,1,3,0,4
Michael J Mcmonagle,,,,3,1,0,0,0,4
Thomas Jay Ellis,,,,,1,0,1,0,4
Robert C Barrilli,,,,,,0,1,1,4
Steven J Gilber,,,,,,,0,0,4
Brandon Yates,,,,,,,,0,4
Total,11,8,7,6,6,4,3,2,4
,Delegate To The Republican National Convention 13th District,,,,,,,,5
