col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,State Treasurer - Republican,Delegate To The Republican National Convention 1st District,,,,,,All
,Diana Irey Vaughan,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Christopher M Vogler,Dale Kerns,Tom Boggia,All
Diana Irey Vaughan,0,4,5,4,3,3,2,All
Frederick W Anton,,1,1,3,0,2,0,All
Marion S Taxin,,,0,2,3,0,2,All
Michael W Untermeyer,,,,0,1,2,0,All
Christopher M Vogler,,,,,0,0,2,All
Dale Kerns,,,,,,0,0,All
Tom Boggia,,,,,,,1,All
Total,9,5,5,4,3,3,3,All
,State Treasurer - Republican,Delegate To The Republican National Convention 1st District,,,,,,12
,Diana Irey Vaughan,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Christopher M Vogler,Dale Kerns,Tom Boggia,12
Diana Irey Vaughan,0,4,5,4,3,3,2,12
Frederick W Anton,,1,1,3,0,2,0,12
Marion S Taxin,,,0,2,3,0,2,12
Michael W Untermeyer,,,,0,1,2,0,12
Christopher M Vogler,,,,,0,0,2,12
Dale Kerns,,,,,,0,0,12
Tom Boggia,,,,,,,1,12
Total,9,5,5,4,3,3,3,12
