col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Tracy B Roman,Lyris Younge,Ken Powell,Scott Diclaudio,Daine Grey Jr,Kai Scott,Leon Goodman,Frances Fattah,Jon Marshall,Stephanie M Sawyer,Mia Roberts Perez,Abbe Fletman,Jennifer Schultz,Edward William Louden Jr,Sandjai Weaver,Thomas Martin,Lynne M Summers,Michael Fanning,Leon A King Ii,Lucretia Clemons,Chris Mallios,Deborah Watson Stokes,Vincent N Melchiorre,Vincent Furlong,Rainy Papademetriou,Wayne M D Bennett,Brian T Ortelere,Shanese Johnson,Sherman Toppin,James F Berardinelli,Rania Major,Betsy Wahl,Anthony Kyriakakis,Stella Tsai,Marissa Brumbach,Jodi Lobel,Vince Giusini,Joshua Hill,Franklin A Bennett Iii,Chris Mccabe,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,All
Kevin M Dougherty,101,270,206,308,79,52,299,256,263,220,245,227,147,183,145,192,183,173,165,98,130,130,134,139,116,104,109,106,106,108,108,90,99,102,90,88,86,78,75,70,68,55,46,51,43,36,37,32,31,All
David Wecht,,24,150,146,31,26,290,273,291,281,162,133,159,83,141,119,121,133,81,135,69,61,52,94,57,43,92,40,88,52,44,55,50,58,40,50,42,44,33,40,23,21,33,26,21,23,15,18,14,All
Christine Donohue,,,18,128,28,21,212,179,181,158,105,88,152,99,150,82,78,70,100,121,47,68,76,45,62,40,41,61,32,47,47,46,51,56,43,40,36,47,38,47,41,21,26,26,21,15,21,19,22,All
Anne E Lazarus,,,,19,42,39,170,175,128,116,127,135,90,155,67,125,104,93,120,54,92,83,99,57,89,87,54,86,49,70,57,65,49,79,59,50,66,71,49,62,42,43,42,39,36,29,24,22,27,All
Dwayne D Woodruff,,,,,5,9,33,36,39,20,44,45,34,36,27,33,35,20,32,26,30,30,33,13,42,17,11,25,9,18,15,15,15,28,28,13,15,20,22,12,9,7,9,8,11,7,4,4,6,All
John Henry Foradora,,,,,,4,32,28,32,23,43,21,27,15,22,22,16,33,36,18,13,13,18,7,23,16,11,19,10,30,27,13,25,17,14,28,10,13,10,12,9,9,8,8,6,5,4,7,6,All
Tracy B Roman,,,,,,,8,315,299,293,195,165,166,94,147,156,144,158,113,136,75,80,82,111,69,56,108,65,100,52,69,62,64,66,48,49,46,49,33,38,33,19,37,22,26,8,20,15,16,All
Lyris Younge,,,,,,,,8,294,273,185,186,143,101,139,158,139,147,95,130,68,59,68,111,56,62,113,53,105,40,53,47,49,54,43,43,39,36,26,23,19,20,24,12,29,14,18,13,14,All
Ken Powell,,,,,,,,,5,278,180,151,167,81,163,126,135,144,84,141,53,67,56,109,62,36,103,37,105,52,48,46,66,41,42,53,41,30,33,29,17,17,25,27,26,9,13,12,10,All
Scott Diclaudio,,,,,,,,,,8,165,131,142,59,140,112,116,134,74,132,50,47,40,102,47,30,112,27,96,43,51,42,57,28,33,56,19,18,22,28,12,14,24,21,13,9,10,14,6,All
Daine Grey Jr,,,,,,,,,,,2,151,82,70,75,154,124,169,83,55,49,60,55,104,68,42,106,46,94,58,73,52,66,40,40,60,45,29,30,28,19,17,22,26,19,8,13,13,13,All
Kai Scott,,,,,,,,,,,,3,44,90,38,175,162,135,56,24,75,50,64,116,59,45,119,65,110,35,35,37,18,59,45,11,44,43,25,29,27,22,14,18,17,18,16,10,20,All
Leon Goodman,,,,,,,,,,,,,5,60,150,36,35,42,69,121,36,55,54,17,55,31,14,34,12,50,43,43,51,37,35,49,24,19,23,22,21,10,20,19,18,7,11,14,10,All
Frances Fattah,,,,,,,,,,,,,,7,43,77,71,38,68,32,55,69,86,36,78,38,19,74,21,54,27,49,28,61,43,26,38,44,22,47,30,19,16,29,28,13,25,19,20,All
Jon Marshall,,,,,,,,,,,,,,,10,32,25,37,60,125,20,53,39,33,43,36,17,21,14,40,56,37,50,17,29,41,21,14,37,20,27,22,16,13,11,8,7,12,7,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,1,134,111,47,17,47,44,61,103,63,36,108,70,98,28,17,43,13,40,26,7,33,46,26,28,28,20,10,16,19,11,17,17,18,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,0,113,47,20,48,42,51,106,49,42,104,54,97,34,26,29,26,35,40,15,34,36,20,45,25,16,15,22,10,13,17,12,19,All
Abbe Fletman,,,,,,,,,,,,,,,,,,0,75,36,37,32,28,96,30,22,103,22,97,42,52,21,53,24,30,45,26,25,15,26,11,10,21,11,10,8,3,10,6,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,1,61,39,47,71,20,49,39,16,39,10,66,63,45,72,39,38,70,31,43,23,33,33,15,24,15,16,6,15,15,16,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,3,21,30,28,11,28,14,9,19,3,28,38,30,49,23,19,47,14,13,19,10,5,8,20,13,9,5,4,8,7,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,21,37,41,22,39,43,22,39,22,23,18,28,15,45,25,18,26,25,17,25,16,23,9,14,16,13,10,6,11,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,4,47,40,37,48,15,34,16,40,40,44,31,39,39,19,28,23,29,18,29,20,24,20,18,6,12,11,15,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,1,24,49,46,13,60,14,47,26,37,18,55,30,15,43,36,20,26,27,25,14,21,21,9,18,16,15,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,0,26,30,100,20,101,18,33,14,22,15,24,11,16,9,22,12,21,15,8,11,15,8,7,9,7,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,1,36,22,45,14,44,19,62,31,36,47,29,34,32,35,26,15,13,19,19,25,7,13,8,12,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,37,15,14,30,20,10,32,22,9,33,28,25,25,38,31,11,19,15,8,9,7,9,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,99,9,14,7,12,12,18,7,11,15,7,14,6,4,8,5,7,9,5,5,10,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,27,16,23,8,36,31,13,25,32,14,27,30,17,6,14,20,14,17,13,20,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,13,8,10,12,7,10,13,9,9,16,7,6,8,9,3,4,4,10,3,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,36,37,31,20,40,26,17,14,20,16,11,11,17,15,5,15,14,8,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,66,19,21,52,15,13,32,19,20,17,11,10,5,6,8,8,6,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,26,29,20,29,16,26,14,10,8,26,13,16,5,7,10,10,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,29,60,23,16,14,16,4,6,19,14,12,2,7,0,7,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,15,29,32,14,34,24,12,17,13,19,10,14,7,18,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,21,23,18,21,7,10,14,14,12,9,9,4,10,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,9,12,16,9,3,18,10,14,1,8,6,2,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,14,24,15,14,10,21,17,5,9,6,13,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,26,25,17,17,11,8,13,12,7,14,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,26,28,18,16,9,8,5,6,5,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,16,13,15,12,7,7,7,12,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,6,9,6,7,10,5,12,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,5,13,3,3,2,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,5,4,6,4,4,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,3,8,8,6,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,5,6,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,6,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,6,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,894,578,454,443,117,90,520,498,478,440,345,312,290,286,285,268,244,240,234,222,209,184,182,177,173,155,154,145,144,141,140,136,135,133,121,115,106,103,100,93,80,72,69,65,59,52,46,44,43,All
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Lyris Younge,Tracy B Roman,Scott Diclaudio,Ken Powell,Kai Scott,Daine Grey Jr,Stephanie M Sawyer,Jon Marshall,Mia Roberts Perez,Abbe Fletman,Chris Mallios,Michael Fanning,Leon Goodman,Edward William Louden Jr,Frances Fattah,Jennifer Schultz,Vincent N Melchiorre,Leon A King Ii,Lynne M Summers,Sherman Toppin,Betsy Wahl,Chris Mccabe,Deborah Watson Stokes,Lucretia Clemons,Wayne M D Bennett,Shanese Johnson,Thomas Martin,Vince Giusini,Anthony Kyriakakis,Brian T Ortelere,Franklin A Bennett Iii,Rania Major,Sandjai Weaver,James F Berardinelli,Jodi Lobel,Joshua Hill,Rainy Papademetriou,Stella Tsai,Vincent Furlong,Marissa Brumbach,Starr Marshall Cash,William J Ciancaglini,Tangie M Boston,1
Kevin M Dougherty,10,22,14,9,5,5,18,18,17,17,15,14,10,7,11,12,10,9,5,8,7,11,8,5,7,9,6,4,5,6,3,3,3,5,4,4,2,3,3,3,3,2,1,3,3,3,2,1,1,1
David Wecht,,0,12,4,3,3,24,24,21,20,15,14,13,8,11,13,13,11,8,10,6,6,9,4,1,5,3,4,3,3,2,3,1,3,2,0,1,0,1,3,0,2,1,1,2,2,2,1,0,1
Christine Donohue,,,0,4,1,1,14,11,13,11,7,7,6,12,6,5,5,6,8,7,6,6,3,3,5,5,3,2,1,1,1,2,3,3,3,4,2,4,0,1,1,1,1,1,1,1,2,3,1,1
Anne E Lazarus,,,,0,3,4,8,6,3,6,6,1,5,1,6,4,3,3,2,2,5,5,2,4,7,5,4,1,5,5,0,2,1,2,2,3,2,2,4,2,3,2,2,3,0,0,1,0,1,1
Dwayne D Woodruff,,,,,1,1,5,3,2,3,2,3,1,2,1,3,0,0,4,1,3,2,2,2,1,1,1,0,1,0,0,2,2,1,0,0,2,0,2,1,0,1,2,0,1,0,0,0,0,1
John Henry Foradora,,,,,,0,3,3,3,2,5,1,2,1,1,1,0,0,1,2,3,3,0,3,4,1,2,0,4,4,1,2,2,1,0,1,0,1,2,1,2,2,0,1,2,3,2,0,0,1
Lyris Younge,,,,,,,2,22,19,19,19,13,15,7,12,14,13,11,10,8,8,6,10,7,4,7,3,3,5,5,3,4,4,1,2,1,5,2,4,2,2,1,4,1,1,1,2,2,0,1
Tracy B Roman,,,,,,,,0,21,18,13,9,11,8,12,11,11,9,5,9,6,9,8,2,4,4,2,1,2,4,2,2,3,2,2,1,1,1,1,2,1,0,3,2,2,2,1,1,1,1
Scott Diclaudio,,,,,,,,,0,16,11,10,8,10,9,10,9,8,8,8,4,7,8,2,4,3,2,2,2,4,1,2,4,3,1,1,1,2,1,2,1,1,2,1,2,2,1,2,0,1
Ken Powell,,,,,,,,,,0,11,10,9,9,9,10,8,8,7,8,5,6,8,5,3,4,0,1,3,3,2,3,0,2,3,2,3,2,2,3,4,0,1,3,2,0,0,1,0,1
Kai Scott,,,,,,,,,,,0,10,13,3,12,10,11,11,4,2,8,3,10,6,4,5,3,2,6,3,1,2,3,0,0,1,2,2,4,1,2,2,2,2,2,2,3,2,0,1
Daine Grey Jr,,,,,,,,,,,,0,9,5,9,11,10,8,5,3,4,3,8,2,1,3,2,1,2,2,1,2,2,1,0,0,1,1,0,0,0,2,2,0,2,1,1,3,0,1
Stephanie M Sawyer,,,,,,,,,,,,,0,1,13,7,15,12,1,2,5,1,10,5,4,4,2,1,3,1,2,4,0,0,1,1,2,0,2,0,1,1,1,1,0,0,2,1,1,1
Jon Marshall,,,,,,,,,,,,,,1,3,2,1,2,7,6,3,4,1,2,2,2,1,2,1,1,2,2,1,2,1,1,0,1,0,1,2,1,2,2,2,0,0,2,0,1
Mia Roberts Perez,,,,,,,,,,,,,,,0,8,13,12,1,1,4,3,10,2,2,4,2,1,3,2,2,0,0,1,1,2,1,2,1,1,2,0,1,4,1,0,1,1,1,1
Abbe Fletman,,,,,,,,,,,,,,,,0,8,7,4,4,3,5,7,2,0,3,2,1,0,2,1,0,3,3,1,1,1,2,1,2,0,0,2,1,1,1,0,1,0,1
Chris Mallios,,,,,,,,,,,,,,,,,0,12,0,2,3,0,10,2,1,3,0,1,1,1,2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1
Michael Fanning,,,,,,,,,,,,,,,,,,0,0,1,4,2,9,0,1,3,1,1,1,1,1,0,0,2,3,2,1,2,0,1,1,0,1,2,0,0,1,1,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,0,6,4,2,2,5,1,2,2,0,2,1,0,2,2,2,0,0,3,1,1,2,0,2,1,0,2,1,0,1,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,0,4,5,0,4,1,1,2,0,1,2,2,2,1,2,2,2,1,1,0,1,0,1,1,1,2,2,0,1,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,0,3,2,6,2,1,3,0,3,1,2,4,3,2,3,2,4,3,3,2,0,2,2,2,2,2,2,3,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,0,0,1,5,3,3,1,2,4,1,1,2,2,2,3,1,3,0,1,2,0,2,2,2,2,1,1,1,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,0,4,2,2,4,1,0,1,2,4,2,3,1,2,2,0,1,2,1,1,1,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,4,4,0,3,2,1,1,3,1,2,2,0,3,2,1,1,1,1,2,0,1,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,3,0,2,1,1,1,1,1,1,1,0,2,1,0,1,0,0,1,0,1,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,2,0,2,1,3,1,1,0,1,1,0,0,3,1,1,1,1,1,0,1,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,2,0,0,0,0,1,0,3,1,2,2,1,1,1,1,2,0,0,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,0,0,0,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,0,2,0,1,2,0,0,0,0,1,1,0,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,2,1,1,0,1,1,0,1,2,1,1,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,1,0,3,0,1,0,1,0,1,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,0,0,1,0,0,0,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,0,0,2,0,0,2,2,1,1,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,0,0,0,0,0,0,1,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,2,2,1,1,1,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,1,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,0,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,54,41,27,15,9,7,39,31,30,27,23,19,19,18,18,17,17,15,14,13,13,12,12,10,9,9,8,8,7,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,1,1
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,David Wecht,Kevin M Dougherty,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Ken Powell,Scott Diclaudio,Lyris Younge,Tracy B Roman,Leon Goodman,Edward William Louden Jr,Jon Marshall,Kai Scott,Stephanie M Sawyer,Daine Grey Jr,Abbe Fletman,Mia Roberts Perez,Michael Fanning,Vincent N Melchiorre,Chris Mallios,Shanese Johnson,Thomas Martin,Deborah Watson Stokes,Frances Fattah,Lynne M Summers,Wayne M D Bennett,Jennifer Schultz,Leon A King Ii,Sandjai Weaver,Rania Major,Sherman Toppin,Vincent Furlong,Brian T Ortelere,Lucretia Clemons,Stella Tsai,Chris Mccabe,James F Berardinelli,Rainy Papademetriou,Anthony Kyriakakis,Betsy Wahl,Jodi Lobel,Marissa Brumbach,Starr Marshall Cash,Vince Giusini,Franklin A Bennett Iii,Joshua Hill,Tangie M Boston,William J Ciancaglini,2
David Wecht,1,20,27,8,2,1,41,38,40,37,23,22,22,17,13,16,15,13,13,14,13,4,5,3,0,2,2,2,2,4,4,3,1,3,3,2,1,1,2,2,0,0,0,1,1,0,1,0,1,2
Kevin M Dougherty,,3,10,13,3,2,20,20,20,19,4,5,5,18,15,15,14,14,13,11,11,8,6,8,5,8,5,6,5,6,6,5,5,5,4,3,2,4,3,1,2,1,1,1,1,1,0,1,0,2
Christine Donohue,,,0,6,0,2,26,27,29,26,24,23,23,7,5,5,4,5,4,3,3,4,2,3,4,2,4,1,1,2,1,2,2,1,0,2,3,1,1,2,1,1,2,1,2,0,1,0,0,2
Anne E Lazarus,,,,0,1,1,7,6,7,8,2,1,3,9,7,5,6,6,2,3,3,6,4,4,4,3,4,3,4,4,3,2,2,0,4,2,2,0,1,2,1,0,1,1,1,0,1,0,0,2
Dwayne D Woodruff,,,,,1,0,2,0,2,0,1,0,1,2,2,2,1,2,0,1,1,1,3,1,1,2,1,2,0,0,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2
John Henry Foradora,,,,,,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,3,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,2
Ken Powell,,,,,,,0,40,40,38,22,23,23,15,13,13,14,12,12,13,12,2,3,3,1,2,2,2,4,4,4,4,0,4,4,1,1,2,1,2,1,0,0,1,2,0,0,0,1,2
Scott Diclaudio,,,,,,,,0,38,37,22,24,24,14,11,12,12,10,13,13,11,4,4,1,2,3,5,1,4,5,2,2,3,2,3,2,0,3,1,1,0,0,1,0,2,1,0,0,1,2
Lyris Younge,,,,,,,,,0,39,24,24,25,16,14,15,13,13,13,13,12,6,3,6,2,4,3,2,3,4,5,4,2,3,3,1,3,1,1,2,1,1,1,2,2,0,0,0,1,2
Tracy B Roman,,,,,,,,,,0,21,21,21,14,11,12,14,10,12,13,11,4,2,3,2,3,2,3,2,3,4,2,1,2,2,2,1,1,0,1,1,1,1,0,2,0,0,0,1,2
Leon Goodman,,,,,,,,,,,1,20,20,3,2,3,2,3,1,1,2,1,2,1,0,0,1,0,2,2,0,1,0,2,1,0,0,1,1,2,0,0,0,0,2,0,0,0,0,2
Edward William Louden Jr,,,,,,,,,,,,0,24,0,1,1,1,0,3,0,0,1,2,3,1,2,2,0,2,1,1,1,2,2,1,1,2,2,1,0,0,0,0,1,1,1,0,0,0,2
Jon Marshall,,,,,,,,,,,,,0,1,2,3,1,0,2,1,0,2,3,2,2,2,4,1,3,2,2,3,3,2,1,1,1,1,1,1,0,0,1,1,2,1,0,0,0,2
Kai Scott,,,,,,,,,,,,,,0,16,15,14,15,12,13,13,5,3,4,4,3,3,1,2,3,3,2,2,1,2,3,2,0,2,2,1,0,1,1,0,0,1,0,1,2
Stephanie M Sawyer,,,,,,,,,,,,,,,0,13,11,11,10,10,10,4,3,6,4,3,1,2,3,3,1,2,1,1,3,2,2,0,1,1,2,1,2,2,0,0,0,1,1,2
Daine Grey Jr,,,,,,,,,,,,,,,,0,15,13,11,11,10,4,3,3,2,2,2,2,2,3,3,3,3,3,3,2,1,1,2,1,0,0,1,1,0,0,0,0,1,2
Abbe Fletman,,,,,,,,,,,,,,,,,0,12,11,11,10,2,0,1,1,1,1,2,1,2,2,1,1,3,2,3,0,1,3,2,0,0,0,0,0,0,1,0,1,2
Mia Roberts Perez,,,,,,,,,,,,,,,,,,0,9,8,9,3,3,4,3,3,3,2,2,3,3,3,1,2,3,2,2,1,2,2,1,0,0,1,0,0,1,0,1,2
Michael Fanning,,,,,,,,,,,,,,,,,,,0,11,10,2,1,3,1,2,2,0,1,1,2,2,2,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,2
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,0,11,2,1,0,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Chris Mallios,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,5,4,2,1,4,3,1,4,0,2,1,1,1,0,0,1,1,2,0,0,0,0,0,0,2
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,0,3,2,3,4,4,2,4,2,3,3,2,2,0,0,3,0,0,1,0,1,0,1,0,0,0,0,2
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,2,2,2,1,3,3,2,1,2,1,3,1,0,0,2,1,1,2,0,0,0,1,0,2
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,2,1,1,2,1,3,0,0,3,1,0,1,0,2,2,2,0,0,1,0,0,0,2
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,1,1,4,2,4,0,1,2,1,1,1,0,2,1,1,0,0,1,0,0,0,2
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,2,2,3,5,1,1,2,1,2,2,2,0,0,1,0,1,1,1,0,0,2
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,3,2,2,1,1,0,2,1,0,2,1,1,0,0,0,0,0,0,2
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,1,1,4,2,1,1,1,1,0,0,0,1,1,1,0,0,0,2
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,2,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,2
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,2,2,0,0,0,1,0,0,1,0,0,0,2
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,2
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,1,1,1,0,0,1,1,0,0,2
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,0,2
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,2
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,1,1,0,0,2
