col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Register Of Wills - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Ronald R Donatucci,Derek S Green,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Helen Gym,Isaiah Thomas,W Wilson Goode Jr,Sherrie Cohen,Ed Neilson,Paul Steinke,Jenne Ayers,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,All
Ronald R Donatucci,"6,714","50,860","45,606","38,529","35,702","32,615","32,064","33,662","34,035","25,635","24,969","26,592","21,191","20,350","15,973","13,276","8,422",All
Derek S Green,,"3,909","22,987","17,391","18,511","11,548","20,049","14,751","11,371","13,042","10,547","12,562","12,389","5,720","10,395","5,356","3,120",All
Blondell Reynolds Brown,,,"2,065","14,695","25,554","15,329","20,600","27,570","19,167","16,564","8,386","8,004","5,871","6,713","4,394","4,881","3,292",All
Allan Domb,,,,"4,317","14,167","14,066","11,964","10,184","12,337","10,648","15,132","8,246","11,839","9,953","4,685","5,746","3,101",All
William K Greenlee,,,,,756,"12,142","14,004","16,867","17,362","21,724","8,645","3,958","4,818","6,533","2,083","2,105","3,162",All
Helen Gym,,,,,,"2,604","11,973","11,700","19,277","6,223","17,175","7,747","9,411","5,054","2,142","4,895","3,205",All
Isaiah Thomas,,,,,,,"2,367","17,769","9,817","9,958","9,832","5,627","8,422","4,475","2,923","2,841","1,379",All
W Wilson Goode Jr,,,,,,,,"1,172","13,880","11,092","6,093","5,323","4,532","6,574","3,028","2,756","1,316",All
Sherrie Cohen,,,,,,,,,635,"10,226","11,735","8,050","6,602","6,482","2,699","5,825","2,903",All
Ed Neilson,,,,,,,,,,"3,399","5,091","2,374","3,599","5,212","1,488","1,488","2,580",All
Paul Steinke,,,,,,,,,,,746,"4,533","12,740","5,139","2,137","2,390","2,056",All
Jenne Ayers,,,,,,,,,,,,"1,590","5,570","3,871","7,356","6,552","3,161",All
Thomas Wyatt,,,,,,,,,,,,,891,"3,868","4,296","3,880","1,755",All
Frank Rizzo,,,,,,,,,,,,,,"1,078","1,886","2,584","2,016",All
Wilson Alexander,,,,,,,,,,,,,,,"1,006","2,348","1,012",All
Carla M Cain,,,,,,,,,,,,,,,,515,"2,630",All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,251,All
Total,"133,022","67,939","62,105","56,882","50,197","48,463","47,370","45,755","45,152","40,309","36,468","32,305","29,947","25,656","19,040","16,888","10,726",All
