col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
Robert Colville,,0,0,1,2,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14
Jon Marshall,,,1,2,2,1,3,2,2,2,3,2,1,0,1,2,0,1,1,1,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
Jennifer Schultz,,,,0,3,4,4,2,3,4,2,3,3,3,2,2,2,3,2,1,2,1,1,1,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,14
Betsy Wahl,,,,,0,3,4,4,2,2,2,2,1,2,2,3,1,2,1,1,1,2,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,14
Tracy B Roman,,,,,,0,3,2,1,2,1,1,1,2,1,2,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14
Vince Giusini,,,,,,,0,3,2,3,3,2,2,2,2,3,1,2,1,1,1,2,0,1,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,14
Chris Mccabe,,,,,,,,0,2,1,2,2,1,1,1,2,1,2,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14
Jodi Lobel,,,,,,,,,0,3,1,4,2,1,2,1,1,2,3,0,1,0,0,0,2,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,14
Lynne M Summers,,,,,,,,,,0,1,3,2,2,2,2,1,2,2,0,1,1,0,1,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,14
Mia Roberts Perez,,,,,,,,,,,0,1,2,1,1,1,1,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
Stephanie M Sawyer,,,,,,,,,,,,0,2,1,2,1,1,2,3,0,1,0,0,0,2,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,14
Anthony Kyriakakis,,,,,,,,,,,,,0,2,1,0,2,2,2,1,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
Edward William Louden Jr,,,,,,,,,,,,,,0,1,1,2,2,1,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14
Marissa Brumbach,,,,,,,,,,,,,,,0,1,0,0,2,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14
Rania Major,,,,,,,,,,,,,,,,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14
Sandjai Weaver,,,,,,,,,,,,,,,,,1,2,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Scott Diclaudio,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,14
James F Berardinelli,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Kai Scott,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Ken Powell,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,14
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,14
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,14
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,14
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,14
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,14
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,14
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14
Total,11,3,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Alice Beck Dubow,Robert Colville,Ken Powell,Scott Diclaudio,Vincent N Melchiorre,Michael Fanning,Tracy B Roman,Jennifer Schultz,James F Berardinelli,Abbe Fletman,Daine Grey Jr,Mia Roberts Perez,Kai Scott,Lyris Younge,Wayne M D Bennett,Anthony Kyriakakis,Stephanie M Sawyer,Betsy Wahl,Chris Mallios,Rainy Papademetriou,Stella Tsai,Vincent Furlong,Chris Mccabe,Jon Marshall,Lynne M Summers,Vince Giusini,Deborah Watson Stokes,Joshua Hill,Leon Goodman,Marissa Brumbach,Thomas Martin,Brian T Ortelere,Edward William Louden Jr,Lucretia Clemons,William J Ciancaglini,Franklin A Bennett Iii,Rania Major,Sherman Toppin,Frances Fattah,Jodi Lobel,Leon A King Ii,Sandjai Weaver,Shanese Johnson,Starr Marshall Cash,Tangie M Boston,15
Alice Beck Dubow,9,0,19,17,15,14,15,10,10,8,10,13,11,12,12,8,11,8,8,6,9,7,7,8,6,5,7,5,7,7,4,3,5,5,5,5,3,3,2,3,2,2,2,2,2,15
Robert Colville,,0,2,2,2,1,1,4,4,5,3,1,1,1,1,2,1,1,1,3,1,2,2,0,1,3,0,1,0,0,2,2,0,1,1,0,1,1,1,0,1,1,0,0,0,15
Ken Powell,,,0,11,12,13,12,5,5,8,8,9,9,10,7,5,6,3,8,6,4,6,4,2,1,4,1,3,4,2,5,4,5,2,4,4,4,4,1,1,1,3,1,2,2,15
Scott Diclaudio,,,,1,10,8,11,8,9,9,6,6,6,9,6,5,4,4,4,2,2,3,3,3,3,5,2,4,2,1,2,1,1,0,3,2,3,2,2,1,1,2,1,0,2,15
Vincent N Melchiorre,,,,,0,11,9,3,3,5,8,9,8,8,6,5,6,3,7,4,4,4,5,2,2,5,1,4,4,3,2,1,1,1,4,2,1,1,2,2,1,1,1,0,1,15
Michael Fanning,,,,,,1,8,4,4,4,5,9,8,7,9,4,6,3,7,2,3,4,4,3,0,4,2,4,3,2,2,2,3,1,1,4,3,1,1,0,0,1,1,1,2,15
Tracy B Roman,,,,,,,1,5,5,6,6,8,7,8,5,4,5,3,6,3,2,5,3,1,2,4,2,1,3,0,4,1,2,0,4,1,0,1,0,1,0,1,0,1,1,15
Jennifer Schultz,,,,,,,,1,9,6,6,3,2,2,4,5,4,8,2,5,4,5,3,5,5,6,4,2,1,3,3,2,2,2,2,1,2,1,2,1,1,1,2,0,0,15
James F Berardinelli,,,,,,,,,0,6,3,1,1,2,6,5,1,4,0,5,1,6,2,3,3,4,2,5,3,1,4,3,3,0,4,2,2,2,1,1,2,0,2,1,1,15
Abbe Fletman,,,,,,,,,,0,7,4,6,7,2,5,5,2,5,4,3,3,2,2,3,3,1,2,2,1,3,3,1,1,1,0,3,3,2,0,1,2,0,1,1,15
Daine Grey Jr,,,,,,,,,,,0,5,7,6,2,0,6,3,4,5,5,3,0,1,3,3,2,0,2,3,3,2,1,3,1,0,1,3,1,2,2,3,1,0,0,15
Mia Roberts Perez,,,,,,,,,,,,0,9,6,4,5,9,5,8,3,4,2,4,1,3,3,4,1,1,3,1,2,0,4,1,1,1,1,1,1,0,0,1,1,2,15
Kai Scott,,,,,,,,,,,,,0,7,3,4,7,2,7,3,5,2,1,1,2,2,2,0,2,3,2,1,0,3,0,0,1,3,0,1,0,1,1,1,2,15
Lyris Younge,,,,,,,,,,,,,,0,2,3,4,1,4,3,1,2,0,1,1,2,1,1,3,1,1,0,3,2,1,0,1,1,2,0,1,3,0,0,1,15
Wayne M D Bennett,,,,,,,,,,,,,,,0,4,2,1,3,1,3,5,4,3,1,3,2,4,4,1,2,3,2,0,3,5,2,2,1,0,1,0,0,1,2,15
Anthony Kyriakakis,,,,,,,,,,,,,,,,0,3,5,3,4,4,5,5,3,4,3,3,4,2,3,3,2,1,2,3,2,2,1,2,0,0,0,1,1,2,15
Stephanie M Sawyer,,,,,,,,,,,,,,,,,0,5,8,1,7,0,3,4,4,0,5,1,1,4,0,0,1,4,0,1,1,0,1,1,0,0,1,1,0,15
Betsy Wahl,,,,,,,,,,,,,,,,,,0,2,3,4,1,3,3,6,4,5,2,0,5,2,0,1,4,1,0,1,0,1,2,0,0,2,1,0,15
Chris Mallios,,,,,,,,,,,,,,,,,,,0,1,4,0,4,2,2,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,15
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,0,2,6,2,1,1,4,0,1,2,2,4,3,3,3,2,0,0,2,0,2,2,1,1,0,0,15
Stella Tsai,,,,,,,,,,,,,,,,,,,,,0,2,4,5,3,0,4,2,3,5,2,0,1,3,0,2,1,2,1,1,0,1,1,0,0,15
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,2,2,2,4,2,5,3,3,0,3,2,0,2,0,1,1,0,1,1,1,15
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,0,3,2,3,1,4,1,1,2,2,1,1,1,3,1,0,1,0,1,0,1,0,0,15
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,2,3,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,15
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,2,1,3,1,1,0,3,2,0,1,1,2,2,0,0,1,2,1,15
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,3,2,0,1,2,0,1,1,1,1,1,1,0,0,0,15
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,4,1,0,1,3,1,0,1,0,1,1,0,0,1,2,1,15
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,1,2,0,1,3,1,1,1,0,1,0,2,0,1,15
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,3,0,2,1,0,1,1,1,0,0,0,1,0,15
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,4,0,1,1,1,0,2,0,0,1,1,0,15
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,2,0,0,3,0,1,1,1,1,1,0,15
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,0,0,1,0,0,1,2,15
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,1,1,1,1,0,15
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,0,15
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,1,0,15
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,0,0,0,0,1,15
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,1,0,1,2,15
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,1,2,15
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,15
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,15
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,15
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,15
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,15
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15
Total,46,7,23,21,18,17,17,16,15,14,14,14,13,13,13,12,12,10,10,10,10,10,9,9,8,8,7,7,7,7,7,6,6,6,6,5,5,5,3,3,3,3,3,3,3,15
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Alice Beck Dubow,Robert Colville,Ken Powell,Michael Fanning,Jon Marshall,Mia Roberts Perez,Rania Major,Jennifer Schultz,Leon Goodman,Scott Diclaudio,Thomas Martin,Tracy B Roman,Vincent N Melchiorre,Wayne M D Bennett,Abbe Fletman,Brian T Ortelere,Chris Mccabe,Daine Grey Jr,Franklin A Bennett Iii,Leon A King Ii,Lucretia Clemons,Sandjai Weaver,Shanese Johnson,Stephanie M Sawyer,Tangie M Boston,Vincent Furlong,Anthony Kyriakakis,Betsy Wahl,Chris Mallios,Deborah Watson Stokes,Edward William Louden Jr,Frances Fattah,Jodi Lobel,Kai Scott,Lynne M Summers,Lyris Younge,Marissa Brumbach,Rainy Papademetriou,Vince Giusini,William J Ciancaglini,James F Berardinelli,Joshua Hill,Sherman Toppin,Starr Marshall Cash,Stella Tsai,16
Alice Beck Dubow,5,0,5,3,4,5,5,4,3,3,2,3,3,4,3,3,3,3,3,2,2,3,2,3,2,3,2,1,1,2,1,1,1,2,2,1,1,0,2,1,1,1,1,1,1,16
Robert Colville,,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
Ken Powell,,,0,3,4,2,1,2,3,2,3,2,3,1,1,1,0,1,0,1,2,2,1,0,0,2,1,1,1,0,2,1,1,0,0,2,1,2,1,2,1,0,0,0,0,16
Michael Fanning,,,,0,0,1,2,0,0,2,2,0,2,2,1,2,1,1,2,1,1,1,2,0,1,0,0,1,2,0,0,1,1,1,0,0,1,2,1,1,0,0,0,0,0,16
Jon Marshall,,,,,0,1,0,0,3,2,0,2,2,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,16
Mia Roberts Perez,,,,,,0,2,2,0,1,1,1,2,3,0,2,1,3,2,1,2,3,2,2,1,3,1,0,0,2,0,1,1,0,1,0,1,0,2,1,0,0,1,1,0,16
Rania Major,,,,,,,0,2,1,2,2,0,1,3,1,2,1,1,2,0,0,2,1,1,1,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,16
Jennifer Schultz,,,,,,,,0,0,0,2,1,0,1,1,0,1,1,0,1,0,1,0,2,0,2,2,1,0,1,0,0,0,1,2,0,1,0,0,0,1,1,0,1,1,16
Leon Goodman,,,,,,,,,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16
Scott Diclaudio,,,,,,,,,,0,0,2,1,2,0,2,0,1,2,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,16
Thomas Martin,,,,,,,,,,,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,16
Tracy B Roman,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,16
Vincent N Melchiorre,,,,,,,,,,,,,0,1,1,2,0,2,1,1,2,2,2,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,16
Wayne M D Bennett,,,,,,,,,,,,,,0,0,2,1,1,3,0,1,2,2,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,16
Abbe Fletman,,,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,16
Brian T Ortelere,,,,,,,,,,,,,,,,0,0,2,2,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,16
Chris Mccabe,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,2,1,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,0,1,1,0,1,16
Daine Grey Jr,,,,,,,,,,,,,,,,,,0,1,1,1,2,1,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,16
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,0,0,1,1,2,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,16
Leon A King Ii,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,2,0,0,1,0,0,0,1,0,16
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,1,0,1,1,1,0,2,2,0,0,0,1,0,1,2,0,0,1,0,0,16
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,16
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,0,2,2,0,0,0,1,0,1,1,0,0,1,0,0,16
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,2,0,1,1,1,2,0,1,0,0,0,0,1,1,1,1,16
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,16
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,16
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,16
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,16
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,16
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,16
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,1,0,0,1,0,0,1,0,0,16
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,1,0,0,16
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,1,16
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,1,1,16
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,16
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,16
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,16
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,16
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,16
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,16
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16
Total,20,1,9,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,16
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,Alice Beck Dubow,Robert Colville,Mia Roberts Perez,Tracy B Roman,Scott Diclaudio,Daine Grey Jr,Ken Powell,Jon Marshall,Lyris Younge,Vincent Furlong,Deborah Watson Stokes,Edward William Louden Jr,Jennifer Schultz,Michael Fanning,Stephanie M Sawyer,Frances Fattah,James F Berardinelli,Leon Goodman,Abbe Fletman,Lynne M Summers,Rainy Papademetriou,Stella Tsai,Betsy Wahl,Brian T Ortelere,Sandjai Weaver,Vincent N Melchiorre,Chris Mccabe,Franklin A Bennett Iii,Jodi Lobel,Kai Scott,Lucretia Clemons,Rania Major,Wayne M D Bennett,Anthony Kyriakakis,Chris Mallios,Joshua Hill,Leon A King Ii,Marissa Brumbach,Sherman Toppin,Thomas Martin,William J Ciancaglini,Starr Marshall Cash,Tangie M Boston,Shanese Johnson,Vince Giusini,17
Alice Beck Dubow,6,0,16,14,13,10,11,10,11,10,10,10,9,8,8,8,8,8,5,7,5,7,6,5,5,6,4,5,5,5,5,5,5,4,3,4,4,4,4,4,4,2,2,2,2,17
Robert Colville,,1,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Mia Roberts Perez,,,3,7,5,3,2,2,4,2,6,5,6,3,6,4,2,2,3,4,2,5,3,1,3,4,2,1,3,1,3,3,1,1,3,0,3,2,2,0,2,1,0,1,1,17
Tracy B Roman,,,,0,8,6,8,5,8,2,3,5,7,5,6,3,3,4,6,4,3,4,3,3,1,3,1,2,2,3,2,1,1,1,2,1,1,2,2,1,0,1,1,1,1,17
Scott Diclaudio,,,,,0,6,8,5,6,2,3,5,3,5,4,1,4,5,3,1,2,0,1,4,1,3,0,4,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,0,17
Daine Grey Jr,,,,,,0,6,3,9,4,4,3,4,2,4,3,3,2,4,2,3,1,3,2,2,3,0,1,0,2,1,0,0,0,2,1,1,2,0,2,0,1,0,1,0,17
Ken Powell,,,,,,,0,5,8,3,2,2,3,5,2,2,4,5,4,2,3,1,1,5,1,2,1,3,1,3,0,1,2,2,2,2,0,0,2,2,0,0,2,0,0,17
Jon Marshall,,,,,,,,1,5,3,1,3,4,1,0,3,3,5,0,2,3,1,2,4,1,1,1,1,1,0,0,0,1,2,0,2,1,0,0,2,1,0,0,0,1,17
Lyris Younge,,,,,,,,,0,3,4,2,5,2,4,4,3,4,4,2,3,2,4,3,2,3,0,1,0,2,1,1,1,1,2,1,0,2,0,2,0,0,0,1,0,17
Vincent Furlong,,,,,,,,,,0,3,3,3,2,1,1,4,1,1,2,2,1,1,1,1,2,2,2,1,2,2,0,2,1,0,0,1,3,1,3,2,2,1,1,0,17
Deborah Watson Stokes,,,,,,,,,,,0,3,4,1,5,4,4,2,1,4,1,3,4,1,3,0,2,2,1,1,4,4,2,1,0,2,2,2,1,2,1,3,2,2,0,17
Edward William Louden Jr,,,,,,,,,,,,0,5,2,2,1,5,3,0,2,4,2,0,2,2,2,0,2,2,0,2,1,1,1,1,0,4,2,2,1,3,2,0,1,1,17
Jennifer Schultz,,,,,,,,,,,,,0,0,4,3,3,3,1,4,3,4,3,3,2,1,1,1,1,0,3,2,2,1,0,0,1,2,1,1,0,1,0,1,1,17
Michael Fanning,,,,,,,,,,,,,,0,3,0,2,1,4,1,1,2,1,2,1,3,1,3,2,3,0,1,1,1,4,2,1,1,3,1,2,0,2,0,0,17
