col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,0,109,187,164,219,116,108,123,86,105,98,143,170,88,88,111,90,115,83,93,87,82,41,83,69,56,51,24,25,24,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,3,92,234,98,194,198,113,185,159,85,98,72,76,144,48,67,91,44,54,73,32,53,44,82,65,32,37,19,40,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,,4,107,236,120,69,126,57,150,73,174,199,88,76,64,57,120,70,129,79,166,131,168,46,43,61,31,50,21,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,0,101,239,186,77,201,79,103,129,91,57,142,89,117,64,69,73,80,42,46,47,97,68,46,65,32,57,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,82,71,106,84,184,84,120,88,94,41,87,59,76,74,121,91,86,110,108,31,33,42,19,34,12,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,0,187,74,171,88,78,111,97,87,183,68,133,53,86,93,76,55,65,55,112,77,57,49,37,43,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,160,65,161,76,66,133,125,80,93,53,60,34,68,26,28,31,89,63,37,41,21,33,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,1,74,137,182,44,64,178,32,30,47,137,69,61,49,36,90,32,29,27,23,11,20,19,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,108,79,45,57,117,39,72,39,75,39,43,29,36,23,62,53,32,38,25,32,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75,89,58,89,60,68,39,77,60,91,82,50,128,58,45,44,35,15,26,19,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,40,160,36,42,56,59,79,48,57,36,43,25,30,19,25,13,28,26,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,123,61,72,83,51,45,75,88,82,142,52,121,48,45,53,15,32,21,All
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,72,44,56,91,30,59,39,118,28,117,47,36,44,28,9,24,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,55,57,71,80,58,54,49,31,40,38,30,50,11,22,17,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,86,34,35,54,50,37,37,40,82,82,41,44,22,29,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,42,51,42,71,35,19,37,51,45,43,21,20,14,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,51,54,52,28,31,31,81,45,30,32,26,25,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,41,59,32,51,33,25,18,23,18,33,14,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,62,37,26,36,38,24,39,17,22,14,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,60,70,95,23,33,38,21,22,17,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,31,49,26,28,34,24,38,15,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,114,29,29,30,11,23,15,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,17,17,13,15,27,20,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,21,29,10,24,15,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,34,27,22,23,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,24,16,22,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,17,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,21,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"3,514",515,493,149,138,36,"1,557","1,433","1,251","1,131","1,129","1,088",960,875,821,792,772,715,700,692,685,659,645,592,590,588,521,517,517,489,445,413,387,378,338,337,337,321,321,298,290,276,275,236,197,181,112,109,109,All
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Lynne M Abraham,Nelson Diaz,Anthony Hardy Williams,Doug Oliver,T Milton Street Sr,Rainy Papademetriou,Abbe Fletman,Stella Tsai,Mia Roberts Perez,Chris Mallios,Kai Scott,Ken Powell,Anthony Kyriakakis,Jennifer Schultz,Scott Diclaudio,Daine Grey Jr,Lucretia Clemons,Marissa Brumbach,Tracy B Roman,James F Berardinelli,Vince Giusini,Betsy Wahl,Chris Mccabe,Stephanie M Sawyer,Deborah Watson Stokes,Brian T Ortelere,Vincent N Melchiorre,Lynne M Summers,Vincent Furlong,Michael Fanning,Jodi Lobel,William J Ciancaglini,Leon A King Ii,Lyris Younge,Edward William Louden Jr,Leon Goodman,Thomas Martin,Frances Fattah,Rania Major,Wayne M D Bennett,Joshua Hill,Jon Marshall,Sandjai Weaver,Shanese Johnson,Starr Marshall Cash,Franklin A Bennett Iii,Tangie M Boston,Sherman Toppin,1
Jim Kenney,58,0,0,0,0,0,42,43,44,38,36,36,34,29,30,34,28,32,29,31,32,30,23,23,27,23,26,24,19,20,16,14,17,13,12,13,14,14,10,7,12,11,7,5,4,3,4,5,1,1
Lynne M Abraham,,7,0,0,0,0,11,9,6,7,5,6,5,7,5,0,5,1,3,1,1,0,2,3,3,1,2,2,2,0,5,4,0,4,0,1,1,1,4,2,0,0,0,0,1,1,0,0,0,1
Nelson Diaz,,,4,0,0,0,4,3,4,4,2,2,2,2,5,2,2,3,2,2,2,2,4,1,0,2,0,0,1,2,0,2,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,1
Anthony Hardy Williams,,,,1,0,0,1,0,2,1,1,0,0,2,0,3,2,0,1,2,1,2,2,2,0,1,0,0,0,1,0,1,1,1,3,2,0,0,0,1,1,0,1,0,1,0,0,0,0,1
Doug Oliver,,,,,1,0,0,2,0,1,3,2,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
T Milton Street Sr,,,,,,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,2,1,0,1
Rainy Papademetriou,,,,,,,0,36,27,25,28,28,16,20,12,10,19,15,10,13,18,13,10,15,11,10,22,13,8,10,7,5,3,11,6,6,9,10,9,6,6,6,3,3,4,2,2,2,1,1
Abbe Fletman,,,,,,,,0,27,26,35,38,16,17,14,6,20,18,10,11,12,9,11,16,14,8,19,13,5,5,9,9,2,12,4,3,5,9,6,3,5,3,0,0,2,0,1,2,0,1
Stella Tsai,,,,,,,,,0,34,23,21,15,19,18,9,16,24,15,17,14,8,17,11,21,19,14,7,10,3,6,16,5,6,7,5,4,3,7,6,6,6,1,3,4,3,0,3,0,1
Mia Roberts Perez,,,,,,,,,,0,22,23,17,19,17,9,21,22,17,18,13,8,18,12,19,17,9,6,12,4,8,13,6,9,7,3,3,3,7,8,5,6,2,3,4,3,2,3,0,1
Chris Mallios,,,,,,,,,,,0,29,17,18,5,7,17,10,9,6,11,10,13,14,11,7,11,14,3,4,12,5,3,10,2,1,3,5,5,1,5,4,1,1,1,3,1,3,0,1
Kai Scott,,,,,,,,,,,,0,15,13,6,6,18,15,8,4,12,6,8,17,12,7,17,14,2,5,12,6,3,11,1,4,4,10,7,0,5,2,0,0,0,0,1,2,0,1
Ken Powell,,,,,,,,,,,,,0,17,9,18,20,4,8,16,14,8,7,7,8,8,7,8,6,10,14,2,8,7,10,9,9,2,5,2,3,3,6,3,0,3,1,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,0,5,10,18,5,7,9,14,12,10,9,10,6,13,4,6,8,9,6,5,11,4,1,2,2,5,2,9,5,1,3,1,1,2,2,1,1
Jennifer Schultz,,,,,,,,,,,,,,,0,6,9,17,13,19,9,4,14,6,14,15,6,3,12,7,3,13,3,4,6,5,9,2,4,7,6,4,5,3,4,3,2,2,0,1
Scott Diclaudio,,,,,,,,,,,,,,,,0,11,4,7,18,13,13,6,8,3,6,6,9,6,10,8,1,15,1,11,11,7,3,2,3,3,1,5,2,1,1,1,0,0,1
Daine Grey Jr,,,,,,,,,,,,,,,,,0,6,8,11,12,6,8,6,10,5,10,4,3,8,6,2,4,13,6,4,7,2,5,5,7,3,3,2,2,2,1,0,1,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,0,12,16,5,4,15,11,15,14,10,8,10,3,2,11,2,3,3,4,2,7,6,6,4,5,1,2,4,3,1,3,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,0,13,4,6,21,5,14,14,3,7,11,4,7,8,3,4,4,2,5,3,4,8,4,2,2,2,3,3,1,2,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,,0,6,8,13,4,10,14,4,5,13,6,3,8,5,4,13,7,8,2,6,9,3,5,7,4,5,5,2,3,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,0,18,6,11,5,4,13,7,5,11,7,3,9,4,2,7,4,4,4,1,8,5,1,2,0,0,3,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,0,6,9,3,3,7,8,5,10,3,1,7,5,4,7,2,4,1,2,8,6,2,3,2,1,2,1,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,0,9,10,13,4,5,11,3,6,8,4,5,5,3,1,3,5,6,7,2,2,3,5,5,1,4,0,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,0,6,9,13,11,1,5,6,5,7,5,5,5,3,9,2,2,7,3,2,3,2,3,4,3,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,0,15,8,4,9,0,4,8,3,3,3,1,1,1,4,5,3,3,0,2,4,4,2,5,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,9,2,1,7,3,2,5,3,5,1,3,3,3,4,2,2,0,4,1,4,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,7,2,4,2,2,1,4,5,9,2,0,5,4,0,2,1,0,1,1,1,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,9,3,8,1,1,4,3,10,2,1,0,2,0,0,0,2,1,2,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,5,4,1,4,4,1,3,4,7,1,2,3,2,3,3,1,2,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,5,4,3,8,6,4,3,0,5,2,3,1,0,1,2,1,1,1
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,6,1,1,1,1,5,1,2,1,0,0,0,1,3,1,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,2,1,3,4,4,1,1,2,2,1,1,2,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,6,4,2,1,2,1,2,3,2,1,1,3,1,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,4,1,5,0,6,4,2,1,0,1,2,0,1,1
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,3,3,2,5,1,0,6,2,2,3,0,1,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,3,1,3,0,4,1,1,1,0,1,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,2,4,5,2,0,0,2,0,1,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,1,1,0,1,0,1,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,1,0,2,2,1,3,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,6,1,1,0,0,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,0,1,1,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,3,0,1,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,1,0,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,1,1,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,193,22,13,5,4,3,60,57,56,52,48,46,45,40,40,40,39,37,37,37,36,35,33,32,32,29,28,27,25,24,22,21,20,18,18,17,17,16,14,14,14,12,9,7,7,7,6,6,1,1
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Kai Scott,Rainy Papademetriou,Mia Roberts Perez,Scott Diclaudio,Abbe Fletman,Daine Grey Jr,Stella Tsai,Tracy B Roman,Deborah Watson Stokes,Lynne M Summers,Betsy Wahl,Jennifer Schultz,Ken Powell,Lyris Younge,James F Berardinelli,Stephanie M Sawyer,Lucretia Clemons,Marissa Brumbach,Chris Mallios,Leon Goodman,Anthony Kyriakakis,Rania Major,Vincent N Melchiorre,Vince Giusini,Jon Marshall,Brian T Ortelere,Chris Mccabe,Edward William Louden Jr,Jodi Lobel,Leon A King Ii,Wayne M D Bennett,Joshua Hill,Thomas Martin,Michael Fanning,Sherman Toppin,Vincent Furlong,Shanese Johnson,Frances Fattah,Sandjai Weaver,William J Ciancaglini,Starr Marshall Cash,Franklin A Bennett Iii,Tangie M Boston,2
Jim Kenney,22,0,0,0,0,0,21,25,19,19,20,17,22,17,14,14,18,19,15,13,15,15,13,14,16,10,12,11,13,12,8,8,8,8,7,6,7,5,6,6,2,7,3,1,3,5,2,1,0,2
Anthony Hardy Williams,,2,0,0,0,0,7,3,4,7,5,6,2,7,7,4,4,1,4,8,3,4,3,2,1,4,3,4,3,2,2,1,2,4,2,3,0,1,2,2,4,1,2,4,2,0,0,1,0,2
Lynne M Abraham,,,5,0,0,0,1,3,5,1,2,2,3,1,4,7,2,4,2,0,2,2,2,2,1,1,2,2,1,2,0,2,1,0,3,3,2,2,2,1,1,1,1,2,1,0,2,0,1,2
Doug Oliver,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Nelson Diaz,,,,,0,0,1,0,1,2,0,2,0,2,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
T Milton Street Sr,,,,,,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2
Kai Scott,,,,,,,0,12,17,5,17,11,12,6,10,4,11,6,6,8,5,10,6,7,10,3,7,4,10,5,4,3,5,0,7,3,4,6,5,7,6,1,3,2,4,0,0,1,0,2
Rainy Papademetriou,,,,,,,,0,11,9,16,9,15,11,10,10,14,13,6,5,6,6,10,11,8,5,8,10,8,6,2,8,5,3,7,5,6,3,6,2,2,6,5,3,3,0,1,1,0,2
Mia Roberts Perez,,,,,,,,,0,6,15,13,13,8,11,9,12,14,8,8,4,13,8,10,12,6,4,5,7,0,2,5,4,1,8,3,3,5,2,5,2,0,4,2,2,0,2,0,1,2
Scott Diclaudio,,,,,,,,,,1,5,9,9,18,5,7,6,9,12,14,11,6,4,4,8,12,8,6,7,8,9,6,4,11,2,4,3,4,4,4,4,5,1,1,2,2,1,1,0,2
Abbe Fletman,,,,,,,,,,,0,11,10,5,6,3,10,9,4,6,4,10,9,10,10,7,7,7,8,3,1,6,7,1,6,2,4,5,3,4,3,4,2,3,0,0,0,0,1,2
Daine Grey Jr,,,,,,,,,,,,0,5,9,6,7,6,10,9,9,7,10,3,8,6,5,4,4,5,3,4,5,4,5,4,4,3,1,4,4,4,3,1,2,3,1,0,1,1,2
Stella Tsai,,,,,,,,,,,,,0,6,10,10,12,13,4,2,2,10,10,8,9,4,9,8,4,5,4,6,2,1,8,5,4,6,3,1,3,3,2,1,2,0,2,0,0,2
Tracy B Roman,,,,,,,,,,,,,,0,6,9,9,10,11,13,9,6,5,8,5,8,3,9,3,3,5,5,3,8,5,4,2,1,3,3,2,3,4,4,3,0,0,2,0,2
Deborah Watson Stokes,,,,,,,,,,,,,,,0,13,9,9,3,7,6,7,9,8,5,5,3,7,5,5,4,3,3,2,8,4,2,3,3,4,2,2,4,5,2,3,2,1,1,2
Lynne M Summers,,,,,,,,,,,,,,,,0,10,11,7,4,2,8,10,10,3,5,3,8,5,6,4,3,3,2,6,6,4,3,5,2,3,4,6,5,3,3,3,3,1,2
Betsy Wahl,,,,,,,,,,,,,,,,,0,11,4,3,3,5,6,9,8,6,7,7,5,1,3,4,3,2,6,4,1,2,2,2,1,2,5,2,1,1,1,1,0,2
Jennifer Schultz,,,,,,,,,,,,,,,,,,0,4,5,5,11,10,12,7,7,2,9,4,3,5,7,3,3,7,4,2,3,3,0,2,2,4,3,1,1,4,1,1,2
Ken Powell,,,,,,,,,,,,,,,,,,,0,10,6,8,3,3,4,10,3,1,6,4,7,3,4,7,2,3,4,2,0,5,2,2,3,0,0,1,1,1,0,2
Lyris Younge,,,,,,,,,,,,,,,,,,,,1,10,7,2,6,5,8,4,6,5,3,6,2,5,9,1,2,3,2,3,5,3,2,1,1,2,1,0,0,0,2
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,0,3,0,5,4,4,4,3,6,7,4,4,5,7,1,3,3,2,2,6,0,3,1,1,1,2,0,0,0,2
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,0,7,8,7,3,3,4,8,4,3,3,3,1,6,3,1,1,0,4,2,1,1,3,0,1,3,0,1,2
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,0,8,5,5,2,8,5,2,3,6,4,0,7,1,3,3,3,1,2,2,4,2,1,1,3,2,0,2
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,2,7,4,3,1,2,4,2,7,1,1,1,3,3,1,3,4,2,0,1,1,1,1,2
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,1,6,0,2,4,3,1,5,2,1,2,2,4,1,1,1,1,0,1,1,1,0,2
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,1,3,8,5,6,8,2,4,3,5,1,1,3,2,2,2,0,1,0,1,0,2
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,2,2,0,4,2,4,6,4,1,0,3,4,0,1,2,1,1,0,0,2
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,2,4,3,5,4,2,2,4,0,5,3,3,3,5,0,1,1,0,2
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,4,4,0,0,1,4,1,3,7,1,2,1,1,0,2,3,0,0,2
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,4,0,4,4,3,3,2,4,5,1,1,3,3,1,0,0,2
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,6,1,3,3,3,1,1,4,1,2,0,1,2,2,1,0,2
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,3,2,2,0,3,0,1,2,0,2,0,0,2,0,0,2
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,4,2,3,3,2,2,1,2,1,0,1,0,1,0,2
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,1,0,0,1,4,0,0,1,2,0,0,0,2
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,1,1,2,1,2,3,2,0,1,1,1,2
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,3,3,0,3,0,2,4,2,0,1,1,0,2
