col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Council At Large - Republican,,,,,,,City Commissioners - Republican,1
,James Williams,Terry Tracy,Dennis M O Brien,Daniel Tinney,David Oh,Matt Wolfe,Al Taubenberger,Al Schmidt,1
James Williams,1,2,1,0,1,1,0,1,1
Terry Tracy,,0,1,1,1,1,0,2,1
Dennis M O Brien,,,1,0,1,1,0,1,1
Daniel Tinney,,,,0,0,0,0,1,1
David Oh,,,,,0,1,0,1,1
Matt Wolfe,,,,,,0,0,1,1
Al Taubenberger,,,,,,,0,0,1
Al Schmidt,,,,,,,,0,1
Total,3,3,2,1,1,1,0,2,1
,City Commissioners - Republican,Council At Large - Republican,,,,,,,2
,Al Schmidt,Al Taubenberger,Daniel Tinney,David Oh,James Williams,Matt Wolfe,Terry Tracy,Dennis M O Brien,2
Al Schmidt,0,0,0,1,1,0,1,0,2
Al Taubenberger,,0,1,0,0,1,0,0,2
Daniel Tinney,,,0,0,0,1,0,0,2
David Oh,,,,0,1,0,1,0,2
James Williams,,,,,0,0,1,0,2
Matt Wolfe,,,,,,0,0,0,2
Terry Tracy,,,,,,,0,0,2
Dennis M O Brien,,,,,,,,0,2
Total,1,1,1,1,1,1,1,0,2
,Council At Large - Republican,,,,,,,City Commissioners - Republican,3
,David Oh,Dennis M O Brien,Al Taubenberger,Daniel Tinney,Terry Tracy,Matt Wolfe,James Williams,Al Schmidt,3
David Oh,1,6,4,4,5,4,2,6,3
Dennis M O Brien,,0,3,4,3,3,2,6,3
Al Taubenberger,,,1,4,1,3,1,3,3
Daniel Tinney,,,,0,1,3,2,4,3
Terry Tracy,,,,,0,2,1,4,3
Matt Wolfe,,,,,,0,0,3,3
James Williams,,,,,,,0,2,3
Al Schmidt,,,,,,,,0,3
Total,9,7,5,5,5,4,3,7,3
,City Commissioners - Republican,Council At Large - Republican,,,,,,,4
,Al Schmidt,Terry Tracy,Al Taubenberger,Dennis M O Brien,Daniel Tinney,Matt Wolfe,David Oh,James Williams,4
Al Schmidt,0,3,3,2,2,2,1,1,4
Terry Tracy,,0,3,2,2,2,1,1,4
Al Taubenberger,,,0,1,2,2,1,1,4
Dennis M O Brien,,,,0,0,0,0,0,4
Daniel Tinney,,,,,0,2,1,1,4
Matt Wolfe,,,,,,0,1,1,4
David Oh,,,,,,,0,0,4
James Williams,,,,,,,,0,4
Total,4,4,3,3,2,2,1,1,4
,City Commissioners - Republican,Council At Large - Republican,,,,,,,5
,Al Schmidt,David Oh,Dennis M O Brien,Daniel Tinney,James Williams,Al Taubenberger,Terry Tracy,Matt Wolfe,5
Al Schmidt,0,6,6,5,4,4,4,2,5
David Oh,,1,6,5,3,4,4,2,5
Dennis M O Brien,,,0,5,3,4,4,2,5
Daniel Tinney,,,,0,2,3,3,2,5
James Williams,,,,,1,2,2,0,5
Al Taubenberger,,,,,,0,2,1,5
Terry Tracy,,,,,,,0,1,5
Matt Wolfe,,,,,,,,0,5
Total,7,7,6,5,5,4,4,2,5
,City Commissioners - Republican,Council At Large - Republican,,,,,,,6
,Al Schmidt,David Oh,Terry Tracy,James Williams,Dennis M O Brien,Daniel Tinney,Matt Wolfe,Al Taubenberger,6
Al Schmidt,0,11,11,10,8,6,6,5,6
David Oh,,0,8,8,5,3,5,2,6
Terry Tracy,,,0,8,5,5,3,3,6
James Williams,,,,0,4,2,2,4,6
Dennis M O Brien,,,,,0,7,6,5,6
Daniel Tinney,,,,,,0,4,3,6
Matt Wolfe,,,,,,,0,3,6
Al Taubenberger,,,,,,,,0,6
Total,14,11,11,10,9,7,6,5,6
,City Commissioners - Republican,Council At Large - Republican,,,,,,,8
,Al Schmidt,David Oh,Dennis M O Brien,Matt Wolfe,Al Taubenberger,Daniel Tinney,James Williams,Terry Tracy,8
Al Schmidt,0,1,1,1,0,0,0,0,8
David Oh,,0,1,1,0,0,0,0,8
Dennis M O Brien,,,0,1,0,0,0,0,8
Matt Wolfe,,,,0,0,0,0,0,8
Al Taubenberger,,,,,0,0,0,0,8
Daniel Tinney,,,,,,0,0,0,8
James Williams,,,,,,,0,0,8
Terry Tracy,,,,,,,,0,8
Total,1,1,1,1,0,0,0,0,8
,City Commissioners - Republican,Council At Large - Republican,,,,,,,9
,Al Schmidt,Terry Tracy,Daniel Tinney,David Oh,Dennis M O Brien,James Williams,Matt Wolfe,Al Taubenberger,9
Al Schmidt,0,3,1,2,2,2,2,0,9
Terry Tracy,,0,1,2,1,2,1,0,9
Daniel Tinney,,,1,0,0,0,0,0,9
David Oh,,,,0,1,2,1,0,9
Dennis M O Brien,,,,,0,1,2,0,9
James Williams,,,,,,0,1,0,9
Matt Wolfe,,,,,,,0,0,9
Al Taubenberger,,,,,,,,0,9
Total,4,3,2,2,2,2,2,0,9
,City Commissioners - Republican,Council At Large - Republican,,,,,,,10
,Al Schmidt,David Oh,Terry Tracy,Al Taubenberger,Daniel Tinney,Dennis M O Brien,James Williams,Matt Wolfe,10
Al Schmidt,0,2,2,1,0,0,0,0,10
David Oh,,0,1,0,0,0,0,0,10
