col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
Total,96,30,30,28,27,26,25,23,23,22,22,20,20,20,19,19,18,18,17,15,14,14,13,13,13,13,13,12,11,10,10,9,9,9,8,8,8,7,7,6,6,3,3,2,All
,District Council 1st District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Mark F Squilla,Jennifer Schultz,Scott Diclaudio,Tracy B Roman,Abbe Fletman,Mia Roberts Perez,Kai Scott,James F Berardinelli,Stella Tsai,Ken Powell,Rainy Papademetriou,Chris Mallios,Daine Grey Jr,Lyris Younge,Michael Fanning,Stephanie M Sawyer,Betsy Wahl,Vincent N Melchiorre,Lynne M Summers,Marissa Brumbach,Anthony Kyriakakis,Brian T Ortelere,Jodi Lobel,Leon Goodman,Vince Giusini,Vincent Furlong,William J Ciancaglini,Leon A King Ii,Rania Major,Deborah Watson Stokes,Jon Marshall,Joshua Hill,Shanese Johnson,Thomas Martin,Chris Mccabe,Lucretia Clemons,Sandjai Weaver,Frances Fattah,Wayne M D Bennett,Edward William Louden Jr,Sherman Toppin,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,5
Mark F Squilla,21,25,27,26,23,23,21,19,19,20,17,17,18,19,18,18,16,17,17,15,14,12,13,12,13,10,11,9,11,10,9,8,9,9,8,8,8,6,7,6,5,3,3,1,5
Jennifer Schultz,,1,8,15,10,9,10,11,10,5,7,4,7,6,2,5,11,3,9,9,4,6,9,8,6,6,4,4,7,3,7,2,6,7,6,4,6,2,5,4,2,2,2,1,5
Scott Diclaudio,,,0,18,11,7,6,10,6,12,9,6,11,12,10,7,3,10,4,3,5,6,2,8,7,2,8,3,2,1,4,3,1,5,2,2,2,3,3,3,2,2,1,2,5
Tracy B Roman,,,,0,11,11,9,7,8,10,7,7,14,12,7,7,7,8,8,8,2,3,5,6,5,3,4,3,7,0,6,2,6,4,2,5,5,2,3,4,4,2,2,2,5
Abbe Fletman,,,,,0,15,14,8,12,10,9,12,10,12,7,11,5,8,2,5,5,7,3,5,6,2,2,7,2,6,2,3,0,4,2,3,2,3,2,2,1,0,1,0,5
Mia Roberts Perez,,,,,,0,16,5,13,7,9,12,10,10,7,15,10,9,6,9,3,4,6,1,6,1,3,5,8,4,1,2,4,0,0,6,4,3,1,0,0,0,1,0,5
Kai Scott,,,,,,,0,5,10,7,11,13,10,10,5,11,11,6,6,5,8,7,6,2,1,2,1,7,4,4,1,1,3,3,4,4,2,3,3,0,1,1,1,0,5
James F Berardinelli,,,,,,,,0,4,7,7,6,5,6,5,4,5,7,3,3,6,8,3,8,8,5,8,3,1,3,6,3,2,4,3,0,3,4,3,2,3,1,2,2,5
Stella Tsai,,,,,,,,,0,4,11,7,2,7,5,8,9,4,7,11,2,4,6,3,2,1,2,8,4,7,0,4,3,2,2,5,4,4,1,0,2,0,1,1,5
Ken Powell,,,,,,,,,,1,8,8,11,11,9,8,1,10,3,1,6,3,1,5,2,4,3,6,2,1,4,2,1,4,2,0,1,2,4,2,3,1,1,0,5
Rainy Papademetriou,,,,,,,,,,,1,6,8,5,2,6,8,4,4,5,7,7,4,5,2,3,4,8,4,3,3,2,1,3,0,4,2,4,3,2,2,1,0,1,5
Chris Mallios,,,,,,,,,,,,0,9,6,8,7,5,8,1,2,6,5,3,4,1,3,3,6,1,2,1,3,3,0,2,1,1,1,1,1,2,0,1,0,5
Daine Grey Jr,,,,,,,,,,,,,0,9,7,8,4,7,3,2,4,4,3,3,2,3,1,3,3,0,4,1,3,3,0,1,4,2,1,4,3,0,1,0,5
Lyris Younge,,,,,,,,,,,,,,0,8,9,4,8,4,5,2,3,3,1,3,1,1,1,2,3,2,2,2,3,2,2,3,2,2,2,2,1,1,0,5
Michael Fanning,,,,,,,,,,,,,,,1,9,1,10,2,3,2,3,1,2,4,3,5,2,0,2,1,3,1,1,1,1,1,1,1,1,1,0,1,0,5
Stephanie M Sawyer,,,,,,,,,,,,,,,,0,6,8,5,7,4,5,4,2,3,1,4,3,4,6,2,2,2,1,0,4,2,2,2,0,0,0,1,0,5
Betsy Wahl,,,,,,,,,,,,,,,,,0,1,7,10,3,4,10,2,1,0,2,2,7,5,0,2,5,1,4,6,5,1,2,0,0,2,0,1,5
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,0,4,3,3,2,1,3,6,2,8,3,1,1,3,2,2,1,1,0,1,2,1,2,2,1,0,1,5
Lynne M Summers,,,,,,,,,,,,,,,,,,,0,8,3,1,8,2,1,2,3,0,6,3,2,1,5,2,2,4,3,0,2,1,1,2,1,0,5
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,0,0,2,7,2,2,1,4,0,6,5,1,1,4,1,1,5,3,2,1,1,0,1,1,0,5
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,0,7,4,5,2,4,3,4,1,4,1,3,2,3,3,0,1,3,3,0,1,1,1,0,5
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,0,2,5,3,4,3,3,0,5,1,2,1,0,3,3,0,0,0,1,1,0,1,0,5
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,1,0,6,4,0,1,3,2,4,5,5,1,2,0,0,2,0,0,5
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,6,2,0,3,6,2,1,4,2,0,0,1,1,2,2,0,1,1,5
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,2,2,1,3,4,1,3,1,0,2,2,2,2,2,1,1,1,5
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,0,0,3,1,2,2,1,0,0,1,2,1,2,0,2,0,5
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,5,1,1,2,0,1,0,2,2,1,1,1,1,1,5
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,4,1,2,1,1,2,3,2,1,3,0,0,1,5
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,4,1,0,4,5,1,3,1,0,1,0,0,5
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,0,2,2,1,1,0,0,0,0,0,0,5
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,0,0,1,0,1,3,2,0,1,0,5
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,1,0,2,0,1,1,2,1,0,1,5
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,3,0,1,1,2,1,1,1,5
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,3,2,4,2,2,1,1,0,5
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,2,0,1,2,0,1,5
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,1,0,0,5
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,0,0,0,5
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,1,1,5
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,3,1,1,5
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,5
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,5
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,5
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
Total,96,30,30,28,27,26,25,23,23,22,22,20,20,20,19,19,18,18,17,15,14,14,13,13,13,13,13,12,11,10,10,9,9,9,8,8,8,7,7,6,6,3,3,2,5
