col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In Congress 2nd District - Democrat,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Yasmeen Kaboud,Joe Foster,Heather A Steinmiller,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Margaret Lenzi,Waleed Shahid,Tonya Diane Bah,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,All
Cindy Bass,810,"62,370","61,752","59,374","52,056","50,120","52,032","49,605","48,897","48,374","47,865","13,967","45,454","45,956","13,786","10,294","9,681","8,605","8,422","7,622","7,674","7,565","6,919","6,889","38,642","30,164","9,646","6,670",All
Malcolm Kenyatta,,168,"59,069","58,553","49,891","48,315","49,312","48,354","46,781","46,116","46,125","13,866","44,448","44,553","13,168","9,989","9,202","8,214","8,229","7,894","7,941","7,579","7,164","6,912","32,984","24,317","6,201","6,019",All
Katherine J Gilmore,,,209,"56,607","48,241","46,295","49,271","47,368","45,147","45,552","45,812","12,436","43,610","44,311","11,138","8,454","7,728","7,091","6,872","6,430","6,278","6,267","5,517","5,458","31,436","22,688","6,344","6,154",All
Jerry T Jordan,,,,94,"47,588","45,612","47,521","46,889","44,221","44,069","44,320","12,200","43,091","43,221","12,291","8,629","7,824","7,147","7,054","6,769","6,791","6,419","5,889","5,735","30,082","21,270","5,903","6,047",All
Ken Washington,,,,,39,"47,612","48,182","47,152","46,043","46,942","46,342","8,002","45,069","45,064","7,927","7,580","7,063","6,086","6,379","5,578","6,104","5,933","5,336","5,242","29,550","16,756","3,866","5,847",All
Vincent Hughes,,,,,,52,"45,465","44,544","48,189","46,016","44,976","6,973","44,829","43,643","6,664","6,819","5,830","5,133","5,704","4,640","5,932","6,138","5,318","4,928","29,089","16,561","3,308","5,738",All
Mary Jo Daley,,,,,,,27,"48,317","44,243","45,284","45,424","7,127","43,313","44,204","6,591","6,867","5,859","5,288","5,317","4,981","4,554","4,705","3,924","3,985","28,403","16,289","3,931","5,952",All
Mark Aronchick,,,,,,,,17,"43,358","43,747","44,429","7,079","42,805","43,317","6,849","7,109","6,186","5,335","5,478","5,091","5,010","4,873","4,203","4,044","27,410","15,445","3,800","5,807",All
Blondell Reynolds Brown,,,,,,,,,22,"44,945","44,078","5,859","43,197","42,983","5,375","5,915","4,780","4,104","4,697","3,766","4,806","5,175","4,305","4,045","28,116","15,825","3,035","5,432",All
Nicole Allen White,,,,,,,,,,23,"44,921","6,279","44,045","43,720","5,776","5,961","5,498","4,611","5,155","4,109","5,147","5,846","4,980","4,506","26,750","15,346","3,467","5,626",All
Michelle W Singer,,,,,,,,,,,8,"5,728","43,111","44,366","5,211","5,469","4,607","4,168","4,865","3,671","4,704","4,955","4,090","3,660","26,394","14,969","3,357","5,583",All
Yasmeen Kaboud,,,,,,,,,,,,355,"6,084","4,592","37,950","32,855","33,678","32,340","31,371","31,762","30,325","29,318","29,944","30,115","18,545","17,676","6,814","5,503",All
Joe Foster,,,,,,,,,,,,,9,"42,145","5,803","5,644","5,015","4,394","5,025","4,089","5,313","5,595","5,096","4,258","25,389","14,280","3,274","5,526",All
Heather A Steinmiller,,,,,,,,,,,,,,9,"4,157","4,381","3,480","3,136","3,544","2,774","3,561","3,997","3,034","3,081","25,186","13,911","3,154","5,410",All
Lou Agre,,,,,,,,,,,,,,,230,"32,627","32,903","32,120","31,021","31,404","30,431","29,244","29,293","29,804","17,626","15,085","6,713","5,888",All
Sherrie Cohen,,,,,,,,,,,,,,,,19,"33,139","32,631","31,324","32,037","30,886","29,835","29,425","30,097","16,812","11,308","4,348","5,612",All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,38,"32,772","31,357","31,914","30,401","29,287","29,608","30,007","16,589","11,567","4,474","5,357",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,18,"30,684","31,427","29,835","28,832","28,775","29,678","15,388","10,805","4,283","5,344",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,16,"29,915","29,888","29,156","29,063","29,502","15,033","10,418","4,190","5,285",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,11,"29,625","28,232","28,652","28,975","14,718","10,268","4,000","5,089",All
William Leopold,,,,,,,,,,,,,,,,,,,,,5,"29,561","29,331","29,495","14,630","9,937","3,912","5,209",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,7,"28,880","28,733","14,341","9,876","3,842","5,303",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,8,"28,698","14,270","10,017","3,735","4,991",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,9,"14,142","10,006","3,804","4,954",All
Dwight Evans,,,,,,,,,,,,,,,,,,,,,,,,,"9,774",0,0,0,All
Chaka Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,"8,053",0,0,All
Brian Anthony Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,706",0,All
Dan Muroff,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,All
