col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Auditor General - Democrat,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Blondell Reynolds Brown,Mary Jo Daley,Mark Aronchick,Michelle W Singer,Nicole Allen White,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,Tonya Diane Bah,Margaret Lenzi,Waleed Shahid,William Leopold,Eugene A Depasquale,All
Cindy Bass,153,"1,317","1,293","1,239","1,031",981,989,"1,004",975,964,942,929,911,353,351,195,194,168,164,150,131,146,112,123,"1,047",All
Malcolm Kenyatta,,15,"1,235","1,183",972,933,931,954,946,919,893,897,882,322,321,166,175,151,145,134,120,125,96,109,770,All
Katherine J Gilmore,,,17,"1,179",961,898,903,947,942,904,872,879,871,296,278,140,143,121,119,103,88,94,63,84,725,All
Jerry T Jordan,,,,10,919,872,869,907,901,887,844,854,848,291,279,130,135,115,122,106,78,96,68,75,665,All
Ken Washington,,,,,2,888,890,929,919,890,876,857,860,126,123,120,122,102,96,90,80,92,64,71,529,All
Vincent Hughes,,,,,,14,926,853,844,878,875,871,845,94,87,76,90,66,63,63,66,96,55,69,474,All
Blondell Reynolds Brown,,,,,,,5,842,841,875,868,872,854,87,77,74,87,62,58,59,65,85,54,69,475,All
Mary Jo Daley,,,,,,,,3,927,865,840,841,831,115,108,98,111,86,100,74,58,73,47,52,487,All
Mark Aronchick,,,,,,,,,2,861,832,836,840,107,109,102,114,85,93,77,59,70,47,56,477,All
Michelle W Singer,,,,,,,,,,1,867,874,869,78,71,56,66,50,54,54,47,76,40,53,436,All
Nicole Allen White,,,,,,,,,,,2,860,834,80,76,77,83,58,60,54,65,98,65,68,455,All
Joe Foster,,,,,,,,,,,,2,846,76,70,70,76,55,55,59,60,91,62,60,436,All
Heather A Steinmiller,,,,,,,,,,,,,1,64,56,51,55,41,47,28,42,62,33,43,420,All
Yasmeen Kaboud,,,,,,,,,,,,,,37,489,323,327,309,308,306,284,257,271,270,575,All
Lou Agre,,,,,,,,,,,,,,,17,315,316,311,304,299,280,259,252,271,494,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,3,331,319,309,293,272,248,252,262,338,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,325,313,300,278,259,252,277,336,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,3,308,293,274,249,248,269,312,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,1,283,261,248,241,261,296,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,1,259,247,250,254,289,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,0,257,256,271,282,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,0,249,261,264,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,3,249,268,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,2,261,All
Eugene A Depasquale,,,,,,,,,,,,,,,,,,,,,,,,,117,All
Total,"1,960","1,459","1,412","1,327","1,095","1,061","1,046","1,045","1,022","1,004",998,984,955,746,646,430,422,390,375,361,351,350,338,334,"1,657",All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Auditor General - Democrat,1
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Blondell Reynolds Brown,Heather A Steinmiller,Ken Washington,Michelle W Singer,Vincent Hughes,Mark Aronchick,Joe Foster,Nicole Allen White,Mary Jo Daley,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Margaret Lenzi,Hamdi Soysal,Carol Rose Fleischman,Gwen Snyder,Tonya Diane Bah,Ariana Flores Gordon,Waleed Shahid,William Leopold,Eugene A Depasquale,1
Cindy Bass,10,43,41,38,33,31,31,32,30,30,27,26,27,17,15,7,8,8,4,6,4,5,4,3,40,1
Malcolm Kenyatta,,0,40,39,35,31,31,32,28,30,28,27,26,16,15,8,8,8,4,6,5,6,5,3,34,1
Katherine J Gilmore,,,1,37,29,28,28,29,27,28,26,23,25,13,11,3,4,4,2,2,2,3,2,1,26,1
Jerry T Jordan,,,,0,28,27,27,28,24,27,26,22,23,12,10,4,5,4,2,3,2,4,2,1,26,1
Blondell Reynolds Brown,,,,,0,31,31,31,29,29,28,27,25,4,4,6,7,5,4,4,5,5,4,3,22,1
Heather A Steinmiller,,,,,,0,30,31,27,29,26,24,26,4,4,5,5,6,3,3,4,3,2,2,18,1
Ken Washington,,,,,,,0,30,27,29,26,25,25,4,4,6,5,5,3,4,4,4,2,2,19,1
Michelle W Singer,,,,,,,,0,27,29,26,25,25,5,5,4,5,5,2,3,3,2,1,1,18,1
Vincent Hughes,,,,,,,,,0,26,25,25,23,3,2,2,3,3,1,1,2,1,1,1,16,1
Mark Aronchick,,,,,,,,,,0,25,23,26,3,3,3,3,4,1,2,1,2,0,0,16,1
Joe Foster,,,,,,,,,,,0,21,23,3,1,2,4,2,2,1,2,4,3,2,15,1
Nicole Allen White,,,,,,,,,,,,0,19,3,4,4,5,5,2,3,3,1,2,1,15,1
Mary Jo Daley,,,,,,,,,,,,,0,3,2,2,2,3,1,1,1,2,0,0,15,1
Yasmeen Kaboud,,,,,,,,,,,,,,2,18,10,9,9,8,10,9,7,8,8,21,1
Lou Agre,,,,,,,,,,,,,,,0,11,10,11,8,11,8,7,8,8,18,1
Sherrie Cohen,,,,,,,,,,,,,,,,0,11,11,10,12,11,8,9,9,14,1
Margaret Lenzi,,,,,,,,,,,,,,,,,0,9,8,11,9,8,9,9,13,1
