col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Attorney General - Democrat,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Yasmeen Kaboud,Lou Agre,Joe Foster,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Waleed Shahid,Tonya Diane Bah,Margaret Lenzi,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,All
Cindy Bass,53,"1,582","1,561","1,468","1,217","1,281","1,240","1,202","1,135","1,149","1,132",369,431,"1,032","1,046",267,250,243,232,204,202,181,163,173,"1,154",912,291,All
Malcolm Kenyatta,,12,"1,513","1,437","1,178","1,185","1,162","1,157","1,089","1,071","1,076",381,379,"1,001","1,010",255,264,223,213,224,223,185,177,197,946,725,160,All
Katherine J Gilmore,,,24,"1,407","1,126","1,162","1,152","1,139","1,048","1,055","1,073",350,328,990,"1,009",211,215,186,184,180,175,138,137,150,918,704,166,All
Jerry T Jordan,,,,7,"1,076","1,100","1,096","1,095","1,010",997,"1,011",337,365,957,971,200,210,188,173,177,180,141,140,147,822,623,149,All
Vincent Hughes,,,,,12,"1,139","1,069","1,058","1,175","1,103","1,077",202,204,"1,022","1,007",187,190,161,165,151,194,152,148,162,763,556,73,All
Ken Washington,,,,,,5,"1,145","1,147","1,079","1,137","1,112",213,234,"1,028","1,030",212,191,188,186,151,169,159,143,144,743,543,77,All
Mary Jo Daley,,,,,,,4,"1,152","1,009","1,045","1,050",189,187,971,991,159,183,133,138,135,127,104,103,108,684,531,75,All
Mark Aronchick,,,,,,,,1,"1,020","1,031","1,059",182,200,971,994,181,173,152,151,135,132,114,104,116,645,539,79,All
Blondell Reynolds Brown,,,,,,,,,1,"1,039","1,016",149,151,971,960,137,156,113,121,112,145,114,97,123,669,493,64,All
Nicole Allen White,,,,,,,,,,1,"1,059",151,171,"1,010",983,163,149,131,142,110,146,136,118,140,651,509,61,All
Michelle W Singer,,,,,,,,,,,2,138,146,973,"1,012",135,128,105,129,88,124,113,93,105,632,489,65,All
Yasmeen Kaboud,,,,,,,,,,,,18,768,133,109,605,556,570,544,557,498,489,504,449,549,425,146,All
Lou Agre,,,,,,,,,,,,,15,127,107,611,562,599,554,561,505,500,506,464,518,450,132,All
Joe Foster,,,,,,,,,,,,,,2,926,116,116,92,106,88,116,106,90,113,580,452,57,All
Heather A Steinmiller,,,,,,,,,,,,,,,1,90,94,73,85,72,99,73,75,86,595,429,53,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,8,576,600,557,564,508,498,496,474,398,281,76,All
Sherrie Cohen,,,,,,,,,,,,,,,,,1,556,517,548,503,465,489,463,389,247,70,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,0,542,555,492,473,489,463,369,255,66,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,0,507,489,491,486,452,361,249,53,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,0,477,461,476,440,336,235,61,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,461,481,469,353,212,50,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,1,451,437,324,234,48,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,1,450,331,197,52,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,302,211,45,All
Josh Shapiro,,,,,,,,,,,,,,,,,,,,,,,,,222,0,0,All
Stephen A Zappala Jr,,,,,,,,,,,,,,,,,,,,,,,,,,268,0,All
John Morganelli,,,,,,,,,,,,,,,,,,,,,,,,,,,59,All
Total,"2,512","1,950","1,898","1,685","1,485","1,438","1,367","1,338","1,298","1,283","1,254","1,189","1,169","1,150","1,135",806,740,734,693,670,642,632,613,591,"2,174","1,837",504,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Attorney General - Democrat,,,1
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Blondell Reynolds Brown,Mary Jo Daley,Mark Aronchick,Nicole Allen White,Yasmeen Kaboud,Heather A Steinmiller,Joe Foster,Lou Agre,Michelle W Singer,Ariana Flores Gordon,Gwen Snyder,Carol Rose Fleischman,Hamdi Soysal,Tonya Diane Bah,Margaret Lenzi,William Leopold,Sherrie Cohen,Waleed Shahid,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,1
Cindy Bass,1,65,60,59,44,48,43,47,44,43,19,39,41,23,37,10,10,9,12,7,7,6,7,5,41,36,18,1
Malcolm Kenyatta,,1,60,61,48,46,43,44,42,40,21,39,40,20,37,8,10,10,11,8,6,7,6,5,27,34,10,1
Katherine J Gilmore,,,1,60,44,47,41,44,43,39,19,40,40,18,38,7,8,7,9,6,6,7,5,3,29,32,8,1
Jerry T Jordan,,,,0,46,45,43,46,44,40,21,40,43,19,37,6,8,9,9,6,6,5,5,3,24,31,8,1
Vincent Hughes,,,,,1,46,46,42,41,41,8,40,41,8,37,5,7,7,8,5,5,6,4,4,26,25,1,1
Ken Washington,,,,,,1,45,45,43,41,11,41,40,13,35,7,8,8,11,7,6,8,6,4,23,22,3,1
Blondell Reynolds Brown,,,,,,,0,40,39,39,7,38,40,6,36,4,3,5,5,3,4,4,2,2,21,24,1,1
Mary Jo Daley,,,,,,,,0,41,38,8,38,39,9,34,2,6,5,6,2,4,3,4,1,20,22,2,1
Mark Aronchick,,,,,,,,,0,37,6,39,40,8,34,5,5,3,6,3,5,3,2,1,17,21,4,1
Nicole Allen White,,,,,,,,,,0,5,37,38,4,33,4,3,4,5,2,4,3,1,2,18,22,0,1
Yasmeen Kaboud,,,,,,,,,,,0,5,6,28,6,16,17,19,17,17,13,14,15,12,20,16,9,1
Heather A Steinmiller,,,,,,,,,,,,1,39,5,34,4,4,2,5,3,5,3,1,1,19,18,1,1
Joe Foster,,,,,,,,,,,,,0,5,35,4,5,3,4,3,5,3,1,3,16,21,1,1
Lou Agre,,,,,,,,,,,,,,0,5,16,18,17,16,16,15,13,14,10,13,14,12,1
Michelle W Singer,,,,,,,,,,,,,,,0,5,4,5,5,3,4,4,1,4,14,23,0,1
Ariana Flores Gordon,,,,,,,,,,,,,,,,0,16,16,17,16,14,13,13,12,10,9,4,1
Gwen Snyder,,,,,,,,,,,,,,,,,0,16,14,15,13,14,13,12,10,9,4,1
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,0,18,15,13,14,15,11,8,11,3,1
Hamdi Soysal,,,,,,,,,,,,,,,,,,,0,16,12,14,15,11,9,8,4,1
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,0,16,15,14,13,8,9,2,1
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,0,12,12,11,9,8,1,1
William Leopold,,,,,,,,,,,,,,,,,,,,,,0,13,11,8,8,1,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,0,11,8,6,4,1
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,0,6,8,1,1
Josh Shapiro,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,1
Stephen A Zappala Jr,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1
John Morganelli,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1
Total,102,79,78,71,62,58,54,52,49,47,47,46,45,42,41,24,24,23,22,20,19,19,18,16,84,65,35,1
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Attorney General - Democrat,,,2
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Mark Aronchick,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Nicole Allen White,Heather A Steinmiller,Michelle W Singer,Joe Foster,Yasmeen Kaboud,Lou Agre,Carol Rose Fleischman,Ariana Flores Gordon,Gwen Snyder,Sherrie Cohen,Hamdi Soysal,Margaret Lenzi,William Leopold,Tonya Diane Bah,Waleed Shahid,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,2
Cindy Bass,1,94,89,80,66,68,66,65,60,64,63,61,57,25,26,16,13,12,13,11,12,14,13,11,54,63,18,2
Malcolm Kenyatta,,1,87,84,66,67,64,60,61,59,60,56,53,27,23,16,15,13,16,10,13,14,11,11,49,55,11,2
Katherine J Gilmore,,,3,78,57,62,62,60,53,55,58,55,55,26,21,13,11,11,11,9,10,11,9,8,40,52,11,2
Jerry T Jordan,,,,0,59,63,58,58,53,54,55,54,51,24,23,13,11,8,9,9,10,11,9,7,35,48,7,2
Vincent Hughes,,,,,0,59,59,55,61,57,56,55,53,12,11,11,10,8,11,6,13,12,9,10,30,40,5,2
Mark Aronchick,,,,,,1,59,60,54,55,55,55,50,14,12,9,8,8,9,6,8,9,7,6,29,38,3,2
Ken Washington,,,,,,,0,55,55,58,56,54,55,11,7,7,7,6,7,2,6,9,4,4,29,36,3,2
Mary Jo Daley,,,,,,,,1,51,56,55,55,50,12,11,7,6,6,8,7,6,5,6,7,32,31,3,2
Blondell Reynolds Brown,,,,,,,,,0,52,54,50,48,11,9,9,9,9,11,5,7,12,8,8,29,34,3,2
Nicole Allen White,,,,,,,,,,0,55,56,53,9,8,4,4,4,7,3,7,8,5,6,28,34,1,2
