col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"1,277",3,All
Total,"1,277",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,31,3,1
Total,31,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,35,3,2
Total,35,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,32,3,3
Total,32,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,54,3,4
Total,54,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,29,3,5
Total,29,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,50,3,6
Total,50,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,59,3,7
Total,59,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,73,3,8
Total,73,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,97,3,9
Total,97,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,98,3,10
Total,98,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,49,3,11
Total,49,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,33,3,12
Total,33,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,122,3,13
Total,122,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,61,3,14
Total,61,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,31,3,15
Total,31,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,70,3,16
Total,70,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,58,3,17
Total,58,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,49,3,18
Total,49,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,53,3,19
Total,53,4,19
,Governor - Democrat,1,20
,Tom Wolf,2,20
Tom Wolf,64,3,20
Total,64,4,20
,Governor - Democrat,1,21
,Tom Wolf,2,21
Tom Wolf,78,3,21
Total,78,4,21
,Governor - Democrat,1,22
,Tom Wolf,2,22
Tom Wolf,24,3,22
Total,24,4,22
,Governor - Democrat,1,23
,Tom Wolf,2,23
Tom Wolf,27,3,23
Total,27,4,23
