col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 197th District - Democrat,,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Danilo Burgos,Frederick Ramirez,Emilio Vazquez,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,All
Danilo Burgos,194,0,0,146,64,56,103,104,103,100,92,93,All
Frederick Ramirez,,140,0,51,59,80,19,22,12,16,17,8,All
Emilio Vazquez,,,71,49,53,43,33,30,33,29,21,27,All
James Harrity,,,,3,96,101,131,119,121,127,120,114,All
Meagan Ingerson,,,,,3,99,58,48,51,57,43,39,All
Mona Getzes Cohen,,,,,,1,60,50,47,57,41,40,All
Richard Lombardo,,,,,,,0,111,112,125,112,105,All
Billy Cortes,,,,,,,,0,110,107,105,106,All
Catherine Bartch,,,,,,,,,0,115,97,113,All
Erica Vanstone,,,,,,,,,,0,111,101,All
Frank T Brzozowski,,,,,,,,,,,0,91,All
Marnie Aument Loughrey,,,,,,,,,,,,0,All
Total,409,268,171,253,185,185,159,158,153,150,134,132,All
