col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Kevin Bundy,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,2,All
Tom Wolf,214,"1,210",988,987,780,597,570,547,529,274,238,207,168,151,3,All
Kathryn S Huggins,,14,813,825,687,501,489,457,468,203,205,171,133,114,4,All
Ken Washington,,,7,791,692,447,436,424,415,175,147,148,112,88,5,All
Dewayne Drummond,,,,2,674,447,445,421,420,167,160,143,108,93,6,All
Liam G Boyle,,,,,1,351,350,337,350,108,104,104,57,45,7,All
Lisa Rhodes,,,,,,7,479,139,398,116,106,69,75,97,8,All
Linda Norris,,,,,,,0,141,399,113,111,71,76,90,9,All
Kevin Bundy,,,,,,,,4,128,153,120,135,76,59,10,All
Monica Maria Djerassi,,,,,,,,,1,98,116,75,77,69,11,All
John Brady,,,,,,,,,,3,89,79,62,51,12,All
Rebecca Poyourow,,,,,,,,,,,0,91,57,51,13,All
Nat Lownes,,,,,,,,,,,,2,60,39,14,All
Joe Khan,,,,,,,,,,,,,0,47,15,All
Jacque Whaumbush,,,,,,,,,,,,,,0,16,All
Total,"1,801","1,250","1,014","1,008",801,616,583,564,549,287,246,217,174,154,17,All
