col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,All
,Tom Wolf,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Thaddeus Kirkland,Mary Gay Scanlon,Greg Vitali,Margo Davidson,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,2,All
Tom Wolf,"1,931",20,19,15,13,6,6,5,4,4,0,0,0,0,3,All
Rich Lazer,,2,0,0,0,0,0,0,0,0,0,0,0,0,4,All
Theresa M Wright,,,1,0,0,0,0,0,0,0,0,0,0,0,5,All
Lindy Li,,,,0,0,0,0,0,0,0,0,0,0,0,6,All
Molly Sheehan,,,,,0,0,0,0,0,0,0,0,0,0,7,All
Ashley Lunkenheimer,,,,,,1,0,0,0,0,0,0,0,0,8,All
Thaddeus Kirkland,,,,,,,0,0,0,0,0,0,0,0,9,All
Mary Gay Scanlon,,,,,,,,0,0,0,0,0,0,0,10,All
Greg Vitali,,,,,,,,,0,0,0,0,0,0,11,All
Margo Davidson,,,,,,,,,,0,0,0,0,0,12,All
Dan Muroff,,,,,,,,,,,0,0,0,0,13,All
David Wertime,,,,,,,,,,,,0,0,0,14,All
Larry Arata,,,,,,,,,,,,,0,0,15,All
Shelly Chauncey,,,,,,,,,,,,,,0,16,All
Total,"2,023",22,20,15,13,7,6,5,4,4,0,0,0,0,17,All
