col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
John Brady,,,,,,,,,,,,,,,0,0,13
Nat Lownes,,,,,,,,,,,,,,,,0,13
Total,42,19,18,37,30,29,28,27,25,23,20,15,14,13,10,10,13
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,,18
,Kathryn S Huggins,Monica Maria Djerassi,Rebecca Poyourow,Dewayne Drummond,Lisa Rhodes,Ken Washington,Liam G Boyle,Linda Norris,Kevin Bundy,Joe Khan,Jacque Whaumbush,Nat Lownes,John Brady,Diane Settles,James R Roebuck,Jeff Curry,18
Kathryn S Huggins,0,11,10,9,10,7,7,8,5,3,4,2,1,9,3,3,18
Monica Maria Djerassi,,0,10,6,9,5,6,7,4,4,4,1,1,7,3,2,18
Rebecca Poyourow,,,1,6,8,5,4,7,3,3,4,2,0,6,4,1,18
Dewayne Drummond,,,,0,6,4,6,4,3,2,1,1,1,5,1,4,18
Lisa Rhodes,,,,,0,4,4,8,2,3,3,2,1,5,3,2,18
Ken Washington,,,,,,0,5,3,4,1,2,1,0,4,3,1,18
Liam G Boyle,,,,,,,0,2,5,1,1,0,1,5,0,3,18
Linda Norris,,,,,,,,0,2,2,3,2,0,4,3,1,18
Kevin Bundy,,,,,,,,,0,1,1,0,0,3,1,2,18
Joe Khan,,,,,,,,,,0,0,0,1,1,3,1,18
Jacque Whaumbush,,,,,,,,,,,0,1,0,2,1,1,18
Nat Lownes,,,,,,,,,,,,0,0,1,1,0,18
John Brady,,,,,,,,,,,,,0,0,0,1,18
Diane Settles,,,,,,,,,,,,,,0,0,0,18
James R Roebuck,,,,,,,,,,,,,,,1,0,18
Jeff Curry,,,,,,,,,,,,,,,,1,18
Total,15,12,12,10,10,8,8,8,6,5,4,2,1,9,6,5,18
