col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Judi Golding Baker,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Noam Kugelmass,Mariel J K Martin,Darrell L Clarke,Tom Young,Joe Celentano,Matthew D Myers,Jon Geeting,2,All
Tom Wolf,909,"2,369","2,351","2,091","1,867","1,656","1,564","1,558","1,494","1,454","1,445","1,179",893,855,3,All
Judi Golding Baker,,18,"1,355","1,414","1,300","1,036",852,877,987,913,706,557,648,484,4,All
Rhea Powell,,,10,"1,533","1,436","1,214","1,162","1,079","1,142",810,"1,050",909,537,560,5,All
Marylouise Isaacson,,,,1,"1,489","1,254","1,061",998,"1,184",869,907,721,613,534,6,All
Amanda Mcillmurray,,,,,4,"1,099",887,884,"1,108",735,804,682,526,501,7,All
Andi Perez,,,,,,0,903,832,952,739,745,632,513,531,8,All
Micah Mahjoubian,,,,,,,4,845,758,594,809,717,397,383,9,All
Noam Kugelmass,,,,,,,,6,671,555,803,648,442,436,10,All
Mariel J K Martin,,,,,,,,,1,632,679,529,455,361,11,All
Darrell L Clarke,,,,,,,,,,9,539,376,522,360,12,All
Tom Young,,,,,,,,,,,3,779,435,434,13,All
Joe Celentano,,,,,,,,,,,,3,299,386,14,All
Matthew D Myers,,,,,,,,,,,,,4,289,15,All
Jon Geeting,,,,,,,,,,,,,,0,16,All
Total,"5,123","2,436","2,413","2,147","1,915","1,696","1,607","1,601","1,527","1,489","1,489","1,222",920,873,17,All
